,deaths - 1/22/20,deaths - 1/23/20,deaths - 1/24/20,deaths - 1/25/20,deaths - 1/26/20,deaths - 1/27/20,deaths - 1/28/20,deaths - 1/29/20,deaths - 1/30/20,deaths - 1/31/20,deaths - 2/1/20,deaths - 2/2/20,deaths - 2/3/20,deaths - 2/4/20,deaths - 2/5/20,deaths - 2/6/20,deaths - 2/7/20,deaths - 2/8/20,deaths - 2/9/20,deaths - 2/10/20,deaths - 2/11/20,deaths - 2/12/20,deaths - 2/13/20,deaths - 2/14/20,deaths - 2/15/20,deaths - 2/16/20,deaths - 2/17/20,deaths - 2/18/20,deaths - 2/19/20,deaths - 2/20/20,deaths - 2/21/20,deaths - 2/22/20,deaths - 2/23/20,deaths - 2/24/20,deaths - 2/25/20,deaths - 2/26/20,deaths - 2/27/20,deaths - 2/28/20,deaths - 2/29/20,deaths - 3/1/20,deaths - 3/2/20,deaths - 3/3/20,deaths - 3/4/20,deaths - 3/5/20,deaths - 3/6/20,deaths - 3/7/20,deaths - 3/8/20,deaths - 3/9/20,deaths - 3/10/20,deaths - 3/11/20,deaths - 3/12/20,deaths - 3/13/20,deaths - 3/14/20,deaths - 3/15/20,deaths - 3/16/20,deaths - 3/17/20,deaths - 3/18/20,deaths - 3/19/20,deaths - 3/20/20,deaths - 3/21/20,deaths - 3/22/20,deaths - 3/23/20,deaths - 3/24/20,deaths - 3/25/20,deaths - 3/26/20,deaths - 3/27/20,deaths - 3/28/20,deaths - 3/29/20,deaths - 3/30/20,deaths - 3/31/20,deaths - 4/1/20,deaths - 4/2/20,deaths - 4/3/20,deaths - 4/4/20,deaths - 4/5/20,deaths - 4/6/20,deaths - 4/7/20,deaths - 4/8/20,deaths - 4/9/20,deaths - 4/10/20,deaths - 4/11/20,deaths - 4/12/20,deaths - 4/13/20,deaths - 4/14/20,deaths - 4/15/20,deaths - 4/16/20,deaths - 4/17/20,deaths - 4/18/20,deaths - 4/19/20,deaths - 4/20/20,deaths - 4/21/20,deaths - 4/22/20,deaths - 4/23/20,deaths - 4/24/20,deaths - 4/25/20,deaths - 4/26/20,deaths - 4/27/20,deaths - 4/28/20,deaths - 4/29/20,deaths - 4/30/20,deaths - 5/1/20,deaths - 5/2/20,deaths - 5/3/20,deaths - 5/4/20,deaths - 5/5/20,deaths - 5/6/20,deaths - 5/7/20,deaths - 5/8/20,deaths - 5/9/20,deaths - 5/10/20,deaths - 5/11/20,deaths - 5/12/20,deaths - 5/13/20,deaths - 5/14/20,deaths - 5/15/20,deaths - 5/16/20,deaths - 5/17/20,deaths - 5/18/20,deaths - 5/19/20,deaths - 5/20/20,deaths - 5/21/20,deaths - 5/22/20,deaths - 5/23/20,deaths - 5/24/20,deaths - 5/25/20,deaths - 5/26/20,deaths - 5/27/20,deaths - 5/28/20,deaths - 5/29/20,deaths - 5/30/20,deaths - 5/31/20,deaths - 6/1/20,deaths - 6/2/20,deaths - 6/3/20,deaths - 6/4/20,deaths - 6/5/20,deaths - 6/6/20,deaths - 6/7/20,deaths - 6/8/20,deaths - 6/9/20,deaths - 6/10/20,deaths - 6/11/20,deaths - 6/12/20,deaths - 6/13/20,deaths - 6/14/20,deaths - 6/15/20,deaths - 6/16/20,deaths - 6/17/20,deaths - 6/18/20,deaths - 6/19/20,deaths - 6/20/20,deaths - 6/21/20,deaths - 6/22/20,deaths - 6/23/20,deaths - 6/24/20,deaths - 6/25/20,deaths - 6/26/20,deaths - 6/27/20,deaths - 6/28/20,deaths - 6/29/20,deaths - 6/30/20,deaths - 7/1/20,deaths - 7/2/20,deaths - 7/3/20,deaths - 7/4/20,deaths - 7/5/20,deaths - 7/6/20,deaths - 7/7/20,deaths - 7/8/20,deaths - 7/9/20,deaths - 7/10/20,deaths - 7/11/20,deaths - 7/12/20,deaths - 7/13/20,deaths - 7/14/20,deaths - 7/15/20,deaths - 7/16/20,deaths - 7/17/20,deaths - 7/18/20,deaths - 7/19/20,deaths - 7/20/20,deaths - 7/21/20,deaths - 7/22/20,deaths - 7/23/20,deaths - 7/24/20,deaths - 7/25/20,deaths - 7/26/20,deaths - 7/27/20,deaths - 7/28/20,deaths - 7/29/20,deaths - 7/30/20,deaths - 7/31/20,deaths - 8/1/20,deaths - 8/2/20,deaths - 8/3/20,deaths - 8/4/20,deaths - 8/5/20,deaths - 8/6/20,deaths - 8/7/20,deaths - 8/8/20,deaths - 8/9/20,deaths - 8/10/20,deaths - 8/11/20,deaths - 8/12/20,deaths - 8/13/20,deaths - 8/14/20,deaths - 8/15/20,deaths - 8/16/20,deaths - 8/17/20,deaths - 8/18/20,deaths - 8/19/20,deaths - 8/20/20,deaths - 8/21/20,deaths - 8/22/20,deaths - 8/23/20,deaths - 8/24/20,deaths - 8/25/20,deaths - 8/26/20,deaths - 8/27/20,deaths - 8/28/20,deaths - 8/29/20,deaths - 8/30/20,deaths - 8/31/20,deaths - 9/1/20,deaths - 9/2/20,deaths - 9/3/20,deaths - 9/4/20,deaths - 9/5/20,deaths - 9/6/20,deaths - 9/7/20,deaths - 9/8/20,deaths - 9/9/20,deaths - 9/10/20,deaths - 9/11/20,deaths - 9/12/20,deaths - 9/13/20,deaths - 9/14/20,deaths - 9/15/20,deaths - 9/16/20
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,4,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,7,3,1,4,5,5,1,7,9,0,10,2,1,0,12,2,7,14,14,2,0,29,33,20,14,4,6,9,13,21,8,18,0,2,8,17,27,27,13,7,3,10,37,10,22,12,0,3,1,14,22,7,12,10,7,8,14,3,22,5,8,11,14,7,0,1,19,14,3,25,11,16,11,14,4,0,6,11,5,19,12,17,1,1,24,25,6,11,12,0,11,19,24,13,21,1,0,0,26,25,10,36,10,7,2,41,47,19,34,21,1,5,12,59,31,43,17,18,20,0,47,27,15,23,24,6,33,28,18,21,20,13,29,49,34,7,4,3,2,25,11,10,29,20,22,2,11,13,8,31,31,45,10,20,18,17,16,32,7,1,0,1,7,20,31,17,1,3,34,5
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,2,2,0,1,2,2,2,0,3,3,1,2,0,5,1,3,0,1,1,3,0,2,1,2,1,3,1,6,2,2,3,8,3,5,3,4,1,0,0,3,3,1,2,1,0,0,0,2,2,5,3,3,2,1,1,2,1,5,7,1,0,0,2,5,9,1,2,0,2,6,4,6,5,1,2,3,6,9,11,6,10,1,2,10,3,0,9,10,5,1,5,7,2,2,5,1,5,9,4,4,4,6,2,2,8,4,6,12,3,0,6,11,6,6,8,5,2,7,0,26,8,11,6,3,13,15,18,7,7,14,7,11,11,7,9,4,13,0,3,15,14,10,23,11,13,9,15,22,6,15,17,13,13,18,27,20,12,9,12,15,9,11,12,13,0,28,11,18,147
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,2,3,1,7,3,8,7,12,10,0,9,9,6,10,9,10,7,8,11,8,19,8,8,3,21,20,21,17,7,2,0,17,11,16,10,18,14,0,17,47,24,66,15,4,6,20,32,30,27,28,1,6,18,43,14,12,25,1,5,2,23,24,29,17,14,0,25,39,15,15,31,10,0,24,25,29,15,39,6,8,26,20,34,40,26,2,3,53,68,21,51,44,9,0,44,88,0,68,17,2,3,117,35,76,44,69,86,8,92,97,58,91,145,33,23,133,57,87,223,0,17,2,104,47,170,68,53,20,13,65,87,72,78,56,11,3,49,148,35,40,69,13,1,21,102,53,6,69,14,0,22,104,33,48,29,19,0,17,23,65,41,36,11,0,2,31,22,15,22,11,0,22,28
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,5,3,3,2,5,3,6,7,12,15,16,17,21,11,17,33,30,31,38,39,29,37,59,57,41,50,36,45,49,53,100,92,40,136,30,47,93,113,97,84,79,23,63,89,76,90,97,57,23,74,94,83,81,87,62,27,61,100,92,80,108,51,32,44,122,89,102,70,68,16,15,57,89,81,81,67,30,0,144,69,68,83,69,28,25,92,105,74,56,71,27,33,82,81,74,66,68,21,58,57,101,81,61,33,32,46,105,79,223,-71,18,6,112,115,147,139,103,74,23,47,141,129,123,54,158,11,60,119,157,154,137,89,22,95,169,178,116,216,137,32,114,194,167,133,185,99,86,92,175,161,187,150,74,16,105,180,164,132,162,146,36,105,149,143,140,111,105,32,83,145,158,165,155,65,21,33,51,178,59,212,72,52,82,148,94
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,12,5,6,13,3,7,15,11,17,14,15,13,11,29,13,34,23,25,16,0,38,27,17,17,20,11,27,37,22,44,109,10,8,25,31,30,11,43,12,10,9,49,20,23,15,8,4,17,23,53,31,59,42,22,10,33,41,10,13,5,4,3,19,41,29,14,7,2,12,16,20,17,11,4,0,16,11,20,11,12,3,1,5,13,10,5,4,4,0,4,10,2,1,8,0,0,8,7,7,0,4,0,0,1,4,9,2,18,1,0,2,10,6,2,6,1,0,6,5,8,15,4,4,0,5,0,21,1,16,4,1,0,4,2,2,3,2,1,5,13,0,6,6,8,1,0,3,2,3,7,7,0,0,6,4,4,6,6,0,2,1,5,3,12,0,4,3,0,3,3,6,3,0,2,6,6
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,2,7,2,6,6,1,2,31,16,27,22,32,24,18,68,59,45,66,45,61,48,69,199,103,65,49,40,204,92,116,96,128,99,65,87,75,80,88,84,98,58,60,78,85,78,77,58,35,41,33,82,96,66,54,70,40,23,57,53,56,37,21,49,25,33,26,42,44,30,0,30,17,18,31,17,16,13,10,24,28,13,27,14,3,6,10,7,12,13,9,3,14,10,11,9,4,5,2,2,4,2,9,0,0,3,0,5,5,0,0,0,20,4,8,8,7,0,0,10,0,1,4,3,0,0,5,0,7,5,1,0,0,3,0,0,2,4,0,0,3,0,6,0,3,0,0,1,0,0,1,3,0,0,0,4,1,1,0,0,0,2,1,1,1,0,0,0,0,6,0,4,2,0,0,5,0,2
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4,0,2,1,3,6,0,1,0,0,0,0,0,0,0,0,45,5,9,5,5,5,9,7,15,12,14,12,13,7,5,15,19,7,9,11,7,6,0,21,19,7,12,5,8,14,8,10,7,8,9,8,7,5,6,9,5,8,0,5,8,7,2,4,2,2,3,2,4,4,6,2,4,4,3,4,5,4,0,5,3,4,3,1,2,2,2,4,2,3,2,2,1,0,2,1,1,2,2,2,0,3,4,0,0,0,0,3,3,3,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,2,1,1,0,2,0,1,0,3,0,0,2,1,1,1,2,0,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,0,4,1,0,0,0,0,0,1
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,3,1,1,2,0,0,1,1,3,4,9,1,2,0,8,3,6,9,6,0,5,10,7,3,8,12,8,5,12,7,8,7,9,9,5,5,6,9,0,0,0,21,13,10,13,11,15,4,7,7,6,7,5,2,2,6,4,9,1,11,5,5,2,5,2,10,3,2,8,0,12,3,1,0,5,3,1,1,2,5,2,1,1,0,68,1,2,0,0,0,0,1,1,2,0,2,0,0,2,1,1,0,-1,0,0,6,0,0,2,0,0,0,2,2,2,49,1,0,0,0,2,0,2,2,0,0,2,0,0,1,2,1,0,0,0,1,0,0,0,0,0,3,0,5,0,0,3,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,4,0,0,2,2,1,1
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,5,4,2,4,7,16,10,3,12,14,12,47,26,25,26,33,42,27,47,49,27,15,0,110,43,54,58,24,24,49,44,60,60,58,9,20,14,83,47,49,47,50,15,20,69,67,61,71,46,6,16,44,48,48,42,46,10,23,55,43,50,45,43,4,15,6,60,45,49,35,4,9,70,35,43,53,28,12,11,54,35,47,30,48,6,7,55,25,43,43,40,17,11,64,45,46,39,24,28,28,57,47,67,67,18,29,47,62,49,120,93,95,45,34,132,112,157,116,102,86,91,133,140,173,135,124,76,78,0,401,254,257,178,62,74,244,225,121,180,182,77,91,276,212,148,227,205,106,87,220,173,115,122,106,51,72,183,153,134,90,147,15,68,187,126,149,100,60,38,21,46,200,212,174,95,10,36,146,152
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,5,5,1,12,1,0,30,12,4,22,22,29,18,22,10,11,73,49,24,39,15,12,10,0,78,52,39,53,8,14,77,47,28,33,20,7,11,72,41,58,37,33,7,6,58,50,36,23,42,2,2,50,37,22,32,38,10,9,40,35,21,79,31,16,5,23,48,38,30,32,1,40,39,26,23,24,8,11,2,91,15,59,45,32,20,5,53,32,44,20,34,1,0,15,41,27,33,21,2,1,16,11,25,19,4,3,1,21,20,20,17,52,4,2,16,0,64,15,27,29,5,2,69,80,29,79,50,4,13,0,126,35,78,70,14,2,74,60,43,86,66,12,31,114,109,83,34,92,34,21,64,54,55,92,95,38,25,100,47,83,79,98,27,27,98,63,67,61,49,57,7,25,56,75,45,41,46,20,46,20
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,4,2,0,0,0,0,1,1,3,1,1,0,2,0,2,4,4,3,1,7,4,1,4,2,3,1,1,2,3,3,2,1,2,0,1,3
