State,cases - 1/22/20,cases - 1/23/20,cases - 1/24/20,cases - 1/25/20,cases - 1/26/20,cases - 1/27/20,cases - 1/28/20,cases - 1/29/20,cases - 1/30/20,cases - 1/31/20,cases - 2/1/20,cases - 2/2/20,cases - 2/3/20,cases - 2/4/20,cases - 2/5/20,cases - 2/6/20,cases - 2/7/20,cases - 2/8/20,cases - 2/9/20,cases - 2/10/20,cases - 2/11/20,cases - 2/12/20,cases - 2/13/20,cases - 2/14/20,cases - 2/15/20,cases - 2/16/20,cases - 2/17/20,cases - 2/18/20,cases - 2/19/20,cases - 2/20/20,cases - 2/21/20,cases - 2/22/20,cases - 2/23/20,cases - 2/24/20,cases - 2/25/20,cases - 2/26/20,cases - 2/27/20,cases - 2/28/20,cases - 2/29/20,cases - 3/1/20,cases - 3/2/20,cases - 3/3/20,cases - 3/4/20,cases - 3/5/20,cases - 3/6/20,cases - 3/7/20,cases - 3/8/20,cases - 3/9/20,cases - 3/10/20,cases - 3/11/20,cases - 3/12/20,cases - 3/13/20,cases - 3/14/20,cases - 3/15/20,cases - 3/16/20,cases - 3/17/20,cases - 3/18/20,cases - 3/19/20,cases - 3/20/20,cases - 3/21/20,cases - 3/22/20,cases - 3/23/20,cases - 3/24/20,cases - 3/25/20,cases - 3/26/20,cases - 3/27/20,cases - 3/28/20,cases - 3/29/20,cases - 3/30/20,cases - 3/31/20,cases - 4/1/20,cases - 4/2/20,cases - 4/3/20,cases - 4/4/20,cases - 4/5/20,cases - 4/6/20,cases - 4/7/20,cases - 4/8/20,cases - 4/9/20,cases - 4/10/20,cases - 4/11/20,cases - 4/12/20,cases - 4/13/20,cases - 4/14/20,cases - 4/15/20,cases - 4/16/20,cases - 4/17/20,cases - 4/18/20,cases - 4/19/20,cases - 4/20/20,cases - 4/21/20,cases - 4/22/20,cases - 4/23/20,cases - 4/24/20,cases - 4/25/20,cases - 4/26/20,cases - 4/27/20,cases - 4/28/20,cases - 4/29/20,cases - 4/30/20,cases - 5/1/20,cases - 5/2/20,cases - 5/3/20,cases - 5/4/20,cases - 5/5/20,cases - 5/6/20,cases - 5/7/20,cases - 5/8/20,cases - 5/9/20,cases - 5/10/20,cases - 5/11/20,cases - 5/12/20,cases - 5/13/20,cases - 5/14/20,cases - 5/15/20,cases - 5/16/20,cases - 5/17/20,cases - 5/18/20,cases - 5/19/20,cases - 5/20/20,cases - 5/21/20,cases - 5/22/20,cases - 5/23/20,cases - 5/24/20,cases - 5/25/20,cases - 5/26/20,cases - 5/27/20,cases - 5/28/20,cases - 5/29/20,cases - 5/30/20,cases - 5/31/20,cases - 6/1/20,cases - 6/2/20,cases - 6/3/20,cases - 6/4/20,cases - 6/5/20,cases - 6/6/20,cases - 6/7/20,cases - 6/8/20,cases - 6/9/20,cases - 6/10/20,cases - 6/11/20,cases - 6/12/20,cases - 6/13/20,cases - 6/14/20,cases - 6/15/20,cases - 6/16/20,cases - 6/17/20,cases - 6/18/20,cases - 6/19/20,cases - 6/20/20,cases - 6/21/20,cases - 6/22/20,cases - 6/23/20,cases - 6/24/20,cases - 6/25/20,cases - 6/26/20,cases - 6/27/20,cases - 6/28/20,cases - 6/29/20,cases - 6/30/20,cases - 7/1/20,cases - 7/2/20,cases - 7/3/20,cases - 7/4/20,cases - 7/5/20,cases - 7/6/20,cases - 7/7/20,cases - 7/8/20,cases - 7/9/20,cases - 7/10/20,cases - 7/11/20,cases - 7/12/20,cases - 7/13/20,cases - 7/14/20,cases - 7/15/20,cases - 7/16/20,cases - 7/17/20,cases - 7/18/20,cases - 7/19/20,cases - 7/20/20,cases - 7/21/20,cases - 7/22/20,cases - 7/23/20,cases - 7/24/20,cases - 7/25/20,cases - 7/26/20,cases - 7/27/20,cases - 7/28/20,cases - 7/29/20,cases - 7/30/20,cases - 7/31/20,cases - 8/1/20,cases - 8/2/20,cases - 8/3/20,cases - 8/4/20,cases - 8/5/20,cases - 8/6/20,cases - 8/7/20,cases - 8/8/20,cases - 8/9/20,cases - 8/10/20,cases - 8/11/20,cases - 8/12/20,cases - 8/13/20,cases - 8/14/20,cases - 8/15/20,cases - 8/16/20,cases - 8/17/20,cases - 8/18/20,cases - 8/19/20,cases - 8/20/20,cases - 8/21/20,cases - 8/22/20,cases - 8/23/20,cases - 8/24/20,cases - 8/25/20,cases - 8/26/20,cases - 8/27/20,cases - 8/28/20,cases - 8/29/20,cases - 8/30/20,cases - 8/31/20,cases - 9/1/20,cases - 9/2/20,cases - 9/3/20,cases - 9/4/20,cases - 9/5/20,cases - 9/6/20,cases - 9/7/20,cases - 9/8/20,cases - 9/9/20,cases - 9/10/20,cases - 9/11/20,cases - 9/12/20,cases - 9/13/20,cases - 9/14/20,cases - 9/15/20,cases - 9/16/20
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,27,41,0,41,0,0,191,178,82,232,137,219,232,164,68,191,123,55,150,191,191,82,301,164,137,150,150,205,68,109,109,96,123,68,68,27,109,82,27,27,0,27,55,82,55,0,123,14,41,27,14,14,27,41,14,14,27,27,0,55,0,0,123,41,0,27,0,27,55,0,14,27,14,178,68,55,355,96,273,246,109,150,164,109,260,137,273,232,205,369,123,41,164,273,164,178,287,150,82,0,0,342,574,0,560,328,437,478,0,1053,601,369,383,205,519,588,683,807,1080,724,957,588,711,574,1381,1326,1012,1258,1203,861,766,1230,2543,1326,1476,902,1135,0,3513,1968,793,752,738,492,670,1080,1340,889,629,820,1107,1490,1148,1408,683,848,916,1107,943,1217,875,930,451,711,1066,1572,1285,615,506,465,943,1394,1640,1271,1176,451,478,861,1695,1258,1422,848,1012,574,683
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22,14,20,24,55,57,51,73,59,94,294,296,220,159,220,237,114,222,334,538,200,424,332,396,612,695,345,520,651,449,306,583,332,235,416,363,361,496,573,463,410,381,416,245,422,351,300,471,647,559,459,665,520,724,689,579,451,561,620,471,806,598,579,198,632,604,1377,736,530,983,724,1401,926,777,1069,975,667,1001,810,369,257,434,626,1297,932,865,981,1132,1729,1752,1809,2070,2115,1305,816,1823,1623,1116,963,881,1313,1972,2329,1986,1829,720,3557,1776,1870,2343,3575,2035,2221,1882,1856,2403,4509,2723,2935,3345,3993,3485,3698,4122,4085,4371,3624,3834,2990,2967,4893,3659,4334,2374,3714,2400,151,6922,3999,3316,4273,2480,2129,1942,3953,3481,3820,2364,3420,1715,1907,1577,1534,2592,1740,1165,2761,2252,1917,751,3594,1077,3359,1087,4099,3616,2366,3479,2745,1679,3175,1271,2133,2262,2876,1040,1344,1291,1654,2343,2321,1923,2260,1430,1434,1895
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,10,3,30,0,10,93,60,106,202,86,119,242,106,159,70,136,205,186,196,186,172,27,368,245,222,272,229,179,73,139,596,70,308,93,252,275,10,640,792,374,640,510,265,255,262,136,437,222,142,119,209,182,202,341,255,172,0,958,89,388,235,447,308,404,600,186,365,255,1445,534,524,484,328,444,308,802,812,765,828,626,1190,666,1249,719,1425,1070,915,1147,1014,1405,2432,1746,1279,1372,732,1395,918,1992,1604,1369,1683,1644,2144,1594,3042,1769,1746,1388,1766,1451,2803,1647,1594,1945,1256,1037,2339,2694,2389,3224,1614,1733,2880,1862,2803,1885,2475,2035,2147,2571,1763,3281,2919,2472,2018,2353,2363,2452,2465,2532,2170,1988,2727,2561,2906,2286,3171,2608,1813,2038,1316,2359,2111,2005,2303,2190,1296,1332,2399,1876,2833,1779,1246,1004,1627,2240,2349,2737,2363,1561,1216,931,1852,2969,2962,1760,2233,1150,1037,1441,1465,3105,0,6468,1395,2525,3320
AZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,5,0,0,3,0,8,3,10,23,25,55,66,113,129,103,147,213,151,201,323,185,172,250,238,342,345,257,163,207,401,128,387,201,223,133,225,374,375,290,289,187,257,286,425,378,326,338,261,319,349,613,430,554,379,383,529,552,327,800,596,217,359,489,605,684,680,636,420,320,544,455,574,401,594,412,304,305,658,690,964,1085,1187,5,1547,1334,732,2168,1539,1976,1083,850,2138,1939,2274,2116,1694,1393,3286,2510,3461,4458,4273,3561,3017,5175,2226,4200,4710,4934,5300,859,6419,6715,4578,6090,3704,4851,4612,5019,4836,5574,5799,4174,3486,1864,5871,4475,4475,5375,3767,3234,2147,4798,2658,3208,4601,5149,2696,2503,2897,3204,3479,4413,4108,2015,1405,1385,2330,1993,1930,1447,1127,822,1669,970,1853,1278,1282,1213,643,1253,879,993,849,1338,279,427,1190,284,934,713,861,517,239,697,713,1499,999,1146,346,260,124,683,621,725,831,530,293,665,955
CA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,1,4,4,4,10,3,16,7,10,7,30,25,30,30,46,47,53,71,52,76,122,102,134,215,217,211,164,237,297,343,310,344,329,329,301,294,376,290,311,252,220,254,360,313,260,327,357,193,577,492,474,473,446,316,280,379,314,603,386,489,365,317,315,648,493,423,555,565,303,360,410,520,462,516,465,349,440,496,562,565,621,477,452,563,804,513,541,667,882,650,634,586,588,797,840,671,603,642,754,727,886,952,839,672,688,850,1083,953,908,948,827,1687,1580,1225,1265,1399,1009,1152,1910,2102,1683,2592,838,413,1031,4254,2640,1984,2269,2768,1797,1541,2293,2856,2142,2541,1727,2278,1484,2936,2731,3085,2450,2311,2016,1131,2678,2545,2864,2418,2053,1845,1218,1982,1469,1450,2047,2015,1539,1573,2751,3561,2300,2076,2650,1680,1145,2522,1561,1720,1542,1740,1200,842,1980,1531,1338,1327,1168,1121,681,1982,1076,1295,1080,1429,1047,556,607,784,1180,570,1375,762,503,1262,735,743
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,12,7,10,43,43,40,52,0,90,0,148,134,231,201,217,309,304,450,467,517,392,597,646,636,656,755,589,587,354,488,417,778,538,495,483,424,325,370,2079,677,655,457,634,627,766,646,1728,1188,747,755,776,797,877,802,752,667,490,887,853,959,814,877,491,429,571,575,655,702,667,516,476,507,554,622,528,759,354,353,511,389,615,853,844,486,346,361,474,523,445,401,266,311,285,264,257,306,340,194,293,231,418,398,497,281,326,290,326,455,564,550,394,488,358,353,544,566,448,441,346,333,708,785,708,1155,698,559,570,769,818,988,1077,766,606,735,846,1108,1092,1157,1398,953,405,1297,839,710,1049,797,778,439,740,1031,780,794,747,582,658,696,540,809,552,523,585,333,453,478,570,620,517,450,344,761,366,611,745,469,316,346,611,420,462,643,0,577,865,328,427,462,535,717,719,662,693,1021
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,8,34,17,42,76,79,174,98,84,292,247,569,721,384,783,654,1315,1128,1840,900,780,2937,948,1172,3335,2376,2597,2740,2073,2589,1346,3803,1588,2132,3181,2704,1994,1144,5239,1559,5784,1848,2345,1815,1924,2148,864,1231,2743,3240,1632,0,1781,1804,1226,2266,1714,1764,1447,668,1621,1501,1750,1733,1680,2140,1890,923,1689,547,1243,996,1257,1105,920,233,788,547,721,488,1489,642,325,432,611,973,384,339,199,426,351,648,830,250,202,224,185,233,558,435,112,93,345,45,233,205,412,272,297,426,151,202,194,0,0,684,160,210,286,210,0,0,586,59,300,365,390,0,0,401,109,345,84,1559,0,0,525,255,1285,381,395,0,0,707,137,283,118,202,0,0,693,309,31,323,323,0,0,951,59,168,334,238,0,0,1324,104,519,412,687,0,0,1060,365,286,311,429,0,0,0,1136,252,645,642,0,0,1543,381,362
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,85,0,0,85,14,71,128,113,453,85,298,255,298,652,680,510,524,538,836,1332,1289,0,949,1474,2055,1360,1403,1615,3245,1176,1941,1672,1374,0,2593,1970,2168,1785,2692,1800,1899,2423,1530,2196,2366,2423,2012,723,1445,1587,3075,4747,1970,3103,2182,2154,1970,2735,3471,2876,2409,1658,1360,1403,2154,1913,2423,1148,2083,2324,1658,3358,1488,1034,2040,1629,1544,1020,1219,652,2536,1190,793,411,1842,1474,1119,992,893,808,1204,893,737,921,779,822,453,269,411,793,694,453,510,538,510,482,439,368,439,453,623,496,538,354,638,170,496,468,765,1034,1431,822,0,652,1403,1134,708,553,0,1119,949,1105,1247,2040,1105,964,893,1105,1233,765,822,978,1119,0,978,553,1204,638,1063,1006,907,1417,765,1261,893,921,1332,581,864,751,737,411,779,850,921,793,694,638,538,1020,808,1049,482,468,808,397,822,723,737,581,510,666,354,354,1148,836,567,425,921,793
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,21,10,10,92,92,41,92,62,113,318,175,154,0,472,503,185,329,565,503,257,585,1469,822,1130,1489,1931,955,1109,1530,1633,1366,1612,842,575,2485,2187,0,2116,1920,2783,1366,1366,1386,4642,1294,4026,883,822,1900,1253,1736,811,842,4067,1715,1787,1715,1602,1222,1848,2167,2691,1561,1756,1202,2054,1736,1633,1992,1397,1653,1181,1623,1006,349,780,688,1900,791,1058,842,277,349,318,1119,965,349,483,349,0,1181,585,370,780,626,442,565,1119,698,955,493,277,380,750,555,729,1345,1479,996,318,2157,1807,1982,0,1592,1171,462,698,1222,914,647,750,842,801,616,2362,657,893,996,1202,442,1335,2321,62,1130,1140,1900,801,955,883,0,688,1058,811,1571,688,780,596,750,544,657,1540,1130,3810,585,544,852,565,472,657,370,493,647,421,288,401,82,1058,2362,308,822,822,359,1047,996,1345,1232,893,585,0,1561,955,1684,1253,852,1818,1150
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,3,5,11,15,2,18,34,54,47,102,52,113,104,86,262,225,345,391,423,352,483,380,672,586,594,378,595,522,443,525,532,473,407,541,282,416,383,655,346,382,346,378,332,499,413,141,322,283,328,161,232,481,342,286,379,248,260,384,171,366,277,180,418,226,382,430,314,361,396,235,246,558,360,317,344,409,237,176,303,565,430,345,311,287,611,661,605,591,548,452,511,637,791,883,1200,939,821,1296,1211,1492,1778,1883,1617,1367,1523,2572,2329,4159,4440,3992,2454,2829,3051,4704,4408,5331,4672,2948,3420,4642,4155,5319,4820,7115,5868,4276,4738,6483,5332,4801,5816,4810,4387,4557,4766,5787,5672,4333,4122,4280,4407,4635,4189,4467,3286,2214,2528,2524,3570,3565,3957,2892,1934,2704,3784,2896,2856,2946,1753,1245,1784,1915,2115,2174,1996,1381,1048,1240,1488,1511,1753,1477,1196,871,3481,1129,1649,1479,1505,1368,849,836,1005,1202,1744,1482,1127,808,1210,1092
