County Name,population
Grand Princess Cruise Ship,0
Alameda County,1671329
Alpine County,1129
Amador County,39752
Butte County,219186
Calaveras County,45905
Colusa County,21547
Contra Costa County,1153526
Del Norte County,27812
El Dorado County,192843
Fresno County,999101
Glenn County,28393
Humboldt County,135558
Imperial County,181215
Inyo County,18039
Kern County,900202
Kings County,152940
Lake County,64386
Lassen County,30573
Los Angeles County,10039107
Madera County,157327
Marin County,258826
Mariposa County,17203
Mendocino County,86749
Merced County,277680
Modoc County,8841
Mono County,14444
Monterey County,434061
Napa County,137744
Nevada County,99755
Orange County,3175692
Placer County,398329
Plumas County,18807
Riverside County,2470546
Sacramento County,1552058
San Benito County,62808
San Bernardino County,2180085
San Diego County,3338330
San Francisco County,881549
San Joaquin County,762148
San Luis Obispo County,283111
San Mateo County,766573
Santa Barbara County,446499
Santa Clara County,1927852
Santa Cruz County,273213
Shasta County,180080
Sierra County,3005
Siskiyou County,43539
Solano County,447643
Sonoma County,494336
Stanislaus County,550660
Sutter County,96971
Tehama County,65084
Trinity County,12285
Tulare County,466195
Tuolumne County,54478
Ventura County,846006
Yolo County,220500
Yuba County,78668
