,,cases
Grand Princess Cruise Ship,week 1,0
Grand Princess Cruise Ship,week 2,0
Grand Princess Cruise Ship,week 3,0
Grand Princess Cruise Ship,week 4,0
Grand Princess Cruise Ship,week 5,0
Grand Princess Cruise Ship,week 6,0
Grand Princess Cruise Ship,week 7,84
Grand Princess Cruise Ship,week 8,147
Grand Princess Cruise Ship,week 9,147
Grand Princess Cruise Ship,week 10,147
Grand Princess Cruise Ship,week 11,147
Grand Princess Cruise Ship,week 12,147
Grand Princess Cruise Ship,week 13,147
Grand Princess Cruise Ship,week 14,147
Grand Princess Cruise Ship,week 15,147
Grand Princess Cruise Ship,week 16,147
Grand Princess Cruise Ship,week 17,147
Grand Princess Cruise Ship,week 18,147
Grand Princess Cruise Ship,week 19,147
Grand Princess Cruise Ship,week 20,147
Grand Princess Cruise Ship,week 21,147
Grand Princess Cruise Ship,week 22,147
Grand Princess Cruise Ship,week 23,147
Grand Princess Cruise Ship,week 24,147
Grand Princess Cruise Ship,week 25,147
Grand Princess Cruise Ship,week 26,147
Grand Princess Cruise Ship,week 27,147
Grand Princess Cruise Ship,week 28,147
Grand Princess Cruise Ship,week 29,147
Grand Princess Cruise Ship,week 30,147
Grand Princess Cruise Ship,week 31,147
Grand Princess Cruise Ship,week 32,147
Grand Princess Cruise Ship,week 33,147
Grand Princess Cruise Ship,week 34,147
Grand Princess Cruise Ship,week 35,21
Alameda County,week 1,0
Alameda County,week 2,0
Alameda County,week 3,0
Alameda County,week 4,0
Alameda County,week 5,0
Alameda County,week 6,1
Alameda County,week 7,13
Alameda County,week 8,82
Alameda County,week 9,528
Alameda County,week 10,1640
Alameda County,week 11,3523
Alameda County,week 12,5570
Alameda County,week 13,7738
Alameda County,week 14,9967
Alameda County,week 15,11846
Alameda County,week 16,14062
Alameda County,week 17,16434
Alameda County,week 18,19351
Alameda County,week 19,23005
Alameda County,week 20,26523
Alameda County,week 21,29812
Alameda County,week 22,33630
Alameda County,week 23,39154
Alameda County,week 24,46197
Alameda County,week 25,53884
Alameda County,week 26,62949
Alameda County,week 27,71497
Alameda County,week 28,79798
Alameda County,week 29,88625
Alameda County,week 30,103134
Alameda County,week 31,115913
Alameda County,week 32,125372
Alameda County,week 33,133486
Alameda County,week 34,139072
Alameda County,week 35,20097
Alpine County,week 1,0
Alpine County,week 2,0
Alpine County,week 3,0
Alpine County,week 4,0
Alpine County,week 5,0
Alpine County,week 6,0
Alpine County,week 7,0
Alpine County,week 8,0
Alpine County,week 9,0
Alpine County,week 10,2
Alpine County,week 11,7
Alpine County,week 12,14
Alpine County,week 13,14
Alpine County,week 14,14
Alpine County,week 15,14
Alpine County,week 16,14
Alpine County,week 17,14
Alpine County,week 18,14
Alpine County,week 19,14
Alpine County,week 20,14
Alpine County,week 21,14
Alpine County,week 22,14
Alpine County,week 23,14
Alpine County,week 24,14
Alpine County,week 25,14
Alpine County,week 26,14
Alpine County,week 27,14
Alpine County,week 28,14
Alpine County,week 29,14
Alpine County,week 30,14
Alpine County,week 31,14
Alpine County,week 32,14
Alpine County,week 33,14
Alpine County,week 34,14
Alpine County,week 35,2
Amador County,week 1,0
Amador County,week 2,0
Amador County,week 3,0
Amador County,week 4,0
Amador County,week 5,0
Amador County,week 6,0
Amador County,week 7,0
Amador County,week 8,2
Amador County,week 9,12
Amador County,week 10,14
Amador County,week 11,21
Amador County,week 12,45
Amador County,week 13,50
Amador County,week 14,56
Amador County,week 15,56
Amador County,week 16,57
Amador County,week 17,65
Amador County,week 18,70
Amador County,week 19,70
Amador County,week 20,70
Amador County,week 21,73
Amador County,week 22,91
Amador County,week 23,144
Amador County,week 24,205
Amador County,week 25,273
Amador County,week 26,370
Amador County,week 27,533
Amador County,week 28,870
Amador County,week 29,1199
Amador County,week 30,1458
Amador County,week 31,1549
Amador County,week 32,1636
Amador County,week 33,1663
Amador County,week 34,1697
Amador County,week 35,247
Butte County,week 1,0
Butte County,week 2,0
Butte County,week 3,0
Butte County,week 4,0
Butte County,week 5,0
Butte County,week 6,0
Butte County,week 7,0
Butte County,week 8,0
Butte County,week 9,10
Butte County,week 10,40
Butte County,week 11,77
Butte County,week 12,99
Butte County,week 13,112
Butte County,week 14,112
Butte County,week 15,115
Butte County,week 16,130
