,,deaths
Grand Princess Cruise Ship,week 1,0
Grand Princess Cruise Ship,week 2,0
Grand Princess Cruise Ship,week 3,0
Grand Princess Cruise Ship,week 4,0
Grand Princess Cruise Ship,week 5,0
Grand Princess Cruise Ship,week 6,0
Grand Princess Cruise Ship,week 7,0
Grand Princess Cruise Ship,week 8,0
Grand Princess Cruise Ship,week 9,0
Grand Princess Cruise Ship,week 10,0
Grand Princess Cruise Ship,week 11,0
Grand Princess Cruise Ship,week 12,0
Grand Princess Cruise Ship,week 13,0
Grand Princess Cruise Ship,week 14,0
Grand Princess Cruise Ship,week 15,0
Grand Princess Cruise Ship,week 16,0
Grand Princess Cruise Ship,week 17,0
Grand Princess Cruise Ship,week 18,0
Grand Princess Cruise Ship,week 19,0
Grand Princess Cruise Ship,week 20,0
Grand Princess Cruise Ship,week 21,0
Grand Princess Cruise Ship,week 22,0
Grand Princess Cruise Ship,week 23,0
Grand Princess Cruise Ship,week 24,0
Grand Princess Cruise Ship,week 25,0
Grand Princess Cruise Ship,week 26,0
Grand Princess Cruise Ship,week 27,0
Grand Princess Cruise Ship,week 28,0
Grand Princess Cruise Ship,week 29,0
Grand Princess Cruise Ship,week 30,0
Grand Princess Cruise Ship,week 31,0
Grand Princess Cruise Ship,week 32,0
Grand Princess Cruise Ship,week 33,0
Grand Princess Cruise Ship,week 34,0
Grand Princess Cruise Ship,week 35,0
Alameda County,week 1,0
Alameda County,week 2,0
Alameda County,week 3,0
Alameda County,week 4,0
Alameda County,week 5,0
Alameda County,week 6,0
Alameda County,week 7,0
Alameda County,week 8,0
Alameda County,week 9,3
Alameda County,week 10,37
Alameda County,week 11,81
Alameda County,week 12,143
Alameda County,week 13,282
Alameda County,week 14,350
Alameda County,week 15,434
Alameda County,week 16,490
Alameda County,week 17,572
Alameda County,week 18,639
Alameda County,week 19,666
Alameda County,week 20,701
Alameda County,week 21,767
Alameda County,week 22,827
Alameda County,week 23,911
Alameda County,week 24,974
Alameda County,week 25,1031
Alameda County,week 26,1122
Alameda County,week 27,1237
Alameda County,week 28,1304
Alameda County,week 29,1387
Alameda County,week 30,1532
Alameda County,week 31,1633
Alameda County,week 32,1752
Alameda County,week 33,2063
Alameda County,week 34,2267
Alameda County,week 35,356
Alpine County,week 1,0
Alpine County,week 2,0
Alpine County,week 3,0
Alpine County,week 4,0
Alpine County,week 5,0
Alpine County,week 6,0
Alpine County,week 7,0
Alpine County,week 8,0
Alpine County,week 9,0
Alpine County,week 10,0
Alpine County,week 11,0
Alpine County,week 12,0
Alpine County,week 13,0
Alpine County,week 14,0
Alpine County,week 15,0
Alpine County,week 16,0
Alpine County,week 17,0
Alpine County,week 18,0
Alpine County,week 19,0
Alpine County,week 20,0
Alpine County,week 21,0
Alpine County,week 22,0
Alpine County,week 23,0
Alpine County,week 24,0
Alpine County,week 25,0
Alpine County,week 26,0
Alpine County,week 27,0
Alpine County,week 28,0
Alpine County,week 29,0
Alpine County,week 30,0
Alpine County,week 31,0
Alpine County,week 32,0
Alpine County,week 33,0
Alpine County,week 34,0
Alpine County,week 35,0
Amador County,week 1,0
Amador County,week 2,0
Amador County,week 3,0
Amador County,week 4,0
Amador County,week 5,0
Amador County,week 6,0
Amador County,week 7,0
Amador County,week 8,0
Amador County,week 9,0
Amador County,week 10,0
Amador County,week 11,0
Amador County,week 12,0
Amador County,week 13,0
Amador County,week 14,0
Amador County,week 15,0
Amador County,week 16,0
Amador County,week 17,0
Amador County,week 18,0
Amador County,week 19,0
Amador County,week 20,0
Amador County,week 21,0
Amador County,week 22,0
Amador County,week 23,0
Amador County,week 24,0
Amador County,week 25,0
Amador County,week 26,0
Amador County,week 27,0
Amador County,week 28,0
Amador County,week 29,0
Amador County,week 30,0
Amador County,week 31,42
Amador County,week 32,98
Amador County,week 33,98
Amador County,week 34,109
Amador County,week 35,16
Butte County,week 1,0
Butte County,week 2,0
Butte County,week 3,0
Butte County,week 4,0
Butte County,week 5,0
Butte County,week 6,0
Butte County,week 7,0
Butte County,week 8,0
Butte County,week 9,0
Butte County,week 10,0
Butte County,week 11,0
Butte County,week 12,0
Butte County,week 13,0
Butte County,week 14,0
Butte County,week 15,0
Butte County,week 16,0
Butte County,week 17,0
Butte County,week 18,0
