County Name,population
Adams County,517421
Alamosa County,16233
Arapahoe County,656590
Archuleta County,14029
Baca County,3581
Bent County,5577
Boulder County,326196
Broomfield County and City,70465
Chaffee County,20356
Cheyenne County,1831
Clear Creek County,9700
Conejos County,8205
Costilla County,3887
Crowley County,6061
Custer County,5068
Delta County,31162
Denver County,727211
Dolores County,2055
Douglas County,351154
Eagle County,55127
Elbert County,26729
El Paso County,720403
Fremont County,47839
Garfield County,60061
Gilpin County,6243
Grand County,15734
Gunnison County,17462
Hinsdale County,820
Huerfano County,6897
Jackson County,1392
Jefferson County,582881
Kiowa County,1406
Kit Carson County,7097
Lake County,8127
La Plata County,56221
Larimer County,356899
Las Animas County,14506
Lincoln County,5701
Logan County,22409
Mesa County,154210
Mineral County,769
Moffat County,13283
Montezuma County,26183
Montrose County,42758
Morgan County,29068
Otero County,18278
Ouray County,4952
Park County,18845
Phillips County,4265
Pitkin County,17767
Prowers County,12172
Pueblo County,168424
Rio Blanco County,6324
Rio Grande County,11267
Routt County,25638
Saguache County,6824
San Juan County,728
San Miguel County,8179
Sedgwick County,2248
Summit County,31011
Teller County,25388
Washington County,4908
Weld County,324492
Yuma County,10019
