,,cases
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,28
Adams County,week 9,114
Adams County,week 10,697
Adams County,week 11,2195
Adams County,week 12,4094
Adams County,week 13,6196
Adams County,week 14,8838
Adams County,week 15,11948
Adams County,week 16,15162
Adams County,week 17,17845
Adams County,week 18,19895
Adams County,week 19,22329
Adams County,week 20,24711
Adams County,week 21,26006
Adams County,week 22,27116
Adams County,week 23,28638
Adams County,week 24,30342
Adams County,week 25,32914
Adams County,week 26,35381
Adams County,week 27,38454
Adams County,week 28,42017
Adams County,week 29,44969
Adams County,week 30,47353
Adams County,week 31,49800
Adams County,week 32,52032
Adams County,week 33,54123
Adams County,week 34,56065
Adams County,week 35,8225
Alamosa County,week 1,0
Alamosa County,week 2,0
Alamosa County,week 3,0
Alamosa County,week 4,0
Alamosa County,week 5,0
Alamosa County,week 6,0
Alamosa County,week 7,0
Alamosa County,week 8,0
Alamosa County,week 9,0
Alamosa County,week 10,5
Alamosa County,week 11,28
Alamosa County,week 12,47
Alamosa County,week 13,53
Alamosa County,week 14,68
Alamosa County,week 15,81
Alamosa County,week 16,187
Alamosa County,week 17,273
Alamosa County,week 18,371
Alamosa County,week 19,492
Alamosa County,week 20,635
Alamosa County,week 21,823
Alamosa County,week 22,1091
Alamosa County,week 23,1286
Alamosa County,week 24,1397
Alamosa County,week 25,1427
Alamosa County,week 26,1446
Alamosa County,week 27,1528
Alamosa County,week 28,1563
Alamosa County,week 29,1592
Alamosa County,week 30,1629
Alamosa County,week 31,1650
Alamosa County,week 32,1663
Alamosa County,week 33,1667
Alamosa County,week 34,1679
Alamosa County,week 35,241
Arapahoe County,week 1,0
Arapahoe County,week 2,0
Arapahoe County,week 3,0
Arapahoe County,week 4,0
Arapahoe County,week 5,0
Arapahoe County,week 6,0
Arapahoe County,week 7,4
Arapahoe County,week 8,71
Arapahoe County,week 9,281
Arapahoe County,week 10,1428
Arapahoe County,week 11,3852
Arapahoe County,week 12,6564
Arapahoe County,week 13,10044
Arapahoe County,week 14,14378
Arapahoe County,week 15,18390
Arapahoe County,week 16,22397
Arapahoe County,week 17,25522
Arapahoe County,week 18,28068
Arapahoe County,week 19,30237
Arapahoe County,week 20,32253
Arapahoe County,week 21,33421
Arapahoe County,week 22,34481
Arapahoe County,week 23,35846
Arapahoe County,week 24,37274
Arapahoe County,week 25,39242
Arapahoe County,week 26,41814
Arapahoe County,week 27,45118
Arapahoe County,week 28,48476
Arapahoe County,week 29,50898
Arapahoe County,week 30,52760
Arapahoe County,week 31,54518
Arapahoe County,week 32,56260
Arapahoe County,week 33,57794
Arapahoe County,week 34,59335
Arapahoe County,week 35,8649
Archuleta County,week 1,0
Archuleta County,week 2,0
Archuleta County,week 3,0
Archuleta County,week 4,0
Archuleta County,week 5,0
Archuleta County,week 6,0
Archuleta County,week 7,0
Archuleta County,week 8,0
Archuleta County,week 9,0
Archuleta County,week 10,2
Archuleta County,week 11,17
Archuleta County,week 12,42
Archuleta County,week 13,46
Archuleta County,week 14,56
Archuleta County,week 15,56
Archuleta County,week 16,56
Archuleta County,week 17,56
Archuleta County,week 18,56
Archuleta County,week 19,56
Archuleta County,week 20,56
Archuleta County,week 21,56
Archuleta County,week 22,56
Archuleta County,week 23,56
Archuleta County,week 24,68
Archuleta County,week 25,84
Archuleta County,week 26,123
Archuleta County,week 27,182
Archuleta County,week 28,225
Archuleta County,week 29,247
Archuleta County,week 30,280
Archuleta County,week 31,307
Archuleta County,week 32,327
Archuleta County,week 33,336
Archuleta County,week 34,336
Archuleta County,week 35,48
Baca County,week 1,0
Baca County,week 2,0
Baca County,week 3,0
Baca County,week 4,0
Baca County,week 5,0
Baca County,week 6,0
Baca County,week 7,0
Baca County,week 8,0
Baca County,week 9,0
Baca County,week 10,6
Baca County,week 11,57
Baca County,week 12,67
Baca County,week 13,70
Baca County,week 14,70
Baca County,week 15,76
Baca County,week 16,84
Baca County,week 17,84
Baca County,week 18,84
Baca County,week 19,84
Baca County,week 20,84
Baca County,week 21,84
Baca County,week 22,84
Baca County,week 23,92
Baca County,week 24,98
Baca County,week 25,98
Baca County,week 26,98
Baca County,week 27,98
Baca County,week 28,98
Baca County,week 29,101
Baca County,week 30,105
Baca County,week 31,105
Baca County,week 32,112
Baca County,week 33,119
Baca County,week 34,119
Baca County,week 35,17
Bent County,week 1,0
Bent County,week 2,0
Bent County,week 3,0
Bent County,week 4,0
Bent County,week 5,0
Bent County,week 6,0
Bent County,week 7,0
Bent County,week 8,0
Bent County,week 9,0
Bent County,week 10,0
Bent County,week 11,0
Bent County,week 12,0
Bent County,week 13,0
Bent County,week 14,0
Bent County,week 15,0
Bent County,week 16,3
Bent County,week 17,7
Bent County,week 18,12
Bent County,week 19,14
Bent County,week 20,17
Bent County,week 21,21
Bent County,week 22,23
Bent County,week 23,28
Bent County,week 24,28
Bent County,week 25,28
Bent County,week 26,35
Bent County,week 27,35
Bent County,week 28,36
Bent County,week 29,61
Bent County,week 30,70
Bent County,week 31,77
Bent County,week 32,77
Bent County,week 33,77
Bent County,week 34,77
Bent County,week 35,11
Boulder County,week 1,0
Boulder County,week 2,0
Boulder County,week 3,0
Boulder County,week 4,0
Boulder County,week 5,0
Boulder County,week 6,0
Boulder County,week 7,0
Boulder County,week 8,14
Boulder County,week 9,190
Boulder County,week 10,574
Boulder County,week 11,1115
Boulder County,week 12,1745
Boulder County,week 13,2383
Boulder County,week 14,3368
Boulder County,week 15,4434
Boulder County,week 16,5252
Boulder County,week 17,5834
Boulder County,week 18,6390
Boulder County,week 19,6791
Boulder County,week 20,7083
Boulder County,week 21,7443
Boulder County,week 22,8533
Boulder County,week 23,9420
Boulder County,week 24,9999
Boulder County,week 25,10570
Boulder County,week 26,11380
Boulder County,week 27,12226
Boulder County,week 28,13212
Boulder County,week 29,14215
Boulder County,week 30,14885
Boulder County,week 31,15459
Boulder County,week 32,15964
Boulder County,week 33,16778
Boulder County,week 34,18901
Boulder County,week 35,3020
Broomfield County and City,week 1,0
Broomfield County and City,week 2,0
Broomfield County and City,week 3,0
Broomfield County and City,week 4,0
Broomfield County and City,week 5,0
Broomfield County and City,week 6,0
Broomfield County and City,week 7,0
Broomfield County and City,week 8,0
Broomfield County and City,week 9,10
Broomfield County and City,week 10,102
Broomfield County and City,week 11,281
Broomfield County and City,week 12,505
Broomfield County and City,week 13,696
Broomfield County and City,week 14,909
Broomfield County and City,week 15,1127
Broomfield County and City,week 16,1351
Broomfield County and City,week 17,1461
Broomfield County and City,week 18,1538
Broomfield County and City,week 19,1647
Broomfield County and City,week 20,1770
Broomfield County and City,week 21,1839
Broomfield County and City,week 22,1932
Broomfield County and City,week 23,2043
Broomfield County and City,week 24,2177
Broomfield County and City,week 25,2365
Broomfield County and City,week 26,2507
Broomfield County and City,week 27,2648
Broomfield County and City,week 28,2836
Broomfield County and City,week 29,3224
Broomfield County and City,week 30,3416
Broomfield County and City,week 31,3571
Broomfield County and City,week 32,3708
Broomfield County and City,week 33,3813
Broomfield County and City,week 34,3936
Broomfield County and City,week 35,578
Chaffee County,week 1,0
Chaffee County,week 2,0
Chaffee County,week 3,0
Chaffee County,week 4,0
Chaffee County,week 5,0
Chaffee County,week 6,0
Chaffee County,week 7,0
Chaffee County,week 8,0
Chaffee County,week 9,11
Chaffee County,week 10,71
Chaffee County,week 11,141
Chaffee County,week 12,188
Chaffee County,week 13,252
Chaffee County,week 14,438
Chaffee County,week 15,468
Chaffee County,week 16,476
Chaffee County,week 17,483
Chaffee County,week 18,489
Chaffee County,week 19,511
Chaffee County,week 20,537
Chaffee County,week 21,539
Chaffee County,week 22,539
Chaffee County,week 23,539
Chaffee County,week 24,541
Chaffee County,week 25,697
Chaffee County,week 26,1225
Chaffee County,week 27,1743
Chaffee County,week 28,2000
Chaffee County,week 29,2094
Chaffee County,week 30,2126
Chaffee County,week 31,2163
Chaffee County,week 32,2207
Chaffee County,week 33,2217
Chaffee County,week 34,2227
Chaffee County,week 35,319
Cheyenne County,week 1,0
Cheyenne County,week 2,0
Cheyenne County,week 3,0
