,,deaths
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,0
Adams County,week 10,2
Adams County,week 11,67
Adams County,week 12,157
Adams County,week 13,239
Adams County,week 14,389
Adams County,week 15,469
Adams County,week 16,560
Adams County,week 17,686
Adams County,week 18,779
Adams County,week 19,844
Adams County,week 20,942
Adams County,week 21,1007
Adams County,week 22,1059
Adams County,week 23,1080
Adams County,week 24,1092
Adams County,week 25,1102
Adams County,week 26,1127
Adams County,week 27,1166
Adams County,week 28,1193
Adams County,week 29,1231
Adams County,week 30,1272
Adams County,week 31,1339
Adams County,week 32,1377
Adams County,week 33,1436
Adams County,week 34,1475
Adams County,week 35,213
Alamosa County,week 1,0
Alamosa County,week 2,0
Alamosa County,week 3,0
Alamosa County,week 4,0
Alamosa County,week 5,0
Alamosa County,week 6,0
Alamosa County,week 7,0
Alamosa County,week 8,0
Alamosa County,week 9,0
Alamosa County,week 10,0
Alamosa County,week 11,0
Alamosa County,week 12,12
Alamosa County,week 13,14
Alamosa County,week 14,14
Alamosa County,week 15,14
Alamosa County,week 16,14
Alamosa County,week 17,14
Alamosa County,week 18,14
Alamosa County,week 19,14
Alamosa County,week 20,14
Alamosa County,week 21,21
Alamosa County,week 22,21
Alamosa County,week 23,21
Alamosa County,week 24,29
Alamosa County,week 25,43
Alamosa County,week 26,49
Alamosa County,week 27,49
Alamosa County,week 28,61
Alamosa County,week 29,63
Alamosa County,week 30,63
Alamosa County,week 31,63
Alamosa County,week 32,63
Alamosa County,week 33,63
Alamosa County,week 34,63
Alamosa County,week 35,9
Arapahoe County,week 1,0
Arapahoe County,week 2,0
Arapahoe County,week 3,0
Arapahoe County,week 4,0
Arapahoe County,week 5,0
Arapahoe County,week 6,0
Arapahoe County,week 7,0
Arapahoe County,week 8,0
Arapahoe County,week 9,0
Arapahoe County,week 10,17
Arapahoe County,week 11,81
Arapahoe County,week 12,229
Arapahoe County,week 13,444
Arapahoe County,week 14,833
Arapahoe County,week 15,1064
Arapahoe County,week 16,1231
Arapahoe County,week 17,1648
Arapahoe County,week 18,1943
Arapahoe County,week 19,2129
Arapahoe County,week 20,2278
Arapahoe County,week 21,2343
Arapahoe County,week 22,2376
Arapahoe County,week 23,2397
Arapahoe County,week 24,2415
Arapahoe County,week 25,2443
Arapahoe County,week 26,2459
Arapahoe County,week 27,2512
Arapahoe County,week 28,2534
Arapahoe County,week 29,2534
Arapahoe County,week 30,2544
Arapahoe County,week 31,2549
Arapahoe County,week 32,2565
Arapahoe County,week 33,2578
Arapahoe County,week 34,2583
Arapahoe County,week 35,369
Archuleta County,week 1,0
Archuleta County,week 2,0
Archuleta County,week 3,0
Archuleta County,week 4,0
Archuleta County,week 5,0
Archuleta County,week 6,0
Archuleta County,week 7,0
Archuleta County,week 8,0
Archuleta County,week 9,0
Archuleta County,week 10,0
Archuleta County,week 11,0
Archuleta County,week 12,0
Archuleta County,week 13,0
Archuleta County,week 14,0
Archuleta County,week 15,0
Archuleta County,week 16,0
Archuleta County,week 17,0
Archuleta County,week 18,0
Archuleta County,week 19,0
Archuleta County,week 20,0
Archuleta County,week 21,0
Archuleta County,week 22,0
Archuleta County,week 23,0
Archuleta County,week 24,0
Archuleta County,week 25,0
Archuleta County,week 26,0
Archuleta County,week 27,0
Archuleta County,week 28,0
Archuleta County,week 29,0
Archuleta County,week 30,0
Archuleta County,week 31,0
Archuleta County,week 32,0
Archuleta County,week 33,0
Archuleta County,week 34,0
Archuleta County,week 35,0
Baca County,week 1,0
Baca County,week 2,0
Baca County,week 3,0
Baca County,week 4,0
Baca County,week 5,0
Baca County,week 6,0
Baca County,week 7,0
Baca County,week 8,0
Baca County,week 9,0
Baca County,week 10,0
Baca County,week 11,0
Baca County,week 12,0
Baca County,week 13,0
Baca County,week 14,0
Baca County,week 15,0
Baca County,week 16,0
Baca County,week 17,0
Baca County,week 18,0
Baca County,week 19,0
Baca County,week 20,0
Baca County,week 21,0
Baca County,week 22,0
Baca County,week 23,0
Baca County,week 24,0
Baca County,week 25,0
Baca County,week 26,0
Baca County,week 27,0
Baca County,week 28,0
Baca County,week 29,0
Baca County,week 30,0
Baca County,week 31,0
Baca County,week 32,0
Baca County,week 33,0
Baca County,week 34,0
Baca County,week 35,0
Bent County,week 1,0
Bent County,week 2,0
Bent County,week 3,0
Bent County,week 4,0
Bent County,week 5,0
Bent County,week 6,0
Bent County,week 7,0
Bent County,week 8,0
Bent County,week 9,0
Bent County,week 10,0
Bent County,week 11,0
Bent County,week 12,0
Bent County,week 13,0
Bent County,week 14,0
Bent County,week 15,0
Bent County,week 16,0
Bent County,week 17,0
Bent County,week 18,0
Bent County,week 19,0
Bent County,week 20,0
Bent County,week 21,0
Bent County,week 22,0
Bent County,week 23,0
Bent County,week 24,0
Bent County,week 25,0
Bent County,week 26,0
Bent County,week 27,0
Bent County,week 28,0
Bent County,week 29,0
Bent County,week 30,0
Bent County,week 31,0
Bent County,week 32,0
Bent County,week 33,0
Bent County,week 34,0
Bent County,week 35,0
Boulder County,week 1,0
Boulder County,week 2,0
Boulder County,week 3,0
Boulder County,week 4,0
Boulder County,week 5,0
Boulder County,week 6,0
Boulder County,week 7,0
Boulder County,week 8,0
Boulder County,week 9,0
Boulder County,week 10,6
Boulder County,week 11,17
Boulder County,week 12,61
Boulder County,week 13,114
Boulder County,week 14,198
Boulder County,week 15,295
Boulder County,week 16,359
Boulder County,week 17,412
Boulder County,week 18,428
Boulder County,week 19,451
Boulder County,week 20,469
Boulder County,week 21,482
Boulder County,week 22,495
Boulder County,week 23,498
Boulder County,week 24,504
Boulder County,week 25,510
Boulder County,week 26,518
Boulder County,week 27,518
Boulder County,week 28,518
Boulder County,week 29,520
Boulder County,week 30,536
Boulder County,week 31,551
Boulder County,week 32,553
Boulder County,week 33,553
Boulder County,week 34,553
Boulder County,week 35,79
Broomfield County,week 1,0
Broomfield County,week 2,0
Broomfield County,week 3,0
Broomfield County,week 4,0
Broomfield County,week 5,0
Broomfield County,week 6,0
Broomfield County,week 7,0
Broomfield County,week 8,0
Broomfield County,week 9,0
Broomfield County,week 10,1
Broomfield County,week 11,14
Broomfield County,week 12,14
Broomfield County,week 13,14
Broomfield County,week 14,35
Broomfield County,week 15,81
Broomfield County,week 16,119
Broomfield County,week 17,154
Broomfield County,week 18,174
Broomfield County,week 19,184
Broomfield County,week 20,189
Broomfield County,week 21,196
Broomfield County,week 22,197
Broomfield County,week 23,205
Broomfield County,week 24,210
Broomfield County,week 25,210
Broomfield County,week 26,212
Broomfield County,week 27,224
Broomfield County,week 28,224
Broomfield County,week 29,224
Broomfield County,week 30,224
Broomfield County,week 31,225
Broomfield County,week 32,231
Broomfield County,week 33,231
Broomfield County,week 34,231
Broomfield County,week 35,33
Chaffee County,week 1,0
Chaffee County,week 2,0
Chaffee County,week 3,0
Chaffee County,week 4,0
Chaffee County,week 5,0
Chaffee County,week 6,0
Chaffee County,week 7,0
Chaffee County,week 8,0
Chaffee County,week 9,0
Chaffee County,week 10,6
Chaffee County,week 11,13
Chaffee County,week 12,20
Chaffee County,week 13,28
Chaffee County,week 14,71
Chaffee County,week 15,107
Chaffee County,week 16,112
Chaffee County,week 17,119
Chaffee County,week 18,128
Chaffee County,week 19,133
Chaffee County,week 20,133
Chaffee County,week 21,133
Chaffee County,week 22,133
Chaffee County,week 23,133
Chaffee County,week 24,133
Chaffee County,week 25,133
Chaffee County,week 26,133
Chaffee County,week 27,133
Chaffee County,week 28,133
Chaffee County,week 29,133
Chaffee County,week 30,133
Chaffee County,week 31,133
Chaffee County,week 32,133
Chaffee County,week 33,133
Chaffee County,week 34,133
Chaffee County,week 35,19
Cheyenne County,week 1,0
Cheyenne County,week 2,0
Cheyenne County,week 3,0
Cheyenne County,week 4,0
Cheyenne County,week 5,0
Cheyenne County,week 6,0
Cheyenne County,week 7,0
Cheyenne County,week 8,0
Cheyenne County,week 9,0
Cheyenne County,week 10,0
Cheyenne County,week 11,0
Cheyenne County,week 12,0
Cheyenne County,week 13,0
Cheyenne County,week 14,0
