,mean,median,mode
Adams County,3906.6285714285714,3449,0
Alamosa County,4034.4857142857145,1682,0
Arapahoe County,3696.0857142857144,3887,0
Archuleta County,657.7714285714286,399,399
Baca County,1750.6285714285714,2346,0
Bent County,377.65714285714284,197,0
Boulder County,1989.8285714285714,1788,0
Broomfield County and City,2108.0285714285715,2073,0
Chaffee County,3542.8285714285716,2373,0
Cheyenne County,1365.5142857142857,1857,0
Clear Creek County,1055.1142857142856,1124,0
Conejos County,752.1714285714286,85,0
Costilla County,1908.8857142857144,540,0
Crowley County,4187.771428571428,4504,0
Custer County,588.4571428571429,276,276
Delta County,1304.9142857142858,1226,0
Denver County,4521.571428571428,4370,0
Dolores County,136.25714285714287,0,0
Douglas County,1503.3428571428572,1266,0
Eagle County,6840.371428571429,7207,0
Elbert County,1190.4571428571428,1149,0
El Paso County,1955.3714285714286,1241,0
Fremont County,642.2,362,0
Garfield County,3084.0857142857144,1409,0
Gilpin County,632.4571428571429,288,0
Grand County,825.9428571428572,261,0
Gunnison County,5659.942857142857,7055,0
Hinsdale County,1721.2857142857142,2561,2561
Huerfano County,323.7142857142857,304,0
Jackson County,1264.4,0,0
Jefferson County,2319.4857142857145,2162,0
Kiowa County,0.0,0,0
Kit Carson County,2547.5714285714284,2536,0
Lake County,2735.5714285714284,2141,0
La Plata County,1108.4,843,0
Larimer County,1276.0857142857142,944,0
Las Animas County,315.9142857142857,193,0
Lincoln County,391.3142857142857,368,0
Logan County,11105.142857142857,15146,0
Mesa County,524.4,230,0
Mineral County,5796.171428571429,1821,1821
Moffat County,569.8285714285714,316,0
Montezuma County,1234.8857142857144,710,0
Montrose County,2309.7428571428572,2177,0
Morgan County,9203.085714285715,13279,0
Otero County,897.8,471,0
Ouray County,1053.0,949,0
Park County,692.7714285714286,616,0
Phillips County,1593.0285714285715,1594,0
Pitkin County,3040.057142857143,2195,0
Prowers County,1275.3142857142857,665,0
Pueblo County,1224.8857142857144,837,0
Rio Blanco County,544.9714285714285,111,0
Rio Grande County,2306.6,763,0
Routt County,1538.9714285714285,1611,0
Saguache County,4981.571428571428,1627,0
San Juan County,1118.5714285714287,962,0
San Miguel County,2764.8285714285716,1883,0
Sedgwick County,892.2285714285714,0,0
Summit County,3823.8571428571427,4095,0
Teller County,1340.6285714285714,855,0
Washington County,3376.457142857143,1406,0
Weld County,4066.5142857142855,4903,0
Yuma County,1922.1714285714286,769,0
