Day,Cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,2
3/7/2020,0
3/8/2020,0
3/9/2020,1
3/10/2020,0
3/11/2020,1
3/12/2020,3
3/13/2020,4
3/14/2020,0
3/15/2020,3
3/16/2020,2
3/17/2020,3
3/18/2020,5
3/19/2020,12
3/20/2020,27
3/21/2020,20
3/22/2020,33
3/23/2020,35
3/24/2020,67
3/25/2020,87
3/26/2020,118
3/27/2020,135
3/28/2020,163
3/29/2020,165
3/30/2020,233
3/31/2020,246
4/1/2020,276
4/2/2020,324
4/3/2020,388
4/4/2020,555
4/5/2020,421
4/6/2020,400
4/7/2020,531
4/8/2020,478
4/9/2020,518
4/10/2020,549
4/11/2020,506
4/12/2020,336
4/13/2020,410
4/14/2020,404
4/15/2020,369
4/16/2020,432
4/17/2020,504
4/18/2020,501
4/19/2020,342
4/20/2020,231
4/21/2020,352
4/22/2020,286
4/23/2020,341
4/24/2020,413
4/25/2020,356
4/26/2020,285
4/27/2020,254
4/28/2020,330
4/29/2020,301
4/30/2020,379
5/1/2020,317
5/2/2020,359
5/3/2020,282
5/4/2020,219
5/5/2020,252
5/6/2020,229
5/7/2020,373
5/8/2020,309
5/9/2020,292
5/10/2020,422
5/11/2020,145
5/12/2020,196
5/13/2020,242
5/14/2020,266
5/15/2020,256
5/16/2020,277
5/17/2020,176
5/18/2020,183
5/19/2020,156
5/20/2020,201
5/21/2020,275
5/22/2020,230
5/23/2020,217
5/24/2020,187
5/25/2020,113
5/26/2020,131
5/27/2020,179
5/28/2020,152
5/29/2020,195
5/30/2020,174
5/31/2020,142
6/1/2020,95
6/2/2020,164
6/3/2020,136
6/4/2020,202
6/5/2020,143
6/6/2020,220
6/7/2020,177
6/8/2020,106
6/9/2020,146
6/10/2020,118
6/11/2020,177
6/12/2020,200
6/13/2020,196
6/14/2020,101
6/15/2020,103
6/16/2020,114
6/17/2020,110
6/18/2020,149
6/19/2020,179
6/20/2020,164
6/21/2020,150
6/22/2020,128
6/23/2020,155
6/24/2020,137
6/25/2020,161
6/26/2020,195
6/27/2020,197
6/28/2020,208
6/29/2020,145
6/30/2020,199
7/1/2020,203
7/2/2020,252
7/3/2020,230
7/4/2020,275
7/5/2020,185
7/6/2020,123
7/7/2020,266
7/8/2020,296
7/9/2020,212
7/10/2020,349
7/11/2020,278
7/12/2020,219
7/13/2020,168
7/14/2020,294
7/15/2020,344
7/16/2020,243
7/17/2020,325
7/18/2020,278
7/19/2020,236
7/20/2020,250
7/21/2020,355
7/22/2020,265
7/23/2020,286
7/24/2020,375
7/25/2020,350
7/26/2020,317
7/27/2020,200
7/28/2020,416
7/29/2020,298
7/30/2020,287
7/31/2020,298
8/1/2020,371
8/2/2020,253
8/3/2020,210
8/4/2020,327
8/5/2020,288
8/6/2020,338
8/7/2020,322
8/8/2020,341
8/9/2020,320
8/10/2020,262
8/11/2020,352
8/12/2020,363
8/13/2020,381
8/14/2020,344
8/15/2020,342
8/16/2020,297
8/17/2020,175
8/18/2020,303
8/19/2020,254
8/20/2020,373
8/21/2020,308
8/22/2020,325
8/23/2020,261
8/24/2020,147
8/25/2020,235
8/26/2020,246
8/27/2020,273
8/28/2020,374
8/29/2020,353
8/30/2020,323
8/31/2020,193
9/1/2020,291
9/2/2020,400
9/3/2020,482
9/4/2020,390
9/5/2020,423
9/6/2020,278
9/7/2020,246
9/8/2020,187
9/9/2020,471
9/10/2020,245
9/11/2020,479
9/12/2020,443
9/13/2020,5
9/14/2020,539
9/15/2020,499
9/16/2020,367
9/17/2020,459
9/18/2020,354
9/19/2020,391
9/20/2020,349
9/21/2020,287
9/22/2020,391
9/23/2020,387
9/24/2020,379
9/25/2020,434
9/26/2020,495
9/27/2020,502
9/28/2020,313
9/29/2020,474
9/30/2020,499
10/1/2020,500
10/2/2020,617
10/3/2020,0
10/4/2020,1252
10/5/2020,441
10/6/2020,514
10/7/2020,682
10/8/2020,654
10/9/2020,654
10/10/2020,866
10/11/2020,686
10/12/2020,578
10/13/2020,675
10/14/2020,570
10/15/2020,808
10/16/2020,823
10/17/2020,947
10/18/2020,660
10/19/2020,537
10/20/2020,718
10/21/2020,734
10/22/2020,1128
10/23/2020,1177
10/24/2020,1105
10/25/2020,839
10/26/2020,709
10/27/2020,1313
10/28/2020,1143
10/29/2020,1145
10/30/2020,1402
10/31/2020,1404
11/1/2020,1136
11/2/2020,1222
11/3/2020,1502
11/4/2020,1529
11/5/2020,1653
11/6/2020,1826
11/7/2020,2057
11/8/2020,1613
11/9/2020,1607
11/10/2020,2332
11/11/2020,2537
