,,cases
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,26
Adams County,week 10,55
Adams County,week 11,145
Adams County,week 12,325
Adams County,week 13,531
Adams County,week 14,773
Adams County,week 15,989
Adams County,week 16,1102
Adams County,week 17,1288
Adams County,week 18,1523
Adams County,week 19,1717
Adams County,week 20,1879
Adams County,week 21,2014
Adams County,week 22,2176
Adams County,week 23,2294
Adams County,week 24,2438
Adams County,week 25,2682
Adams County,week 26,2878
Adams County,week 27,3076
Adams County,week 28,3281
Adams County,week 29,3541
Adams County,week 30,3809
Adams County,week 31,3948
Adams County,week 32,4323
Adams County,week 33,4903
Adams County,week 34,5120
Adams County,week 35,5454
Adams County,week 36,5776
Adams County,week 37,6090
Adams County,week 38,6471
Adams County,week 39,6919
Adams County,week 40,7513
Adams County,week 41,8222
Adams County,week 42,9174
Adams County,week 43,1408
Allegheny County,week 1,0
Allegheny County,week 2,0
Allegheny County,week 3,0
Allegheny County,week 4,0
Allegheny County,week 5,0
Allegheny County,week 6,0
Allegheny County,week 7,0
Allegheny County,week 8,19
Allegheny County,week 9,232
Allegheny County,week 10,1523
Allegheny County,week 11,3739
Allegheny County,week 12,5729
Allegheny County,week 13,6921
Allegheny County,week 14,8282
Allegheny County,week 15,9299
Allegheny County,week 16,10314
Allegheny County,week 17,11175
Allegheny County,week 18,12295
Allegheny County,week 19,13204
Allegheny County,week 20,13917
Allegheny County,week 21,14508
Allegheny County,week 22,15167
Allegheny County,week 23,17438
Allegheny County,week 24,23994
Allegheny County,week 25,33244
Allegheny County,week 26,42747
Allegheny County,week 27,50024
Allegheny County,week 28,56816
Allegheny County,week 29,61426
Allegheny County,week 30,65397
Allegheny County,week 31,68650
Allegheny County,week 32,71441
Allegheny County,week 33,74771
Allegheny County,week 34,77831
Allegheny County,week 35,81519
Allegheny County,week 36,84591
Allegheny County,week 37,88218
Allegheny County,week 38,92284
Allegheny County,week 39,97510
Allegheny County,week 40,103448
Allegheny County,week 41,110377
Allegheny County,week 42,119988
Allegheny County,week 43,18339
Armstrong County,week 1,0
Armstrong County,week 2,0
Armstrong County,week 3,0
Armstrong County,week 4,0
Armstrong County,week 5,0
Armstrong County,week 6,0
Armstrong County,week 7,0
Armstrong County,week 8,0
Armstrong County,week 9,1
Armstrong County,week 10,16
Armstrong County,week 11,78
Armstrong County,week 12,170
Armstrong County,week 13,243
Armstrong County,week 14,314
Armstrong County,week 15,362
Armstrong County,week 16,385
Armstrong County,week 17,401
Armstrong County,week 18,407
Armstrong County,week 19,433
Armstrong County,week 20,452
Armstrong County,week 21,462
Armstrong County,week 22,482
Armstrong County,week 23,505
Armstrong County,week 24,544
Armstrong County,week 25,587
Armstrong County,week 26,739
Armstrong County,week 27,1050
Armstrong County,week 28,1282
Armstrong County,week 29,1458
Armstrong County,week 30,1682
Armstrong County,week 31,1919
Armstrong County,week 32,2165
Armstrong County,week 33,2411
Armstrong County,week 34,2644
Armstrong County,week 35,2857
Armstrong County,week 36,3025
Armstrong County,week 37,3219
Armstrong County,week 38,3503
Armstrong County,week 39,3914
Armstrong County,week 40,4442
Armstrong County,week 41,5352
Armstrong County,week 42,6472
Armstrong County,week 43,1051
Beaver County,week 1,0
Beaver County,week 2,0
Beaver County,week 3,0
Beaver County,week 4,0
Beaver County,week 5,0
Beaver County,week 6,0
Beaver County,week 7,0
Beaver County,week 8,1
Beaver County,week 9,18
Beaver County,week 10,186
Beaver County,week 11,539
Beaver County,week 12,993
Beaver County,week 13,1671
Beaver County,week 14,2473
Beaver County,week 15,3017
Beaver County,week 16,3379
Beaver County,week 17,3638
Beaver County,week 18,3872
Beaver County,week 19,4091
Beaver County,week 20,4202
Beaver County,week 21,4279
Beaver County,week 22,4350
Beaver County,week 23,4519
Beaver County,week 24,5041
Beaver County,week 25,5765
Beaver County,week 26,6581
Beaver County,week 27,7691
Beaver County,week 28,8526
Beaver County,week 29,9129
Beaver County,week 30,9748
Beaver County,week 31,10385
Beaver County,week 32,11060
Beaver County,week 33,11809
Beaver County,week 34,12323
Beaver County,week 35,12785
Beaver County,week 36,13143
Beaver County,week 37,13707
Beaver County,week 38,14211
Beaver County,week 39,14895
Beaver County,week 40,15563
Beaver County,week 41,16268
Beaver County,week 42,17354
Beaver County,week 43,2637
Bedford County,week 1,0
Bedford County,week 2,0
Bedford County,week 3,0
Bedford County,week 4,0
Bedford County,week 5,0
Bedford County,week 6,0
Bedford County,week 7,0
Bedford County,week 8,0
Bedford County,week 9,0
Bedford County,week 10,2
Bedford County,week 11,25
Bedford County,week 12,31
Bedford County,week 13,93
Bedford County,week 14,142
Bedford County,week 15,170
Bedford County,week 16,198
Bedford County,week 17,217
Bedford County,week 18,252
Bedford County,week 19,273
Bedford County,week 20,303
Bedford County,week 21,336
Bedford County,week 22,449
Bedford County,week 23,540
Bedford County,week 24,621
Bedford County,week 25,642
Bedford County,week 26,704
Bedford County,week 27,812
Bedford County,week 28,900
Bedford County,week 29,977
Bedford County,week 30,1053
Bedford County,week 31,1115
Bedford County,week 32,1173
Bedford County,week 33,1239
Bedford County,week 34,1406
Bedford County,week 35,1576
Bedford County,week 36,1673
Bedford County,week 37,1789
Bedford County,week 38,1978
Bedford County,week 39,2292
Bedford County,week 40,2611
Bedford County,week 41,3106
Bedford County,week 42,4261
Bedford County,week 43,727
Berks County,week 1,0
Berks County,week 2,0
Berks County,week 3,0
Berks County,week 4,0
Berks County,week 5,0
Berks County,week 6,0
Berks County,week 7,0
Berks County,week 8,0
Berks County,week 9,57
Berks County,week 10,462
Berks County,week 11,1726
Berks County,week 12,6114
Berks County,week 13,11870
Berks County,week 14,16648
Berks County,week 15,19731
Berks County,week 16,22831
Berks County,week 17,25382
Berks County,week 18,26937
Berks County,week 19,28157
Berks County,week 20,29290
Berks County,week 21,30081
Berks County,week 22,30741
Berks County,week 23,31421
Berks County,week 24,32027
Berks County,week 25,32715
Berks County,week 26,33617
Berks County,week 27,34934
Berks County,week 28,36201
Berks County,week 29,37463
Berks County,week 30,38888
Berks County,week 31,40462
Berks County,week 32,42042
Berks County,week 33,43717
Berks County,week 34,45518
Berks County,week 35,47613
Berks County,week 36,49204
Berks County,week 37,51066
Berks County,week 38,53931
Berks County,week 39,57429
Berks County,week 40,61781
Berks County,week 41,66964
Berks County,week 42,71870
Berks County,week 43,10767
Blair County,week 1,0
Blair County,week 2,0
Blair County,week 3,0
Blair County,week 4,0
Blair County,week 5,0
Blair County,week 6,0
Blair County,week 7,0
Blair County,week 8,0
Blair County,week 9,0
Blair County,week 10,15
Blair County,week 11,33
Blair County,week 12,63
Blair County,week 13,92
Blair County,week 14,132
Blair County,week 15,166
Blair County,week 16,196
Blair County,week 17,243
Blair County,week 18,317
Blair County,week 19,347
Blair County,week 20,369
Blair County,week 21,380
Blair County,week 22,401
Blair County,week 23,491
Blair County,week 24,566
Blair County,week 25,700
Blair County,week 26,912
Blair County,week 27,1193
Blair County,week 28,1513
Blair County,week 29,1910
Blair County,week 30,2321
Blair County,week 31,2749
Blair County,week 32,3108
Blair County,week 33,3412
Blair County,week 34,3623
Blair County,week 35,3956
Blair County,week 36,4628
Blair County,week 37,5310
Blair County,week 38,6074
Blair County,week 39,6977
Blair County,week 40,7999
Blair County,week 41,9746
Blair County,week 42,12835
Blair County,week 43,2076
Bradford County,week 1,0
Bradford County,week 2,0
Bradford County,week 3,0
Bradford County,week 4,0
Bradford County,week 5,0
Bradford County,week 6,0
Bradford County,week 7,0
Bradford County,week 8,0
Bradford County,week 9,1
Bradford County,week 10,21
Bradford County,week 11,69
Bradford County,week 12,120
Bradford County,week 13,160
Bradford County,week 14,196
Bradford County,week 15,233
Bradford County,week 16,257
Bradford County,week 17,285
Bradford County,week 18,304
Bradford County,week 19,322
Bradford County,week 20,322
Bradford County,week 21,326
Bradford County,week 22,344
Bradford County,week 23,382
Bradford County,week 24,395
Bradford County,week 25,413
Bradford County,week 26,444
Bradford County,week 27,513
Bradford County,week 28,568
Bradford County,week 29,601
Bradford County,week 30,643
Bradford County,week 31,663
