,,cases
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,0
Adams County,week 10,0
Adams County,week 11,0
Adams County,week 12,6
Adams County,week 13,7
Adams County,week 14,7
Adams County,week 15,29
Adams County,week 16,35
Adams County,week 17,35
Adams County,week 18,42
Adams County,week 19,53
Adams County,week 20,57
Adams County,week 21,64
Adams County,week 22,77
Adams County,week 23,84
Adams County,week 24,91
Adams County,week 25,96
Adams County,week 26,103
Adams County,week 27,116
Adams County,week 28,138
Adams County,week 29,140
Adams County,week 30,151
Adams County,week 31,161
Adams County,week 32,161
Adams County,week 33,163
Adams County,week 34,170
Adams County,week 35,175
Adams County,week 36,181
Adams County,week 37,182
Adams County,week 38,182
Adams County,week 39,189
Adams County,week 40,189
Adams County,week 41,208
Adams County,week 42,235
Adams County,week 43,34
Allegheny County,week 1,0
Allegheny County,week 2,0
Allegheny County,week 3,0
Allegheny County,week 4,0
Allegheny County,week 5,0
Allegheny County,week 6,0
Allegheny County,week 7,0
Allegheny County,week 8,0
Allegheny County,week 9,5
Allegheny County,week 10,14
Allegheny County,week 11,23
Allegheny County,week 12,121
Allegheny County,week 13,314
Allegheny County,week 14,520
Allegheny County,week 15,694
Allegheny County,week 16,839
Allegheny County,week 17,993
Allegheny County,week 18,1086
Allegheny County,week 19,1137
Allegheny County,week 20,1174
Allegheny County,week 21,1207
Allegheny County,week 22,1248
Allegheny County,week 23,1277
Allegheny County,week 24,1325
Allegheny County,week 25,1360
Allegheny County,week 26,1431
Allegheny County,week 27,1516
Allegheny County,week 28,1622
Allegheny County,week 29,1721
Allegheny County,week 30,1867
Allegheny County,week 31,2019
Allegheny County,week 32,2169
Allegheny County,week 33,2268
Allegheny County,week 34,2323
Allegheny County,week 35,2419
Allegheny County,week 36,2484
Allegheny County,week 37,2542
Allegheny County,week 38,2602
Allegheny County,week 39,2709
Allegheny County,week 40,2828
Allegheny County,week 41,2923
Allegheny County,week 42,3023
Allegheny County,week 43,436
Armstrong County,week 1,0
Armstrong County,week 2,0
Armstrong County,week 3,0
Armstrong County,week 4,0
Armstrong County,week 5,0
Armstrong County,week 6,0
Armstrong County,week 7,0
Armstrong County,week 8,0
Armstrong County,week 9,0
Armstrong County,week 10,0
Armstrong County,week 11,0
Armstrong County,week 12,4
Armstrong County,week 13,12
Armstrong County,week 14,14
Armstrong County,week 15,14
Armstrong County,week 16,14
Armstrong County,week 17,14
Armstrong County,week 18,18
Armstrong County,week 19,29
Armstrong County,week 20,35
Armstrong County,week 21,35
Armstrong County,week 22,40
Armstrong County,week 23,42
Armstrong County,week 24,42
Armstrong County,week 25,42
Armstrong County,week 26,42
Armstrong County,week 27,42
Armstrong County,week 28,42
Armstrong County,week 29,47
Armstrong County,week 30,60
Armstrong County,week 31,63
Armstrong County,week 32,63
Armstrong County,week 33,78
Armstrong County,week 34,89
Armstrong County,week 35,114
Armstrong County,week 36,126
Armstrong County,week 37,126
Armstrong County,week 38,126
Armstrong County,week 39,133
Armstrong County,week 40,141
Armstrong County,week 41,147
Armstrong County,week 42,173
Armstrong County,week 43,27
Beaver County,week 1,0
Beaver County,week 2,0
Beaver County,week 3,0
Beaver County,week 4,0
Beaver County,week 5,0
Beaver County,week 6,0
Beaver County,week 7,0
Beaver County,week 8,0
Beaver County,week 9,0
Beaver County,week 10,1
Beaver County,week 11,33
Beaver County,week 12,92
Beaver County,week 13,185
Beaver County,week 14,335
Beaver County,week 15,471
Beaver County,week 16,490
Beaver County,week 17,490
Beaver County,week 18,500
Beaver County,week 19,510
Beaver County,week 20,518
Beaver County,week 21,528
Beaver County,week 22,540
Beaver County,week 23,546
Beaver County,week 24,552
Beaver County,week 25,553
Beaver County,week 26,564
Beaver County,week 27,574
Beaver County,week 28,620
Beaver County,week 29,639
Beaver County,week 30,656
Beaver County,week 31,666
Beaver County,week 32,672
Beaver County,week 33,704
Beaver County,week 34,748
Beaver County,week 35,801
Beaver County,week 36,852
Beaver County,week 37,883
Beaver County,week 38,927
Beaver County,week 39,955
Beaver County,week 40,976
Beaver County,week 41,982
Beaver County,week 42,994
Beaver County,week 43,142
Bedford County,week 1,0
Bedford County,week 2,0
Bedford County,week 3,0
Bedford County,week 4,0
Bedford County,week 5,0
Bedford County,week 6,0
Bedford County,week 7,0
Bedford County,week 8,0
Bedford County,week 9,0
Bedford County,week 10,0
Bedford County,week 11,0
Bedford County,week 12,4
Bedford County,week 13,7
Bedford County,week 14,7
Bedford County,week 15,7
Bedford County,week 16,7
Bedford County,week 17,8
Bedford County,week 18,14
Bedford County,week 19,14
Bedford County,week 20,14
Bedford County,week 21,14
Bedford County,week 22,14
Bedford County,week 23,20
Bedford County,week 24,28
Bedford County,week 25,28
Bedford County,week 26,28
Bedford County,week 27,28
Bedford County,week 28,28
Bedford County,week 29,28
Bedford County,week 30,28
Bedford County,week 31,33
Bedford County,week 32,35
Bedford County,week 33,35
Bedford County,week 34,42
Bedford County,week 35,42
Bedford County,week 36,42
Bedford County,week 37,42
Bedford County,week 38,42
Bedford County,week 39,42
Bedford County,week 40,42
Bedford County,week 41,50
Bedford County,week 42,63
Bedford County,week 43,11
Berks County,week 1,0
Berks County,week 2,0
Berks County,week 3,0
Berks County,week 4,0
Berks County,week 5,0
Berks County,week 6,0
Berks County,week 7,0
Berks County,week 8,0
Berks County,week 9,0
Berks County,week 10,0
Berks County,week 11,14
Berks County,week 12,113
Berks County,week 13,351
Berks County,week 14,614
Berks County,week 15,851
Berks County,week 16,1166
Berks County,week 17,1508
Berks County,week 18,2015
Berks County,week 19,2189
Berks County,week 20,2308
Berks County,week 21,2360
Berks County,week 22,2403
Berks County,week 23,2444
Berks County,week 24,2463
Berks County,week 25,2500
Berks County,week 26,2520
Berks County,week 27,2534
Berks County,week 28,2555
Berks County,week 29,2576
Berks County,week 30,2617
Berks County,week 31,2637
Berks County,week 32,2657
Berks County,week 33,2682
Berks County,week 34,2697
Berks County,week 35,2717
Berks County,week 36,2752
Berks County,week 37,2782
Berks County,week 38,2829
Berks County,week 39,2884
Berks County,week 40,2932
Berks County,week 41,2968
Berks County,week 42,3043
Berks County,week 43,438
Blair County,week 1,0
Blair County,week 2,0
Blair County,week 3,0
Blair County,week 4,0
Blair County,week 5,0
Blair County,week 6,0
Blair County,week 7,0
Blair County,week 8,0
Blair County,week 9,0
Blair County,week 10,0
Blair County,week 11,0
Blair County,week 12,0
Blair County,week 13,0
Blair County,week 14,0
Blair County,week 15,0
Blair County,week 16,0
Blair County,week 17,2
Blair County,week 18,7
Blair County,week 19,7
Blair County,week 20,7
Blair County,week 21,7
Blair County,week 22,7
Blair County,week 23,7
Blair County,week 24,7
Blair County,week 25,7
Blair County,week 26,7
Blair County,week 27,13
Blair County,week 28,21
Blair County,week 29,32
Blair County,week 30,54
Blair County,week 31,57
Blair County,week 32,76
Blair County,week 33,85
Blair County,week 34,91
Blair County,week 35,103
Blair County,week 36,120
Blair County,week 37,130
Blair County,week 38,145
Blair County,week 39,163
Blair County,week 40,188
Blair County,week 41,219
Blair County,week 42,244
Blair County,week 43,40
Bradford County,week 1,0
Bradford County,week 2,0
Bradford County,week 3,0
Bradford County,week 4,0
Bradford County,week 5,0
Bradford County,week 6,0
Bradford County,week 7,0
Bradford County,week 8,0
Bradford County,week 9,0
Bradford County,week 10,0
Bradford County,week 11,0
Bradford County,week 12,0
Bradford County,week 13,4
Bradford County,week 14,14
Bradford County,week 15,14
Bradford County,week 16,14
Bradford County,week 17,16
Bradford County,week 18,21
Bradford County,week 19,21
Bradford County,week 20,21
Bradford County,week 21,21
Bradford County,week 22,21
Bradford County,week 23,21
Bradford County,week 24,21
Bradford County,week 25,21
Bradford County,week 26,21
Bradford County,week 27,21
Bradford County,week 28,21
Bradford County,week 29,21
Bradford County,week 30,21
Bradford County,week 31,21
Bradford County,week 32,21
Bradford County,week 33,21
Bradford County,week 34,21
Bradford County,week 35,21
Bradford County,week 36,22
Bradford County,week 37,35
Bradford County,week 38,42
Bradford County,week 39,48
Bradford County,week 40,77
Bradford County,week 41,104
