,mean,median,mode
Adams County,2570.6511627906975,1955,0
Allegheny County,2995.5581395348836,1247,0
Armstrong County,1976.8139534883721,745,0
Beaver County,3686.3720930232557,2610,0
Bedford County,1635.8837209302326,938,0
Berks County,6458.6511627906975,7142,0
Blair County,1619.7906976744187,329,0
Bradford County,1449.4418604651162,570,0
Bucks County,5310.069767441861,6023,0
Butler County,1857.7209302325582,992,0
Cambria County,1412.3023255813953,329,0
Cameron County,609.1860465116279,315,0
Carbon County,2787.0697674418607,2806,0
Centre County,3402.860465116279,775,0
Chester County,4420.883720930233,4347,0
Clarion County,1146.6744186046512,570,0
Clearfield County,1138.6046511627908,568,0
Clinton County,1608.6511627906978,1131,0
Columbia County,4423.976744186047,4044,0
Crawford County,1051.139534883721,323,0
Cumberland County,2447.8372093023254,1984,0
Dauphin County,4641.0,4045,0
Delaware County,7610.3488372093025,8471,0
Elk County,884.4418604651163,181,0
Erie County,1804.3023255813953,1158,0
Fayette County,1733.7674418604652,554,0
Forest County,755.046511627907,676,676
Franklin County,3947.0697674418607,3772,0
Fulton County,1100.5116279069769,847,0
Greene County,1515.953488372093,629,0
Huntingdon County,3956.046511627907,3693,0
Indiana County,2328.0232558139537,811,0
Jefferson County,819.2093023255813,322,0
Juniata County,2832.3720930232557,3000,0
Lackawanna County,4810.604651162791,5339,0
Lancaster County,5020.813953488372,4758,0
Lawrence County,2044.4186046511627,738,0
Lebanon County,5619.418604651163,5687,0
Lehigh County,6359.372093023256,7460,0
Luzerne County,5437.558139534884,6230,0
Lycoming County,1811.046511627907,1049,0
McKean County,517.5581395348837,236,0
Mercer County,1930.1627906976744,757,0
Mifflin County,1619.0232558139535,923,0
Monroe County,4640.023255813953,5542,0
Montgomery County,5657.279069767442,6612,0
Montour County,3434.4186046511627,2315,0
Northampton County,6108.139534883721,7396,0
Northumberland County,3237.3953488372094,2002,0
Perry County,1570.093023255814,1070,0
Philadelphia County,7900.813953488372,8755,0
Pike County,4630.46511627907,6051,0
Potter County,656.3953488372093,539,0
Schuylkill County,3358.4883720930234,3369,0
Snyder County,2097.7441860465115,1055,0
Somerset County,1009.3255813953489,434,0
Sullivan County,707.6976744186046,346,0
Susquehanna County,2693.5813953488373,2894,0
Tioga County,765.4418604651163,365,0
Union County,2997.186046511628,1338,0
Venango County,730.3255813953489,235,0
Warren County,305.4418604651163,89,0
Washington County,1906.5581395348838,556,0
Wayne County,1677.3488372093022,1708,0
Westmoreland County,2247.5116279069766,1048,0
Wyoming County,1159.046511627907,952,0
York County,3136.8372093023254,1788,0
