,mean,median,mode
Adams County,55.77142857142857,34,0
Allegheny County,71.97142857142858,82,0
Armstrong County,39.6,23,0
Beaver County,214.25714285714287,299,0
Bedford County,28.4,17,0
Berks County,319.9428571428571,358,0
Blair County,11.971428571428572,6,0
Bradford County,20.085714285714285,27,35
Bucks County,344.4,454,0
Butler County,30.742857142857144,29,0
Cambria County,9.514285714285714,7,0
Cameron County,0.0,0,0
Carbon County,163.14285714285714,201,0
Centre County,19.0,21,0
Chester County,237.77142857142857,290,0
Clarion County,22.457142857142856,23,0
Clearfield County,1.3428571428571427,0,0
Clinton County,36.22857142857143,10,0
Columbia County,203.28571428571428,311,0
Crawford County,3.4285714285714284,0,0
Cumberland County,96.2,110,0
Dauphin County,176.25714285714287,106,0
Delaware County,447.2,538,0
Elk County,11.8,0,0
Erie County,22.085714285714285,10,0
Fayette County,15.971428571428572,22,22
Forest County,0.0,0,0
Franklin County,100.37142857142857,75,0
Fulton County,34.714285714285715,14,0
Greene County,3.657142857142857,0,0
Huntingdon County,30.65714285714286,13,0
Indiana County,32.17142857142857,33,0
Jefferson County,7.0285714285714285,0,0
Juniata County,78.51428571428572,36,0
Lackawanna County,372.57142857142856,418,0
Lancaster County,261.0,261,0
Lawrence County,57.114285714285714,60,0
Lebanon County,122.68571428571428,99,0
Lehigh County,307.8285714285714,279,0
Luzerne County,217.4,270,0
Lycoming County,61.0,46,0
McKean County,10.371428571428572,17,0
Mercer County,27.571428571428573,16,0
Mifflin County,7.457142857142857,4,15
Monroe County,268.1714285714286,306,0
Montgomery County,377.3142857142857,471,0
Montour County,39.77142857142857,0,0
Northampton County,338.34285714285716,391,0
Northumberland County,53.714285714285715,20,0
Perry County,36.82857142857143,15,76
Philadelphia County,384.22857142857146,451,0
Pike County,152.02857142857144,192,263
Potter County,0.0,0,0
Schuylkill County,116.42857142857143,81,0
Snyder County,19.0,17,17
Somerset County,8.314285714285715,0,0
Sullivan County,0.0,0,0
Susquehanna County,218.85714285714286,245,0
Tioga County,22.742857142857144,22,0
Union County,20.485714285714284,16,0
Venango County,1.4857142857142858,0,0
Warren County,5.6571428571428575,0,0
Washington County,21.742857142857144,14,0
Wayne County,65.42857142857143,78,0
Westmoreland County,49.02857142857143,68,0
Wyoming County,102.62857142857143,97,0
York County,57.97142857142857,30,0
