County Name,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020
Anderson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,6,9,10,10,10,10,10,10,10,11,11,11,11,12,12,15,15,15,15,15,15,16,16,21,22,23,24,24,24,24,24,27,28,28,28,28,29,29,29,31,31,31,31,33,34,35,35,36,36,36,37,37,37,37,37,39,39,39,39,39,39,39,40,41,41,41,41,42,42,45,47,48,50,54,55,59,59,59,60,65,66,69,74,74,74,75,78,79,81,89,90,90,97,102,104,105,116,134,142,143,143,166,178,189,195,200,211,219,236,252,265,277,289,300,327,335,374,389,396,430,469,500,536,550,571,583,599,607,630,637,651,668,676,684,693,698,711,722,743,754,759,772,778,799,808,816,828,836,839,841,847,851,851,857,862,874,879,888,915,920,936,949,952,957,963,992,1012,1014,1015,1035,1042,1063
Bedford County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,6,8,8,8,10,12,14,15,17,20,23,25,33,40,48,62,71,76,105,117,128,138,150,159,165,167,169,173,184,193,200,200,201,212,217,222,231,237,238,239,246,248,248,251,252,254,257,259,262,263,264,265,269,269,270,274,283,283,287,292,295,295,297,302,314,325,332,341,346,372,376,378,378,379,392,403,404,416,428,430,432,436,445,451,463,482,482,502,513,520,520,545,559,570,570,584,589,595,598,623,624,630,635,646,654,668,673,679,688,695,696,711,723,741,763,780,785,806,808,823,851,862,871,877,890,901,908,918,928,928,930,940,955,962,964,984,987,989,1006,1016,1023,1037,1051,1057,1064,1076,1094,1098,1105,1107,1114,1127,1137,1143,1144,1149,1164,1166,1169,1172,1196,1215,1217,1231,1241,1250,1263
Benton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,12,12,12,12,12,12,12,13,13,13,13,13,13,15,15,15,15,16,17,24,26,26,26,28,30,32,33,37,38,44,47,50,53,55,70,80,91,92,97,108,111,126,139,148,155,158,158,161,173,179,180,183,187,190,197,205,212,214,223,223,224,231,236,243,250,253,257,260,261,269,278,279,284,286,288,289,293,295,297,303,310,314,323
Bledsoe County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,7,7,7,7,8,9,9,10,11,90,351,585,586,588,588,589,592,594,595,596,598,598,601,601,602,603,603,603,603,603,603,603,605,606,606,606,606,606,606,606,606,606,606,606,606,606,606,607,608,608,609,610,610,611,611,611,611,611,613,613,613,613,613,613,613,613,613,613,613,613,613,613,616,616,616,616,616,616,617,618,618,618,619,620,621,623,624,625,627,629,629,631,634,634,636,638,639,641,641,643,643,646,646,647,648,649,653,654,656,659,661,668,672,674,674,686,690,695,705,708,716,717,727,734,746,749,751,752,758,759,760,763,768,768,768,770,772,773,775,775,775,777,782,794,797,798,802,802,802,808,814,819,822,826,831,832,837
Blount County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,6,9,9,10,25,28,32,33,34,36,38,41,42,44,45,46,46,46,46,46,46,46,46,46,46,46,47,48,49,53,53,54,55,55,56,58,63,63,69,69,69,69,69,71,71,72,73,74,75,75,75,75,76,76,76,77,78,81,82,82,84,89,89,89,91,91,92,93,93,93,93,93,94,94,96,96,97,103,103,104,106,110,115,118,119,127,127,130,139,142,150,152,156,156,162,173,188,205,212,218,227,229,262,272,280,306,339,339,348,358,381,416,488,509,518,538,592,663,709,728,756,784,850,915,957,972,1043,1089,1098,1120,1181,1186,1222,1243,1277,1303,1314,1324,1333,1373,1414,1465,1477,1507,1542,1584,1648,1677,1715,1732,1744,1753,1770,1940,1962,1992,2003,2010,2021,2032,2076,2111,2128,2142,2147,2152,2168,2264,2293,2306,2314,2344,2355,2376
Bradley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,5,5,8,9,10,14,18,21,21,21,23,25,28,28,31,31,31,32,33,33,35,37,37,37,37,37,38,38,40,41,43,45,46,48,49,52,52,53,56,59,61,64,68,69,69,72,74,75,80,81,81,82,83,84,84,89,90,91,93,98,99,105,108,113,122,129,146,157,161,166,174,184,199,219,233,238,241,266,272,281,288,302,303,305,314,328,338,349,393,406,421,430,444,444,493,550,580,604,662,674,707,745,773,874,889,925,959,972,1010,1061,1096,1114,1165,1177,1205,1239,1271,1284,1330,1359,1390,1449,1492,1525,1555,1593,1651,1681,1705,1713,1739,1771,1817,1874,1903,1943,1956,1991,2013,2066,2102,2126,2166,2175,2192,2232,2247,2276,2306,2336,2359,2370,2398,2416,2439,2460,2468,2473,2501,2524,2526,2535,2569,2578,2587,2595,2606,2648,2683,2683,2710,2740,2747,2767
Campbell County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,6,6,9,10,10,10,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,22,24,24,24,25,25,26,26,26,26,26,27,27,28,29,31,31,31,36,39,41,44,48,48,51,54,62,65,67,69,70,72,75,77,79,87,92,96,100,102,106,115,122,132,144,148,152,160,165,190,203,207,213,221,224,229,239,247,248,254,254,257,261,264,267,271,275,279,284,288,292,295,299,302,304,311,316,320,322,325,328,328,333,347,351,357,366,369,369,370,381,384,389,391,394,396,399
Cannon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,4,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,16,17,17,17,17,17,17,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,26,27,31,34,36,36,37,37,37,41,45,46,49,50,58,60,65,66,68,69,70,71,72,78,87,87,88,90,98,102,105,107,110,115,117,118,126,131,136,142,143,147,151,154,157,159,160,163,163,165,165,172,175,178,180,185,186,186,187,188,194,198,198,200,202,206,216,222,226,226,230,231,233,237,239,240,241,249,249,254
Carroll County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,5,5,5,5,5,6,6,7,8,8,8,10,10,10,11,12,12,13,13,13,13,14,14,14,14,14,14,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,19,21,22,22,23,24,25,25,25,25,26,26,26,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,29,29,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,38,38,39,39,39,40,44,47,47,48,49,49,51,52,52,52,57,58,63,69,71,73,77,80,85,90,107,109,121,128,139,151,154,181,191,216,226,228,244,251,272,290,296,314,325,330,341,352,379,384,394,401,411,426,449,463,482,508,516,525,530,566,596,611,624,637,643,654,654,667,677,685,694,698,703,713,727,736,739,762,766,781
Carter County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,6,7,10,12,12,12,12,12,13,14,14,14,16,16,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,22,22,23,27,28,30,30,32,34,42,48,49,49,52,54,56,56,56,57,59,65,70,75,77,87,103,105,108,120,128,141,147,162,179,205,220,225,250,266,274,301,318,322,333,354,390,407,424,427,433,452,473,497,512,522,524,532,564,593,602,608,634,643,648,679,688,694,711,727,736,743,770,790,802,815,818,829,845,866,953,959,980,992,995,1000,1011,1032,1038,1045,1053,1065,1067,1080
