County Name,population
Anderson County,76978
Bedford County,49713
Benton County,16160
Bledsoe County,15064
Blount County,133088
Bradley County,108110
Campbell County,39842
Cannon County,14678
Carroll County,27767
Carter County,56391
Cheatham County,40667
Chester County,17297
Claiborne County,31959
Clay County,7615
Cocke County,36004
Coffee County,56520
Crockett County,14230
Cumberland County,60520
Davidson County,694144
Decatur County,11663
DeKalb County,20490
Dickson County,53948
Dyer County,37159
Fayette County,41133
Fentress County,18523
Franklin County,42208
Gibson County,49133
Giles County,29464
Grainger County,23320
Greene County,69069
Grundy County,13427
Hamblen County,64934
Hamilton County,367804
Hancock County,6620
Hardeman County,25050
Hardin County,25652
Hawkins County,56786
Haywood County,17304
Henderson County,28117
Henry County,32345
Hickman County,25178
Houston County,8201
Humphreys County,18582
Jackson County,11786
Jefferson County,54495
Johnson County,17788
Knox County,470313
Lake County,7016
Lauderdale County,25633
Lawrence County,44142
Lewis County,12268
Lincoln County,34366
Loudon County,54068
McMinn County,53794
McNairy County,25694
Macon County,24602
Madison County,97984
Marion County,28907
Marshall County,34375
Maury County,96387
Meigs County,12422
Monroe County,46545
Montgomery County,208993
Moore County,6488
Morgan County,21403
Obion County,30069
Overton County,22241
Perry County,8076
Pickett County,5048
Polk County,16832
Putnam County,80245
Rhea County,33167
Roane County,53382
Robertson County,71813
Rutherford County,332285
Scott County,22068
Sequatchie County,15026
Sevier County,98250
Shelby County,937166
Smith County,20157
Stewart County,13715
Sullivan County,158348
Sumner County,191283
Tipton County,61599
Trousdale County,11284
Unicoi County,17883
Union County,19972
Van Buren County,5872
Warren County,41277
Washington County,129375
Wayne County,16673
Weakley County,33328
White County,27345
Williamson County,238412
Wilson County,144657
