,,cases
Anderson County,week 1,0
Anderson County,week 2,0
Anderson County,week 3,0
Anderson County,week 4,0
Anderson County,week 5,0
Anderson County,week 6,0
Anderson County,week 7,0
Anderson County,week 8,0
Anderson County,week 9,5
Anderson County,week 10,40
Anderson County,week 11,71
Anderson County,week 12,87
Anderson County,week 13,113
Anderson County,week 14,165
Anderson County,week 15,197
Anderson County,week 16,220
Anderson County,week 17,252
Anderson County,week 18,267
Anderson County,week 19,280
Anderson County,week 20,315
Anderson County,week 21,411
Anderson County,week 22,510
Anderson County,week 23,628
Anderson County,week 24,887
Anderson County,week 25,1358
Anderson County,week 26,1946
Anderson County,week 27,2893
Anderson County,week 28,4076
Anderson County,week 29,4707
Anderson County,week 30,5239
Anderson County,week 31,5767
Anderson County,week 32,6021
Anderson County,week 33,6517
Anderson County,week 34,7073
Anderson County,week 35,1063
Bedford County,week 1,0
Bedford County,week 2,0
Bedford County,week 3,0
Bedford County,week 4,0
Bedford County,week 5,0
Bedford County,week 6,0
Bedford County,week 7,0
Bedford County,week 8,0
Bedford County,week 9,0
Bedford County,week 10,8
Bedford County,week 11,50
Bedford County,week 12,126
Bedford County,week 13,435
Bedford County,week 14,1024
Bedford County,week 15,1320
Bedford County,week 16,1596
Bedford County,week 17,1756
Bedford County,week 18,1851
Bedford County,week 19,1984
Bedford County,week 20,2206
Bedford County,week 21,2621
Bedford County,week 22,2949
Bedford County,week 23,3338
Bedford County,week 24,3868
Bedford County,week 25,4294
Bedford County,week 26,4703
Bedford County,week 27,5199
Bedford County,week 28,5898
Bedford County,week 29,6403
Bedford County,week 30,6781
Bedford County,week 31,7254
Bedford County,week 32,7721
Bedford County,week 33,8072
Bedford County,week 34,8522
Bedford County,week 35,1263
Benton County,week 1,0
Benton County,week 2,0
Benton County,week 3,0
Benton County,week 4,0
Benton County,week 5,0
Benton County,week 6,0
Benton County,week 7,0
Benton County,week 8,0
Benton County,week 9,0
Benton County,week 10,16
Benton County,week 11,28
Benton County,week 12,28
Benton County,week 13,28
Benton County,week 14,34
Benton County,week 15,39
Benton County,week 16,42
Benton County,week 17,44
Benton County,week 18,49
Benton County,week 19,49
Benton County,week 20,53
Benton County,week 21,56
Benton County,week 22,56
Benton County,week 23,81
Benton County,week 24,89
Benton County,week 25,106
Benton County,week 26,192
Benton County,week 27,302
Benton County,week 28,593
Benton County,week 29,995
Benton County,week 30,1253
Benton County,week 31,1498
Benton County,week 32,1730
Benton County,week 33,1945
Benton County,week 34,2101
Benton County,week 35,323
Bledsoe County,week 1,0
Bledsoe County,week 2,0
Bledsoe County,week 3,0
Bledsoe County,week 4,0
Bledsoe County,week 5,0
Bledsoe County,week 6,0
Bledsoe County,week 7,0
Bledsoe County,week 8,0
Bledsoe County,week 9,0
Bledsoe County,week 10,8
Bledsoe County,week 11,17
Bledsoe County,week 12,29
Bledsoe County,week 13,61
Bledsoe County,week 14,3377
Bledsoe County,week 15,4174
Bledsoe County,week 16,4218
Bledsoe County,week 17,4235
Bledsoe County,week 18,4242
Bledsoe County,week 19,4250
Bledsoe County,week 20,4275
Bledsoe County,week 21,4291
Bledsoe County,week 22,4291
Bledsoe County,week 23,4313
Bledsoe County,week 24,4337
Bledsoe County,week 25,4399
Bledsoe County,week 26,4472
Bledsoe County,week 27,4532
Bledsoe County,week 28,4644
Bledsoe County,week 29,4874
Bledsoe County,week 30,5176
Bledsoe County,week 31,5344
Bledsoe County,week 32,5417
Bledsoe County,week 33,5577
Bledsoe County,week 34,5752
Bledsoe County,week 35,837
Blount County,week 1,0
Blount County,week 2,0
Blount County,week 3,0
Blount County,week 4,0
Blount County,week 5,0
Blount County,week 6,0
Blount County,week 7,0
Blount County,week 8,0
Blount County,week 9,8
Blount County,week 10,66
Blount County,week 11,242
Blount County,week 12,315
Blount County,week 13,322
Blount County,week 14,359
Blount County,week 15,433
Blount County,week 16,494
Blount County,week 17,526
Blount County,week 18,560
Blount County,week 19,634
Blount County,week 20,656
Blount County,week 21,719
Blount County,week 22,875
Blount County,week 23,1091
Blount County,week 24,1541
Blount County,week 25,2242
Blount County,week 26,3442
Blount County,week 27,5405
Blount County,week 28,7460
Blount County,week 29,8869
Blount County,week 30,10111
Blount County,week 31,11853
Blount County,week 32,13698
Blount County,week 33,14788
Blount County,week 34,16044
Blount County,week 35,2376
Bradley County,week 1,0
Bradley County,week 2,0
Bradley County,week 3,0
Bradley County,week 4,0
Bradley County,week 5,0
Bradley County,week 6,0
Bradley County,week 7,0
Bradley County,week 8,0
Bradley County,week 9,6
Bradley County,week 10,45
Bradley County,week 11,143
Bradley County,week 12,214
Bradley County,week 13,253
Bradley County,week 14,291
Bradley County,week 15,369
Bradley County,week 16,477
Bradley County,week 17,566
Bradley County,week 18,644
Bradley County,week 19,880
Bradley County,week 20,1336
Bradley County,week 21,1888
Bradley County,week 22,2330
Bradley County,week 23,3188
Bradley County,week 24,4745
Bradley County,week 25,6690
Bradley County,week 26,8267
Bradley County,week 27,9829
Bradley County,week 28,11637
Bradley County,week 29,13255
Bradley County,week 30,14840
Bradley County,week 31,16126
Bradley County,week 32,17155
Bradley County,week 33,17914
Bradley County,week 34,18817
Bradley County,week 35,2767
Campbell County,week 1,0
Campbell County,week 2,0
Campbell County,week 3,0
Campbell County,week 4,0
Campbell County,week 5,0
Campbell County,week 6,0
Campbell County,week 7,0
Campbell County,week 8,4
Campbell County,week 9,10
Campbell County,week 10,24
Campbell County,week 11,33
Campbell County,week 12,68
Campbell County,week 13,86
Campbell County,week 14,94
Campbell County,week 15,109
Campbell County,week 16,115
Campbell County,week 17,119
Campbell County,week 18,119
Campbell County,week 19,123
Campbell County,week 20,126
Campbell County,week 21,155
Campbell County,week 22,182
Campbell County,week 23,213
Campbell County,week 24,325
Campbell County,week 25,480
Campbell County,week 26,633
Campbell County,week 27,919
Campbell County,week 28,1359
Campbell County,week 29,1695
Campbell County,week 30,1874
Campbell County,week 31,2064
Campbell County,week 32,2250
Campbell County,week 33,2492
Campbell County,week 34,2705
Campbell County,week 35,399
Cannon County,week 1,0
Cannon County,week 2,0
Cannon County,week 3,0
Cannon County,week 4,0
Cannon County,week 5,0
