,,deaths
Anderson County,week 1,0
Anderson County,week 2,0
Anderson County,week 3,0
Anderson County,week 4,0
Anderson County,week 5,0
Anderson County,week 6,0
Anderson County,week 7,0
Anderson County,week 8,0
Anderson County,week 9,0
Anderson County,week 10,0
Anderson County,week 11,0
Anderson County,week 12,7
Anderson County,week 13,7
Anderson County,week 14,7
Anderson County,week 15,7
Anderson County,week 16,7
Anderson County,week 17,7
Anderson County,week 18,7
Anderson County,week 19,7
Anderson County,week 20,13
Anderson County,week 21,14
Anderson County,week 22,14
Anderson County,week 23,14
Anderson County,week 24,14
Anderson County,week 25,14
Anderson County,week 26,16
Anderson County,week 27,25
Anderson County,week 28,36
Anderson County,week 29,42
Anderson County,week 30,42
Anderson County,week 31,51
Anderson County,week 32,56
Anderson County,week 33,57
Anderson County,week 34,70
Anderson County,week 35,11
Bedford County,week 1,0
Bedford County,week 2,0
Bedford County,week 3,0
Bedford County,week 4,0
Bedford County,week 5,0
Bedford County,week 6,0
Bedford County,week 7,0
Bedford County,week 8,0
Bedford County,week 9,0
Bedford County,week 10,0
Bedford County,week 11,0
Bedford County,week 12,6
Bedford County,week 13,14
Bedford County,week 14,14
Bedford County,week 15,17
Bedford County,week 16,21
Bedford County,week 17,27
Bedford County,week 18,28
Bedford County,week 19,28
Bedford County,week 20,28
Bedford County,week 21,28
Bedford County,week 22,28
Bedford County,week 23,32
Bedford County,week 24,37
Bedford County,week 25,62
Bedford County,week 26,70
Bedford County,week 27,70
Bedford County,week 28,71
Bedford County,week 29,77
Bedford County,week 30,81
Bedford County,week 31,95
Bedford County,week 32,98
Bedford County,week 33,98
Bedford County,week 34,99
Bedford County,week 35,15
Benton County,week 1,0
Benton County,week 2,0
Benton County,week 3,0
Benton County,week 4,0
Benton County,week 5,0
Benton County,week 6,0
Benton County,week 7,0
Benton County,week 8,0
Benton County,week 9,0
Benton County,week 10,0
Benton County,week 11,0
Benton County,week 12,0
Benton County,week 13,0
Benton County,week 14,6
Benton County,week 15,7
Benton County,week 16,7
Benton County,week 17,7
Benton County,week 18,7
Benton County,week 19,7
Benton County,week 20,7
Benton County,week 21,7
Benton County,week 22,7
Benton County,week 23,7
Benton County,week 24,7
Benton County,week 25,7
Benton County,week 26,7
Benton County,week 27,7
Benton County,week 28,7
Benton County,week 29,7
Benton County,week 30,11
Benton County,week 31,21
Benton County,week 32,34
Benton County,week 33,46
Benton County,week 34,61
Benton County,week 35,9
Bledsoe County,week 1,0
Bledsoe County,week 2,0
Bledsoe County,week 3,0
Bledsoe County,week 4,0
Bledsoe County,week 5,0
Bledsoe County,week 6,0
Bledsoe County,week 7,0
Bledsoe County,week 8,0
Bledsoe County,week 9,0
Bledsoe County,week 10,0
Bledsoe County,week 11,0
Bledsoe County,week 12,0
Bledsoe County,week 13,0
Bledsoe County,week 14,0
Bledsoe County,week 15,0
Bledsoe County,week 16,1
Bledsoe County,week 17,7
Bledsoe County,week 18,7
Bledsoe County,week 19,7
Bledsoe County,week 20,7
Bledsoe County,week 21,7
Bledsoe County,week 22,7
Bledsoe County,week 23,7
Bledsoe County,week 24,7
Bledsoe County,week 25,7
Bledsoe County,week 26,7
Bledsoe County,week 27,7
Bledsoe County,week 28,7
Bledsoe County,week 29,8
Bledsoe County,week 30,14
Bledsoe County,week 31,21
Bledsoe County,week 32,24
Bledsoe County,week 33,28
Bledsoe County,week 34,28
Bledsoe County,week 35,4
Blount County,week 1,0
Blount County,week 2,0
Blount County,week 3,0
Blount County,week 4,0
Blount County,week 5,0
Blount County,week 6,0
Blount County,week 7,0
Blount County,week 8,0
Blount County,week 9,0
Blount County,week 10,0
Blount County,week 11,5
Blount County,week 12,20
Blount County,week 13,21
Blount County,week 14,21
Blount County,week 15,21
Blount County,week 16,21
Blount County,week 17,21
Blount County,week 18,21
Blount County,week 19,21
Blount County,week 20,21
Blount County,week 21,21
Blount County,week 22,21
Blount County,week 23,21
Blount County,week 24,21
Blount County,week 25,21
Blount County,week 26,36
Blount County,week 27,48
Blount County,week 28,49
Blount County,week 29,72
Blount County,week 30,105
Blount County,week 31,106
Blount County,week 32,119
Blount County,week 33,119
Blount County,week 34,139
Blount County,week 35,21
Bradley County,week 1,0
Bradley County,week 2,0
Bradley County,week 3,0
Bradley County,week 4,0
Bradley County,week 5,0
Bradley County,week 6,0
Bradley County,week 7,0
Bradley County,week 8,0
Bradley County,week 9,0
Bradley County,week 10,0
Bradley County,week 11,0
Bradley County,week 12,1
Bradley County,week 13,7
Bradley County,week 14,7
Bradley County,week 15,7
Bradley County,week 16,7
Bradley County,week 17,7
Bradley County,week 18,7
Bradley County,week 19,7
Bradley County,week 20,12
Bradley County,week 21,14
Bradley County,week 22,17
Bradley County,week 23,21
Bradley County,week 24,23
Bradley County,week 25,29
Bradley County,week 26,47
Bradley County,week 27,64
Bradley County,week 28,70
Bradley County,week 29,88
Bradley County,week 30,109
Bradley County,week 31,112
Bradley County,week 32,112
Bradley County,week 33,112
Bradley County,week 34,112
Bradley County,week 35,16
Campbell County,week 1,0
Campbell County,week 2,0
Campbell County,week 3,0
Campbell County,week 4,0
Campbell County,week 5,0
Campbell County,week 6,0
Campbell County,week 7,0
Campbell County,week 8,0
Campbell County,week 9,0
Campbell County,week 10,0
Campbell County,week 11,0
Campbell County,week 12,0
Campbell County,week 13,7
Campbell County,week 14,7
Campbell County,week 15,7
Campbell County,week 16,7
Campbell County,week 17,7
Campbell County,week 18,7
Campbell County,week 19,7
Campbell County,week 20,7
Campbell County,week 21,7
Campbell County,week 22,7
Campbell County,week 23,7
Campbell County,week 24,7
Campbell County,week 25,7
Campbell County,week 26,7
Campbell County,week 27,7
Campbell County,week 28,7
Campbell County,week 29,7
Campbell County,week 30,9
Campbell County,week 31,14
Campbell County,week 32,15
Campbell County,week 33,21
Campbell County,week 34,21
Campbell County,week 35,3
Cannon County,week 1,0
Cannon County,week 2,0
Cannon County,week 3,0
Cannon County,week 4,0
Cannon County,week 5,0
Cannon County,week 6,0
Cannon County,week 7,0
Cannon County,week 8,0
Cannon County,week 9,0
Cannon County,week 10,0
Cannon County,week 11,0
Cannon County,week 12,0
