,mean,median,mode
Grand Princess Cruise Ship,,,
Alameda County,,,
Alpine County,,,
Amador County,,,
Butte County,,,
Calaveras County,,,
Colusa County,,,
Contra Costa County,,,
Del Norte County,,,
El Dorado County,,,
Fresno County,,,
Glenn County,,,
Humboldt County,,,
Imperial County,,,
Inyo County,,,
Kern County,,,
Kings County,,,
Lake County,36356.91428571429,38655.0,0.0
Lassen County,,,
Los Angeles County,,,
Madera County,,,
Marin County,,,
Mariposa County,,,
Mendocino County,,,
Merced County,,,
Modoc County,,,
Mono County,,,
Monterey County,,,
Napa County,,,
Nevada County,,,
Orange County,,,
Placer County,,,
Plumas County,,,
Riverside County,,,
Sacramento County,,,
San Benito County,,,
San Bernardino County,,,
San Diego County,,,
San Francisco County,,,
San Joaquin County,,,
San Luis Obispo County,,,
San Mateo County,,,
Santa Barbara County,,,
Santa Clara County,,,
Santa Cruz County,,,
Shasta County,,,
Sierra County,,,
Siskiyou County,,,
Solano County,,,
Sonoma County,,,
Stanislaus County,,,
Sutter County,,,
Tehama County,,,
Trinity County,,,
Tulare County,,,
Tuolumne County,,,
Ventura County,,,
Yolo County,,,
Yuba County,,,
Anderson County,1896.942857142857,347.0,0.0
Bedford County,5243.885714285714,3532.0,0.0
Benton County,2073.885714285714,303.0,0.0
Bledsoe County,18424.6,28113.0,0.0
Blount County,2256.8571428571427,421.0,0.0
Bradley County,4087.6857142857143,596.0,0.0
Campbell County,1346.4571428571428,299.0,0.0
Cannon County,2367.9714285714285,749.0,0.0
Carroll County,2939.7428571428572,670.0,0.0
Carter County,2134.9142857142856,236.0,0.0
Cheatham County,3514.6857142857143,1770.0,0.0
Chester County,3315.9142857142856,486.0,0.0
Claiborne County,1739.1142857142856,175.0,0.0
Clay County,2412.542857142857,552.0,0.0
Cocke County,2781.7714285714287,389.0,0.0
Coffee County,2204.657142857143,798.0,0.0
Crockett County,4137.5142857142855,724.0,0.0
Cumberland County,2361.2,1195.0,0.0
Davidson County,7802.714285714285,3914.0,0.0
Decatur County,3809.8285714285716,300.0,0.0
DeKalb County,3755.4285714285716,1127.0,0.0
Dickson County,3150.285714285714,1305.0,0.0
Dyer County,4337.885714285714,883.0,0.0
Fayette County,4320.6,1748.0,0.0
Fentress County,1659.942857142857,373.0,0.0
Franklin County,2077.2571428571428,751.0,0.0
Gibson County,3424.942857142857,851.0,0.0
Giles County,2589.0285714285715,285.0,0.0
Grainger County,1823.4,180.0,0.0
Greene County,1803.6857142857143,473.0,0.0
Grundy County,2476.5714285714284,1571.0,0.0
Hamblen County,4252.571428571428,271.0,0.0
Hamilton County,4152.028571428571,979.0,0.0
Hancock County,2222.6857142857143,106.0,0.0
Hardeman County,9253.342857142858,5218.0,0.0
Hardin County,4189.5142857142855,288.0,0.0
Hawkins County,1747.5714285714287,382.0,0.0
Haywood County,6466.828571428571,1173.0,0.0
Henderson County,4345.057142857143,306.0,0.0
Henry County,2033.6571428571428,597.0,0.0
Hickman County,2725.0285714285715,1462.0,0.0
Houston County,1924.3714285714286,597.0,0.0
Humphreys County,1538.6857142857143,463.0,0.0
Jackson County,2949.0,908.0,0.0
Jefferson County,2373.9714285714285,347.0,0.0
Johnson County,3340.285714285714,590.0,0.0
Knox County,2304.0,489.0,0.0
Lauderdale County,4658.971428571429,1420.0,0.0
Lawrence County,2855.4285714285716,369.0,0.0
Lewis County,1415.5142857142857,155.0,0.0
Lincoln County,2006.142857142857,483.0,0.0
Loudon County,3291.714285714286,1622.0,0.0
McMinn County,2827.885714285714,1695.0,0.0
McNairy County,3335.0,327.0,0.0
Macon County,8360.942857142858,2801.0,0.0
Madison County,2995.0857142857144,1186.0,0.0
Marion County,2111.657142857143,865.0,0.0
Marshall County,2374.285714285714,561.0,0.0
Maury County,3007.4285714285716,560.0,0.0
Meigs County,2293.6,1336.0,0.0
Monroe County,2502.2285714285713,838.0,0.0
Montgomery County,2173.8285714285716,777.0,0.0
Moore County,2283.8,324.0,0.0
Morgan County,1486.4571428571428,556.0,0.0
Obion County,4122.342857142857,532.0,0.0
Overton County,2803.7714285714287,620.0,0.0
Perry County,2678.4857142857145,1127.0,0.0
Pickett County,1735.8857142857144,357.0,0.0
Polk County,2906.0,582.0,0.0
Putnam County,5929.542857142857,3124.0,0.0
Rhea County,4291.628571428571,2264.0,0.0
Roane County,1770.2571428571428,161.0,0.0
Robertson County,5859.171428571429,2952.0,0.0
Rutherford County,4890.057142857143,2064.0,0.0
Scott County,1171.9714285714285,349.0,0.0
Sequatchie County,1791.057142857143,479.0,0.0
Sevier County,4216.714285714285,507.0,0.0
Shelby County,6271.0,3136.0,0.0
Smith County,4642.828571428571,1022.0,0.0
Stewart County,1334.7428571428572,430.0,0.0
Sullivan County,1494.4857142857143,264.0,0.0
Sumner County,4831.2,2693.0,0.0
Tipton County,5406.771428571428,4581.0,0.0
Trousdale County,52937.45714285714,85759.0,0.0
Unicoi County,2155.2571428571428,117.0,0.0
Union County,1632.8285714285714,140.0,0.0
Van Buren County,1940.4285714285713,477.0,0.0
Warren County,2874.4857142857145,310.0,0.0
Washington County,2049.1428571428573,391.0,0.0
Wayne County,6742.857142857143,2645.0,0.0
Weakley County,3318.9714285714285,546.0,0.0
White County,2826.1428571428573,625.0,0.0
Williamson County,3677.8,1486.0,0.0
Wilson County,3971.0857142857144,1701.0,0.0
