County Name,population
Anderson County,57735
Andrews County,18705
Angelina County,86715
Aransas County,23510
Archer County,8553
Armstrong County,1887
Atascosa County,51153
Austin County,30032
Bailey County,7000
Bandera County,23112
Bastrop County,88723
Baylor County,3509
Bee County,32565
Bell County,362924
Bexar County,2003554
Blanco County,11931
Borden County,654
Bosque County,18685
Bowie County,93245
Brazoria County,374264
Brazos County,229211
Brewster County,9203
Briscoe County,1546
Brooks County,7093
Brown County,37864
Burleson County,18443
Burnet County,48155
Caldwell County,43664
Calhoun County,21290
Callahan County,13943
Cameron County,423163
Camp County,13094
Carson County,5926
Cass County,30026
Castro County,7530
Chambers County,43837
Cherokee County,52646
Childress County,7306
Clay County,10471
Cochran County,2853
Coke County,3387
Coleman County,8175
Collin County,1034730
Collingsworth County,2920
Colorado County,21493
Comal County,156209
Comanche County,13635
Concho County,2726
Cooke County,41257
Coryell County,75951
Cottle County,1398
Crane County,4797
Crockett County,3464
Crosby County,5737
Culberson County,2171
Dallam County,7287
Dallas County,2635516
Dawson County,12728
Deaf Smith County,18546
Delta County,5331
Denton County,887207
DeWitt County,20160
Dickens County,2211
Dimmit County,10124
Donley County,3278
Duval County,11157
Eastland County,18360
Ector County,166223
Edwards County,1932
Ellis County,184826
El Paso County,839238
Erath County,42698
Falls County,17297
Fannin County,35514
Fayette County,25346
Fisher County,3830
Floyd County,5712
Foard County,1155
Fort Bend County,811688
Franklin County,10725
Freestone County,19717
Frio County,20306
Gaines County,21492
Galveston County,342139
Garza County,6229
Gillespie County,26988
Glasscock County,1409
Goliad County,7658
Gonzales County,20837
Gray County,21886
Grayson County,136212
Gregg County,123945
Grimes County,28880
Guadalupe County,166847
Hale County,33406
Hall County,2964
Hamilton County,8461
Hansford County,5399
Hardeman County,3933
Hardin County,57602
Harris County,4713325
Harrison County,66553
Hartley County,5576
Haskell County,5658
Hays County,230191
Hemphill County,3819
Henderson County,82737
Hidalgo County,868707
Hill County,36649
Hockley County,23021
Hood County,61643
Hopkins County,37084
Houston County,22968
Howard County,36664
Hudspeth County,4886
Hunt County,98594
Hutchinson County,20938
Irion County,1536
Jack County,8935
Jackson County,14760
Jasper County,35529
Jeff Davis County,2274
Jefferson County,251565
Jim Hogg County,5200
Jim Wells County,40482
Johnson County,175817
Jones County,20083
Karnes County,15601
Kaufman County,136154
Kendall County,47431
Kenedy County,404
Kent County,762
Kerr County,52600
Kimble County,4337
King County,272
Kinney County,3667
Kleberg County,30680
Knox County,3664
Lamar County,49859
Lamb County,12893
Lampasas County,21428
La Salle County,7520
Lavaca County,20154
Lee County,17239
Leon County,17404
Liberty County,88219
Limestone County,23437
Lipscomb County,3233
Live Oak County,12207
Llano County,21795
Loving County,169
Lubbock County,310569
Lynn County,5951
McCulloch County,7984
McLennan County,256623
McMullen County,743
Madison County,14284
Marion County,9854
Martin County,5771
Mason County,4274
Matagorda County,36643
Maverick County,58722
Medina County,51584
Menard County,2138
Midland County,176832
Milam County,24823
Mills County,4873
Mitchell County,8545
Montague County,19818
Montgomery County,607391
Moore County,20940
Morris County,12388
Motley County,1200
Nacogdoches County,65204
Navarro County,50113
Newton County,13595
Nolan County,14714
Nueces County,362294
Ochiltree County,9836
Oldham County,2112
Orange County,83396
Palo Pinto County,29189
Panola County,23194
Parker County,142878
Parmer County,9605
Pecos County,15823
Polk County,51353
Potter County,117415
Presidio County,6704
Rains County,12514
Randall County,137713
Reagan County,3849
Real County,3452
Red River County,12023
Reeves County,15976
Refugio County,6948
Roberts County,854
Robertson County,17074
Rockwall County,104915
Runnels County,10264
Rusk County,54406
Sabine County,10542
San Augustine County,8237
San Jacinto County,28859
San Patricio County,66730
San Saba County,6055
Schleicher County,2793
Scurry County,16703
Shackelford County,3265
Shelby County,25274
Sherman County,3022
Smith County,232751
Somervell County,9128
Starr County,64633
Stephens County,9366
Sterling County,1291
Stonewall County,1350
Sutton County,3776
Swisher County,7397
Tarrant County,2102515
Taylor County,138034
Terrell County,776
Terry County,12337
Throckmorton County,1501
Titus County,32750
Tom Green County,119200
Travis County,1273954
Trinity County,14651
Tyler County,21672
Upshur County,41753
Upton County,3657
Uvalde County,26741
Val Verde County,49025
Van Zandt County,56590
Victoria County,92084
Walker County,72971
Waller County,55246
Ward County,11998
Washington County,35882
Webb County,276652
Wharton County,41556
Wheeler County,5056
Wichita County,132230
Wilbarger County,12769
Willacy County,21358
Williamson County,590551
Wilson County,51070
Winkler County,8010
Wise County,69984
Wood County,45539
Yoakum County,8713
Young County,18010
Zapata County,14179
Zavala County,11840
