,mean,median,mode
Anderson County,9414.285714285714,783,0
Andrews County,3643.1428571428573,898,0
Angelina County,4465.285714285715,1377,0
Aransas County,1597.3428571428572,145,0
Archer County,822.4,82,0
Armstrong County,1087.2571428571428,742,0
Atascosa County,2035.3142857142857,473,0
Austin County,2232.0,496,0
Bailey County,5913.857142857143,1000,0
Bandera County,848.2285714285714,182,0
Bastrop County,3642.942857142857,1355,0
Baylor County,540.5714285714286,0,0
Bee County,6525.371428571429,178,0
Bell County,2496.3142857142857,561,0
Bexar County,4512.085714285714,832,0
Blanco County,1998.9142857142858,453,0
Borden County,0.0,0,0
Bosque County,1796.2285714285715,225,0
Bowie County,2344.057142857143,1104,0
Brazoria County,4678.342857142857,1538,0
Brazos County,4429.4857142857145,1210,0
Brewster County,4619.914285714286,76,0
Briscoe County,1641.0857142857142,453,0
Brooks County,4197.771428571428,99,0
Brown County,2377.4285714285716,1030,0
Burleson County,3110.3142857142857,813,0
Burnet County,2473.8571428571427,419,0
Caldwell County,5719.542857142857,756,0
Calhoun County,4985.171428571429,1217,0
Callahan County,894.8571428571429,409,0
Cameron County,7545.342857142857,1124,0
Camp County,4789.742857142857,2123,0
Carson County,669.7142857142857,439,0
Cass County,1439.0,496,0
Castro County,6376.371428571429,2869,0
Chambers County,4987.057142857143,942,0
Cherokee County,4167.257142857143,541,0
Childress County,1187.3428571428572,192,0
Clay County,959.7142857142857,201,0
Cochran County,2011.8,245,0
Coke County,2259.057142857143,207,0
Coleman County,793.0285714285715,171,0
Collin County,1980.9142857142858,759,0
Collingsworth County,1080.2571428571428,959,0
Colorado County,3394.6285714285714,628,0
Comal County,2710.7714285714287,358,0
Comanche County,2294.7714285714287,403,0
Concho County,2790.1428571428573,257,0
Cooke County,1279.2571428571428,221,0
Coryell County,2999.3142857142857,2083,0
Cottle County,2571.057142857143,2003,0
Crane County,3989.4857142857145,1459,0
Crockett County,8163.914285714286,0,0
Crosby County,2425.8285714285716,366,0
Culberson County,2010.942857142857,0,0
Dallam County,6134.542857142857,1949,0
Dallas County,5323.885714285714,2240,0
Dawson County,3368.3714285714286,2153,0
Deaf Smith County,9096.542857142857,4572,0
Delta County,683.2857142857143,131,0
Denton County,2181.714285714286,940,0
DeWitt County,6674.885714285714,590,0
Dickens County,1545.5714285714287,317,0
Dimmit County,2734.114285714286,69,0
Donley County,4898.5142857142855,5400,0
Duval County,3988.542857142857,314,0
Eastland County,952.3714285714286,191,0
Ector County,3148.5142857142855,581,0
Edwards County,2722.5714285714284,0,0
Ellis County,3730.0285714285715,1032,0
El Paso County,4778.914285714286,1848,0
Erath County,2660.1428571428573,248,0
Falls County,1660.6571428571428,243,0
Fannin County,2306.885714285714,648,0
Fayette County,2846.2571428571428,876,0
Fisher County,2059.7714285714287,366,0
Floyd County,3470.8571428571427,613,0
Foard County,427.9428571428571,0,0
Fort Bend County,3210.057142857143,1430,0
Franklin County,2116.0,671,0
Freestone County,2400.942857142857,309,0
Frio County,5946.171428571429,1221,0
Gaines County,1690.2,195,0
Galveston County,6296.285714285715,1509,0
Garza County,3047.9714285714285,514,0
Gillespie County,1340.0857142857142,130,0
Glasscock County,1184.3142857142857,497,0
Goliad County,2640.4,640,0
Gonzales County,7753.4,3038,0
Gray County,2825.457142857143,2792,0
Grayson County,2262.114285714286,1280,0
Gregg County,2840.0857142857144,1029,0
Grimes County,7644.885714285714,2341,0
Guadalupe County,2323.457142857143,503,0
Hale County,8749.314285714287,1111,0
Hall County,845.3142857142857,337,0
Hamilton County,2108.885714285714,579,0
Hansford County,3581.1428571428573,2000,0
Hardeman County,976.4,127,0
Hardin County,3878.9142857142856,1582,0
Harris County,4324.0,1558,0
Harrison County,2809.6,2098,0
Hartley County,3662.1714285714284,1381,0
Haskell County,1530.0857142857142,247,0
Hays County,5022.685714285714,792,0
Hemphill County,2510.6857142857143,183,0
Henderson County,1738.7428571428572,450,0
Hidalgo County,4971.114285714286,387,0
Hill County,1947.1142857142856,453,0
Hockley County,2148.342857142857,821,0
Hood County,1930.9714285714285,266,0
Hopkins County,1238.6285714285714,278,0
Houston County,3359.9714285714285,1219,0
Howard County,1230.4857142857143,115,0
Hudspeth County,1464.2571428571428,20,0
Hunt County,2768.3142857142857,519,0
Hutchinson County,1591.6285714285714,864,0
Irion County,1117.942857142857,0,0
Jack County,1779.1142857142856,313,0
Jackson County,5231.714285714285,779,0
Jasper County,1863.9714285714285,538,0
Jeff Davis County,821.8,0,0
Jefferson County,5383.8,1340,0
Jim Hogg County,2693.3714285714286,538,0
Jim Wells County,4142.571428571428,153,0
Johnson County,2419.114285714286,588,0
Jones County,9170.371428571429,3520,19519
Karnes County,6556.542857142857,179,0
Kaufman County,3610.4,928,0
Kendall County,865.7428571428571,354,0
Kenedy County,2765.2571428571428,0,0
Kent County,1042.3428571428572,0,0
Kerr County,1514.0857142857142,181,0
Kimble County,715.2857142857143,161,0
King County,0.0,0,0
Kinney County,977.0571428571428,0,0
Kleberg County,3469.714285714286,339,0
Knox County,2796.342857142857,191,191
Lamar County,3419.2,1811,0
Lamb County,3741.542857142857,737,0
Lampasas County,1172.2285714285715,261,0
La Salle County,8624.114285714286,372,0
Lavaca County,6315.114285714286,293,0
Lee County,2261.8285714285716,342,0
Leon County,1968.6571428571428,362,0
Liberty County,3083.4857142857145,634,0
Limestone County,2778.7714285714287,619,0
Lipscomb County,1535.942857142857,433,0
Live Oak County,3981.6285714285714,500,0
Llano County,846.1428571428571,96,0
Loving County,0.0,0,0
Lubbock County,4870.342857142857,1471,0
Lynn County,2913.285714285714,588,0
McCulloch County,1831.4857142857143,263,0
McLennan County,4196.885714285714,286,0
McMullen County,2630.2285714285713,0,0
Madison County,7901.142857142857,392,0
Marion County,2877.1714285714284,1066,0
Martin County,2162.657142857143,364,0
Mason County,4075.1714285714284,4867,0
Matagorda County,4670.0,1204,0
Maverick County,8452.114285714286,1139,0
Medina County,3782.542857142857,882,0
Menard County,1820.142857142857,0,0
Midland County,3083.6857142857143,489,0
Milam County,3117.942857142857,773,0
Mills County,987.4285714285714,144,0
Mitchell County,1429.4571428571428,82,0
Montague County,989.4285714285714,318,0
Montgomery County,2708.5714285714284,1011,0
Moore County,17037.342857142856,16982,0
Morris County,2291.0285714285715,953,0
Motley County,1033.2,583,583
Nacogdoches County,4355.4857142857145,2501,0
Navarro County,3886.4,597,0
Newton County,1677.9142857142858,206,0
Nolan County,1942.6857142857143,95,0
Nueces County,6928.371428571429,500,0
Ochiltree County,2781.9142857142856,2806,0
Oldham County,1643.6571428571428,994,0
Orange County,3528.6857142857143,787,0
Palo Pinto County,2077.4,243,0
Panola County,4124.542857142857,4773,0
Parker County,1937.3714285714286,327,0
Parmer County,8935.57142857143,3509,0
Pecos County,4063.3714285714286,1157,0
Polk County,2893.4857142857145,705,0
Potter County,10215.57142857143,10810,0
Presidio County,1673.6285714285714,30,0
Rains County,833.6,160,0
Randall County,3603.7428571428572,2717,0
Reagan County,3491.057142857143,0,0
Real County,4392.4857142857145,0,0
Red River County,3388.7428571428572,1971,0
Reeves County,1910.0285714285715,232,0
Refugio County,6115.142857142857,302,0
Roberts County,2221.4,1639,0
Robertson County,2765.114285714286,287,0
Rockwall County,2284.885714285714,1000,0
Runnels County,2691.714285714286,136,0
Rusk County,2172.714285714286,548,0
Sabine County,1297.942857142857,304,0
San Augustine County,5471.885714285714,2392,0
San Jacinto County,1322.1714285714286,329,0
San Patricio County,2998.285714285714,291,0
San Saba County,928.6857142857143,116,0
Schleicher County,3005.5142857142855,0,0
Scurry County,5805.314285714286,84,0
Shackelford County,1179.5428571428572,214,0
Shelby County,4910.857142857143,4748,0
Sherman County,4686.542857142857,4864,0
Smith County,2528.6857142857143,592,0
Somervell County,1836.6857142857143,0,0
Starr County,7375.657142857143,251,0
Stephens County,1551.5714285714287,171,0
