,mean,median,mode
Anderson County,46.02857142857143,0,0
Andrews County,65.2,0,0
Angelina County,112.37142857142857,16,0
Aransas County,97.82857142857142,0,0
Archer County,5.0285714285714285,0,0
Armstrong County,9.085714285714285,0,0
Atascosa County,73.6,20,0
Austin County,24.714285714285715,0,0
Bailey County,99.17142857142858,0,0
Bandera County,24.62857142857143,0,0
Bastrop County,55.08571428571429,16,0
Baylor County,0.0,0,0
Bee County,80.71428571428571,0,0
Bell County,27.771428571428572,6,0
Bexar County,84.28571428571429,23,0
Blanco County,72.08571428571429,0,0
Borden County,0.0,0,0
Bosque County,29.2,0,0
Bowie County,85.6,38,0
Brazoria County,57.371428571428574,17,0
Brazos County,65.34285714285714,55,0
Brewster County,40.65714285714286,0,0
Briscoe County,127.57142857142857,0,0
Brooks County,220.74285714285713,0,0
Brown County,135.4,129,0
Burleson County,46.68571428571428,0,0
Burnet County,41.91428571428571,0,0
Caldwell County,109.42857142857143,0,0
Calhoun County,67.17142857142858,66,66
Callahan County,57.6,50,0
Cameron County,245.25714285714287,53,0
Camp County,91.34285714285714,0,0
Carson County,0.0,0,0
Cass County,58.17142857142857,0,0
Castro County,119.57142857142857,93,93
Chambers County,19.742857142857144,0,0
Cherokee County,46.42857142857143,27,0
Childress County,0.0,0,0
Clay County,14.228571428571428,0,0
Cochran County,27.0,0,0
Coke County,125.77142857142857,0,0
Coleman County,24.114285714285714,0,0
Collin County,24.542857142857144,21,0
Collingsworth County,0.0,0,0
Colorado County,19.285714285714285,0,0
Comal County,101.65714285714286,27,0
Comanche County,51.02857142857143,51,0
Concho County,27.257142857142856,0,0
Cooke County,13.114285714285714,0,0
Coryell County,22.685714285714287,18,0
Cottle County,374.0,501,0
Crane County,134.0857142857143,0,0
Crockett County,201.22857142857143,0,0
Crosby County,78.65714285714286,122,122
Culberson County,157.94285714285715,0,0
Dallam County,143.05714285714285,0,0
Dallas County,77.91428571428571,44,0
Dawson County,97.88571428571429,55,55
Deaf Smith County,299.9428571428571,167,0
Delta County,0.0,0,0
Denton County,29.17142857142857,21,0
DeWitt County,187.28571428571428,35,0
Dickens County,76.28571428571429,0,0
Dimmit County,64.88571428571429,0,0
Donley County,25.34285714285714,0,0
Duval County,104.94285714285714,0,0
Eastland County,14.285714285714286,0,0
Ector County,64.68571428571428,17,0
Edwards County,32.51428571428571,0,0
Ellis County,63.371428571428574,44,0
El Paso County,95.62857142857143,48,0
Erath County,33.57142857142857,16,16
Falls County,23.885714285714286,0,0
Fannin County,69.85714285714286,34,0
Fayette County,113.14285714285714,55,0
Fisher County,88.14285714285714,26,0
Floyd County,199.6,0,0
Foard County,0.0,0,0
Fort Bend County,54.05714285714286,34,0
Franklin County,54.885714285714286,0,0
Freestone County,2.7714285714285714,0,0
Frio County,48.371428571428574,0,0
Gaines County,31.37142857142857,0,0
Galveston County,87.65714285714286,62,0
Garza County,77.94285714285714,0,0
Gillespie County,33.97142857142857,0,0
Glasscock County,0.0,0,0
Goliad County,100.65714285714286,0,0
Gonzales County,119.62857142857143,67,0
Gray County,39.31428571428572,23,0
Grayson County,28.82857142857143,9,0
Gregg County,63.114285714285714,23,0
Grimes County,151.71428571428572,24,0
Guadalupe County,56.77142857142857,0,0
Hale County,220.34285714285716,84,0
Hall County,94.4,0,0
Hamilton County,74.31428571428572,47,0
Hansford County,160.74285714285713,259,259
Hardeman County,0.0,0,0
Hardin County,69.05714285714286,47,0
Harris County,77.31428571428572,32,0
Harrison County,131.28571428571428,173,231
Hartley County,0.0,0,0
Haskell County,24.2,0,0
Hays County,38.05714285714286,9,0
Hemphill County,0.0,0,0
Henderson County,33.51428571428571,0,0
Hidalgo County,168.25714285714287,8,0
Hill County,38.94285714285714,19,19
Hockley County,49.371428571428574,30,30
Hood County,57.31428571428572,34,0
Hopkins County,17.914285714285715,0,0
Houston County,48.857142857142854,0,0
Howard County,37.114285714285714,19,19
Hudspeth County,61.48571428571429,0,0
Hunt County,52.02857142857143,24,0
Hutchinson County,20.97142857142857,0,0
Irion County,0.0,0,0
Jack County,6.685714285714286,0,0
Jackson County,122.02857142857142,47,0
Jasper County,68.17142857142858,20,0
Jeff Davis County,0.0,0,0
Jefferson County,91.51428571428572,72,0
Jim Hogg County,47.8,0,0
Jim Wells County,73.0,0,0
Johnson County,38.02857142857143,16,16
Jones County,0.0,0,0
Karnes County,92.11428571428571,0,0
Kaufman County,40.68571428571428,10,0
