County Name,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020
Adams County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,7,7,13,15,20,20,23,26,26,29,30,30,30,36,37,39,39,39,39,40,40,41,43,43,43,45,45,46,46,46,46,47,47,47,48,48,48,48,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,53,53,53,53,54,59,62,63,63,63,73,77,78,79,79,79,80,89,89,89,90,91,93,100,101,101,102,102,102,108,109,109,110,112,113,130,130,134,142,146,147,150,166,196,199,199,218,222,222,238,244,251,252,252,277,288,296,307,314,318,322,328,342,360,363,368,371,374,374,386,396,400,407,407,417,423,423,440,452,457,457,460,479,494,504,504,505,505,521,524,536,549,552,568,576,596,619,620,625,634,635,641,664,671,690,704,709,709,724,729,731,735,746,763,768,769
Asotin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,5,5,6,6,8,10,11,12,12,13,14,14,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,25,25,25,27,27,28,28,31,33,39,41,41,42,42,44,45,46,47,49,49,50,51,51,52,52,52,52,52,56,57,57,58,58,58,60,60,61,62,63,63,68,70
Benton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,7,10,10,19,42,56,101,101,101,108,133,136,147,166,172,179,190,215,234,246,250,261,265,272,284,293,304,314,334,338,348,365,383,399,405,409,415,422,430,461,494,518,532,537,548,550,559,575,577,586,588,595,605,615,627,633,643,652,660,666,674,691,696,704,727,733,742,757,776,794,810,823,838,852,873,906,930,959,979,1013,1041,1075,1106,1132,1171,1218,1236,1268,1313,1360,1426,1437,1463,1524,1556,1581,1657,1686,1718,1731,1798,1854,1889,1915,1956,2036,2094,2123,2183,2238,2238,2341,2387,2487,2622,2676,2725,2787,2840,2884,2946,2983,3017,3077,3134,3166,3203,3306,3390,3434,3434,3485,3501,3514,3569,3613,3632,3690,3690,3723,3748,3776,3787,3802,3815,3845,3851,3860,3892,3913,3932,3949,3981,3986,4001,4021,4037,4057,4105,4144,4153,4159,4168,4182,4187,4200,4210,4215,4221,4221,4260,4280,4293,4315,4329,4338,4347,4360
Chelan County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,6,6,10,10,13,13,14,14,14,17,18,19,22,28,29,32,35,41,44,52,54,58,58,58,62,64,65,71,77,78,87,88,89,90,91,93,96,98,108,113,114,118,120,125,137,139,140,143,148,149,150,153,163,170,172,176,178,182,186,198,204,217,229,231,233,236,238,244,246,248,250,250,254,255,260,261,262,262,264,268,268,271,272,273,273,273,276,278,278,280,285,286,289,293,296,305,314,315,325,330,347,375,388,392,403,436,442,482,491,514,514,553,590,593,611,649,665,700,731,766,778,818,836,857,892,923,951,960,998,1019,1019,1106,1133,1177,1190,1224,1255,1276,1276,1334,1358,1363,1405,1449,1482,1501,1544,1548,1553,1565,1577,1592,1637,1656,1667,1676,1693,1713,1722,1722,1726,1726,1726,1730,1737,1742,1743,1762,1768,1768,1771,1773,1776,1779,1796,1809,1812,1821
Clallam County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,5,5,5,6,7,7,7,7,7,7,8,8,8,10,11,11,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,15,15,17,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,28,28,28,29,29,29,29,32,32,33,33,33,33,33,33,33,34,35,36,36,36,36,41,42,42,43,45,46,46,47,50,50,56,60,62,62,65,67,69,68,68,70,70,70,73,75,78,79,86,88,91,91,91,94,94,96,98,100,102,102,120,122,139,142,144,146,152,163,169,171,173,174,177,186,187,196,198,202,204,207,209,209,209,209,211,212,215,215,215,215,215,215,215,215,215,215,216,217,218
Clark County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,6,9,10,13,16,16,48,68,68,68,110,112,112,112,122,131,145,154,161,186,194,208,217,217,221,229,232,242,246,264,266,275,281,284,291,293,296,297,308,313,317,321,327,328,328,336,337,341,342,346,346,351,352,362,377,380,382,386,388,388,391,392,394,399,401,410,412,421,424,449,477,509,514,516,546,550,550,550,559,562,566,571,587,595,604,611,617,620,629,630,635,635,642,647,654,660,671,681,685,692,697,700,731,749,768,790,920,922,933,962,990,1004,1033,1033,1065,1078,1086,1125,1145,1152,1192,1193,1201,1260,1271,1297,1308,1318,1328,1333,1382,1398,1411,1411,1513,1610,1620,1667,1705,1712,1749,1749,1777,1787,1823,1849,1874,1897,1927,1933,1938,1979,1982,2000,2028,2051,2056,2056,2093,2111,2122,2141,2161,2173,2183,2210,2223,2244,2266,2283,2290,2297,2297,2308,2372,2406,2420,2430,2437,2483,2495
Columbia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Cowlitz County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,7,7,10,13,14,14,16,16,17,17,17,17,20,20,21,21,22,23,24,24,25,26,27,29,29,30,34,35,35,36,39,39,39,39,41,45,47,53,53,59,60,62,62,64,65,66,66,66,66,68,68,68,68,68,69,70,71,71,72,72,73,73,73,73,73,73,73,73,74,76,76,76,78,81,86,89,94,101,102,105,107,109,118,120,124,130,136,145,145,149,153,158,166,170,170,172,179,187,202,204,204,208,210,218,229,234,241,241,268,287,289,311,317,324,338,344,347,365,367,378,389,390,395,402,415,420,426,426,441,446,446,453,454,462,472,472,482,485,495,496,502,504,504,505,506,510,512,514,514,519,519,520,524,526,529,535,537,539,542,545,548,548,552,555,555,557,557,558,571,571,575,575,577,580,584
Douglas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,5,6,6,7,10,10,10,10,12,13,16,16,18,20,29,30,30,30,31,32,59,61,61,63,69,70,72,75,75,77,78,79,82,82,84,84,95,98,102,107,112,114,114,116,120,124,125,126,129,130,132,137,139,145,157,157,157,162,164,167,169,172,172,172,172,173,177,177,178,178,178,178,178,178,180,183,183,183,184,186,186,188,193,195,195,205,208,216,223,230,233,233,242,253,265,273,279,303,308,325,332,348,348,380,396,400,407,422,430,457,491,530,544,576,581,597,618,638,665,681,706,726,726,788,808,830,840,868,890,908,908,948,961,965,976,985,1007,1011,1031,1034,1041,1061,1082,1083,1103,1112,1118,1119,1134,1146,1146,1150,1152,1154,1155,1155,1157,1157,1158,1163,1164,1164,1165,1167,1167,1167,1168,1170,1170,1176
Ferry County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,6,6,6,6,6,6,7,7,7,9,10,11,12,12,12,13,18,18,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,24,24,25,25,25,25,25,25,25,25,27,27,28,28,28,28,29,29,29,29,29,29,29,30
