,,cases
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,2
Adams County,week 10,41
Adams County,week 11,159
Adams County,week 12,241
Adams County,week 13,285
Adams County,week 14,317
Adams County,week 15,333
Adams County,week 16,344
Adams County,week 17,350
Adams County,week 18,359
Adams County,week 19,417
Adams County,week 20,545
Adams County,week 21,641
Adams County,week 22,725
Adams County,week 23,838
Adams County,week 24,1146
Adams County,week 25,1594
Adams County,week 26,1986
Adams County,week 27,2401
Adams County,week 28,2708
Adams County,week 29,3019
Adams County,week 30,3403
Adams County,week 31,3755
Adams County,week 32,4305
Adams County,week 33,4788
Adams County,week 34,5196
Adams County,week 35,769
Asotin County,week 1,0
Asotin County,week 2,0
Asotin County,week 3,0
Asotin County,week 4,0
Asotin County,week 5,0
Asotin County,week 6,0
Asotin County,week 7,0
Asotin County,week 8,0
Asotin County,week 9,0
Asotin County,week 10,0
Asotin County,week 11,14
Asotin County,week 12,34
Asotin County,week 13,80
Asotin County,week 14,114
Asotin County,week 15,125
Asotin County,week 16,126
Asotin County,week 17,126
Asotin County,week 18,128
Asotin County,week 19,133
Asotin County,week 20,133
Asotin County,week 21,138
Asotin County,week 22,140
Asotin County,week 23,143
Asotin County,week 24,147
Asotin County,week 25,147
Asotin County,week 26,147
Asotin County,week 27,154
Asotin County,week 28,166
Asotin County,week 29,181
Asotin County,week 30,255
Asotin County,week 31,322
Asotin County,week 32,360
Asotin County,week 33,396
Asotin County,week 34,437
Asotin County,week 35,70
Benton County,week 1,0
Benton County,week 2,0
Benton County,week 3,0
Benton County,week 4,0
Benton County,week 5,0
Benton County,week 6,0
Benton County,week 7,0
Benton County,week 8,0
Benton County,week 9,34
Benton County,week 10,430
Benton County,week 11,1041
Benton County,week 12,1661
Benton County,week 13,2139
Benton County,week 14,2724
Benton County,week 15,3394
Benton County,week 16,3983
Benton County,week 17,4370
Benton County,week 18,4818
Benton County,week 19,5435
Benton County,week 20,6337
Benton County,week 21,7756
Benton County,week 22,9503
Benton County,week 23,11453
Benton County,week 24,13542
Benton County,week 25,15997
Benton County,week 26,19480
Benton County,week 27,21886
Benton County,week 28,24327
Benton County,week 29,25872
Benton County,week 30,26852
Benton County,week 31,27783
Benton County,week 32,28823
Benton County,week 33,29436
Benton County,week 34,30162
Benton County,week 35,4360
Chelan County,week 1,0
Chelan County,week 2,0
Chelan County,week 3,0
Chelan County,week 4,0
Chelan County,week 5,0
Chelan County,week 6,0
Chelan County,week 7,0
Chelan County,week 8,4
Chelan County,week 9,24
Chelan County,week 10,88
Chelan County,week 11,165
Chelan County,week 12,342
Chelan County,week 13,475
Chelan County,week 14,634
Chelan County,week 15,796
Chelan County,week 16,1006
Chelan County,week 17,1194
Chelan County,week 18,1498
Chelan County,week 19,1712
Chelan County,week 20,1818
Chelan County,week 21,1898
Chelan County,week 22,1972
Chelan County,week 23,2178
Chelan County,week 24,2783
Chelan County,week 25,3737
Chelan County,week 26,4900
Chelan County,week 27,6237
Chelan County,week 28,7642
Chelan County,week 29,9086
Chelan County,week 30,10482
Chelan County,week 31,11370
Chelan County,week 32,12028
Chelan County,week 33,12250
Chelan County,week 34,12516
Chelan County,week 35,1821
Clallam County,week 1,0
Clallam County,week 2,0
Clallam County,week 3,0
Clallam County,week 4,0
Clallam County,week 5,0
Clallam County,week 6,0
Clallam County,week 7,0
Clallam County,week 8,0
Clallam County,week 9,16
Clallam County,week 10,39
Clallam County,week 11,52
Clallam County,week 12,80
Clallam County,week 13,97
Clallam County,week 14,104
Clallam County,week 15,127
Clallam County,week 16,133
Clallam County,week 17,143
Clallam County,week 18,175
Clallam County,week 19,175
Clallam County,week 20,189
Clallam County,week 21,200
Clallam County,week 22,229
Clallam County,week 23,243
Clallam County,week 24,295
Clallam County,week 25,371
Clallam County,week 26,469
Clallam County,week 27,531
Clallam County,week 28,645
Clallam County,week 29,783
Clallam County,week 30,1087
Clallam County,week 31,1291
Clallam County,week 32,1449
Clallam County,week 33,1498
Clallam County,week 34,1508
Clallam County,week 35,218
Clark County,week 1,0
Clark County,week 2,0
Clark County,week 3,0
Clark County,week 4,0
Clark County,week 5,0
Clark County,week 6,0
Clark County,week 7,4
Clark County,week 8,17
Clark County,week 9,62
Clark County,week 10,490
Clark County,week 11,937
Clark County,week 12,1472
Clark County,week 13,1806
Clark County,week 14,2082
Clark County,week 15,2294
Clark County,week 16,2440
Clark County,week 17,2692
Clark County,week 18,2829
Clark County,week 19,3435
Clark County,week 20,3908
Clark County,week 21,4263
Clark County,week 22,4503
Clark County,week 23,4857
Clark County,week 24,6044
Clark County,week 25,7289
Clark County,week 26,8268
Clark County,week 27,9237
Clark County,week 28,10630
Clark County,week 29,12302
Clark County,week 30,13397
Clark County,week 31,14266
Clark County,week 32,15101
Clark County,week 33,15900
Clark County,week 34,16856
Clark County,week 35,2495
Columbia County,week 1,0
Columbia County,week 2,0
Columbia County,week 3,0
Columbia County,week 4,0
Columbia County,week 5,0
Columbia County,week 6,0
Columbia County,week 7,0
Columbia County,week 8,5
Columbia County,week 9,7
Columbia County,week 10,7
Columbia County,week 11,7
Columbia County,week 12,7
Columbia County,week 13,7
Columbia County,week 14,7
Columbia County,week 15,7
Columbia County,week 16,7
Columbia County,week 17,7
Columbia County,week 18,7
Columbia County,week 19,7
Columbia County,week 20,7
Columbia County,week 21,7
Columbia County,week 22,18
Columbia County,week 23,56
Columbia County,week 24,56
Columbia County,week 25,59
Columbia County,week 26,64
Columbia County,week 27,79
Columbia County,week 28,91
Columbia County,week 29,91
Columbia County,week 30,91
Columbia County,week 31,91
Columbia County,week 32,91
Columbia County,week 33,98
Columbia County,week 34,98
Columbia County,week 35,14
Cowlitz County,week 1,0
Cowlitz County,week 2,0
Cowlitz County,week 3,0
Cowlitz County,week 4,0
Cowlitz County,week 5,0
Cowlitz County,week 6,0
Cowlitz County,week 7,0
Cowlitz County,week 8,0
Cowlitz County,week 9,12
Cowlitz County,week 10,68
Cowlitz County,week 11,120
Cowlitz County,week 12,155
Cowlitz County,week 13,200
Cowlitz County,week 14,262
Cowlitz County,week 15,358
Cowlitz County,week 16,451
Cowlitz County,week 17,475
Cowlitz County,week 18,502
Cowlitz County,week 19,512
Cowlitz County,week 20,562
Cowlitz County,week 21,736
Cowlitz County,week 22,949
Cowlitz County,week 23,1168
Cowlitz County,week 24,1433
Cowlitz County,week 25,1789
Cowlitz County,week 26,2346
Cowlitz County,week 27,2736
Cowlitz County,week 28,3058
Cowlitz County,week 29,3322
Cowlitz County,week 30,3527
Cowlitz County,week 31,3622
Cowlitz County,week 32,3753
Cowlitz County,week 33,3872
Cowlitz County,week 34,4007
Cowlitz County,week 35,584
Douglas County,week 1,0
Douglas County,week 2,0
Douglas County,week 3,0
Douglas County,week 4,0
Douglas County,week 5,0
Douglas County,week 6,0
Douglas County,week 7,0
Douglas County,week 8,0
Douglas County,week 9,3
Douglas County,week 10,32
Douglas County,week 11,59
Douglas County,week 12,124
Douglas County,week 13,273
Douglas County,week 14,485
Douglas County,week 15,566
Douglas County,week 16,742
Douglas County,week 17,870
Douglas County,week 18,1024
Douglas County,week 19,1178
Douglas County,week 20,1233
Douglas County,week 21,1263
Douglas County,week 22,1327
Douglas County,week 23,1548
Douglas County,week 24,1923
Douglas County,week 25,2529
Douglas County,week 26,3281
Douglas County,week 27,4356
Douglas County,week 28,5424
Douglas County,week 29,6448
Douglas County,week 30,7085
Douglas County,week 31,7678
Douglas County,week 32,8037
Douglas County,week 33,8118
Douglas County,week 34,8174
Douglas County,week 35,1176
Ferry County,week 1,0
Ferry County,week 2,0
Ferry County,week 3,0
Ferry County,week 4,0
Ferry County,week 5,0
Ferry County,week 6,0
Ferry County,week 7,0
Ferry County,week 8,0
Ferry County,week 9,0
Ferry County,week 10,7
Ferry County,week 11,7
Ferry County,week 12,7
Ferry County,week 13,7
Ferry County,week 14,7
Ferry County,week 15,7
Ferry County,week 16,7
Ferry County,week 17,7
Ferry County,week 18,7
Ferry County,week 19,7
Ferry County,week 20,7
Ferry County,week 21,7
