,,deaths
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,0
Adams County,week 10,0
Adams County,week 11,0
Adams County,week 12,0
Adams County,week 13,0
Adams County,week 14,0
Adams County,week 15,0
Adams County,week 16,0
Adams County,week 17,0
Adams County,week 18,0
Adams County,week 19,0
Adams County,week 20,0
Adams County,week 21,0
Adams County,week 22,0
Adams County,week 23,0
Adams County,week 24,0
Adams County,week 25,0
Adams County,week 26,0
Adams County,week 27,4
Adams County,week 28,24
Adams County,week 29,31
Adams County,week 30,38
Adams County,week 31,42
Adams County,week 32,48
Adams County,week 33,56
Adams County,week 34,63
Adams County,week 35,9
Asotin County,week 1,0
Asotin County,week 2,0
Asotin County,week 3,0
Asotin County,week 4,0
Asotin County,week 5,0
Asotin County,week 6,0
Asotin County,week 7,0
Asotin County,week 8,0
Asotin County,week 9,0
Asotin County,week 10,0
Asotin County,week 11,0
Asotin County,week 12,0
Asotin County,week 13,1
Asotin County,week 14,7
Asotin County,week 15,7
Asotin County,week 16,7
Asotin County,week 17,7
Asotin County,week 18,13
Asotin County,week 19,14
Asotin County,week 20,14
Asotin County,week 21,14
Asotin County,week 22,14
Asotin County,week 23,14
Asotin County,week 24,14
Asotin County,week 25,14
Asotin County,week 26,14
Asotin County,week 27,14
Asotin County,week 28,14
Asotin County,week 29,14
Asotin County,week 30,14
Asotin County,week 31,14
Asotin County,week 32,14
Asotin County,week 33,14
Asotin County,week 34,14
Asotin County,week 35,2
Benton County,week 1,0
Benton County,week 2,0
Benton County,week 3,0
Benton County,week 4,0
Benton County,week 5,0
Benton County,week 6,0
Benton County,week 7,0
Benton County,week 8,0
Benton County,week 9,6
Benton County,week 10,17
Benton County,week 11,76
Benton County,week 12,174
Benton County,week 13,231
Benton County,week 14,258
Benton County,week 15,299
Benton County,week 16,348
Benton County,week 17,386
Benton County,week 18,411
Benton County,week 19,432
Benton County,week 20,455
Benton County,week 21,505
Benton County,week 22,524
Benton County,week 23,536
Benton County,week 24,591
Benton County,week 25,641
Benton County,week 26,690
Benton County,week 27,729
Benton County,week 28,761
Benton County,week 29,800
Benton County,week 30,845
Benton County,week 31,854
Benton County,week 32,854
Benton County,week 33,870
Benton County,week 34,882
Benton County,week 35,126
Chelan County,week 1,0
Chelan County,week 2,0
Chelan County,week 3,0
Chelan County,week 4,0
Chelan County,week 5,0
Chelan County,week 6,0
Chelan County,week 7,0
Chelan County,week 8,0
Chelan County,week 9,0
Chelan County,week 10,5
Chelan County,week 11,14
Chelan County,week 12,29
Chelan County,week 13,35
Chelan County,week 14,35
Chelan County,week 15,35
Chelan County,week 16,37
Chelan County,week 17,42
Chelan County,week 18,42
Chelan County,week 19,42
Chelan County,week 20,42
Chelan County,week 21,42
Chelan County,week 22,42
Chelan County,week 23,42
Chelan County,week 24,42
Chelan County,week 25,47
Chelan County,week 26,44
Chelan County,week 27,54
Chelan County,week 28,66
Chelan County,week 29,70
Chelan County,week 30,70
Chelan County,week 31,75
Chelan County,week 32,82
Chelan County,week 33,84
Chelan County,week 34,91
Chelan County,week 35,14
Clallam County,week 1,0
Clallam County,week 2,0
Clallam County,week 3,0
Clallam County,week 4,0
Clallam County,week 5,0
Clallam County,week 6,0
Clallam County,week 7,0
Clallam County,week 8,0
Clallam County,week 9,0
Clallam County,week 10,0
Clallam County,week 11,0
Clallam County,week 12,0
Clallam County,week 13,0
Clallam County,week 14,0
Clallam County,week 15,0
Clallam County,week 16,0
Clallam County,week 17,0
Clallam County,week 18,0
Clallam County,week 19,0
Clallam County,week 20,0
Clallam County,week 21,0
Clallam County,week 22,0
Clallam County,week 23,0
Clallam County,week 24,0
Clallam County,week 25,0
Clallam County,week 26,0
Clallam County,week 27,0
Clallam County,week 28,0
Clallam County,week 29,0
Clallam County,week 30,3
Clallam County,week 31,7
Clallam County,week 32,7
Clallam County,week 33,7
Clallam County,week 34,7
Clallam County,week 35,1
Clark County,week 1,0
Clark County,week 2,0
Clark County,week 3,0
Clark County,week 4,0
Clark County,week 5,0
Clark County,week 6,0
Clark County,week 7,0
Clark County,week 8,2
Clark County,week 9,23
Clark County,week 10,36
Clark County,week 11,55
Clark County,week 12,94
Clark County,week 13,102
Clark County,week 14,118
Clark County,week 15,134
Clark County,week 16,141
Clark County,week 17,154
Clark County,week 18,154
Clark County,week 19,154
Clark County,week 20,172
Clark County,week 21,189
Clark County,week 22,200
Clark County,week 23,203
Clark County,week 24,203
Clark County,week 25,203
Clark County,week 26,211
Clark County,week 27,233
Clark County,week 28,285
Clark County,week 29,299
Clark County,week 30,334
Clark County,week 31,363
Clark County,week 32,380
Clark County,week 33,397
Clark County,week 34,414
Clark County,week 35,60
Columbia County,week 1,0
Columbia County,week 2,0
Columbia County,week 3,0
Columbia County,week 4,0
Columbia County,week 5,0
Columbia County,week 6,0
Columbia County,week 7,0
Columbia County,week 8,0
Columbia County,week 9,0
Columbia County,week 10,0
Columbia County,week 11,0
Columbia County,week 12,0
Columbia County,week 13,0
Columbia County,week 14,0
Columbia County,week 15,0
Columbia County,week 16,0
Columbia County,week 17,0
Columbia County,week 18,0
Columbia County,week 19,0
Columbia County,week 20,0
Columbia County,week 21,0
Columbia County,week 22,0
Columbia County,week 23,0
Columbia County,week 24,0
Columbia County,week 25,0
Columbia County,week 26,0
Columbia County,week 27,0
Columbia County,week 28,2
Columbia County,week 29,7
Columbia County,week 30,7
Columbia County,week 31,7
Columbia County,week 32,7
Columbia County,week 33,7
Columbia County,week 34,7
Columbia County,week 35,1
Cowlitz County,week 1,0
Cowlitz County,week 2,0
Cowlitz County,week 3,0
Cowlitz County,week 4,0
Cowlitz County,week 5,0
Cowlitz County,week 6,0
Cowlitz County,week 7,0
Cowlitz County,week 8,0
Cowlitz County,week 9,0
Cowlitz County,week 10,0
Cowlitz County,week 11,0
Cowlitz County,week 12,0
Cowlitz County,week 13,0
Cowlitz County,week 14,0
Cowlitz County,week 15,0
Cowlitz County,week 16,0
Cowlitz County,week 17,0
Cowlitz County,week 18,0
Cowlitz County,week 19,0
Cowlitz County,week 20,0
Cowlitz County,week 21,0
Cowlitz County,week 22,0
Cowlitz County,week 23,0
Cowlitz County,week 24,0
Cowlitz County,week 25,0
Cowlitz County,week 26,11
Cowlitz County,week 27,20
Cowlitz County,week 28,35
Cowlitz County,week 29,35
Cowlitz County,week 30,36
Cowlitz County,week 31,42
Cowlitz County,week 32,42
Cowlitz County,week 33,42
Cowlitz County,week 34,42
Cowlitz County,week 35,6
Douglas County,week 1,0
Douglas County,week 2,0
Douglas County,week 3,0
Douglas County,week 4,0
Douglas County,week 5,0
Douglas County,week 6,0
Douglas County,week 7,0
Douglas County,week 8,0
Douglas County,week 9,0
Douglas County,week 10,0
Douglas County,week 11,0
Douglas County,week 12,0
Douglas County,week 13,7
Douglas County,week 14,7
Douglas County,week 15,8
Douglas County,week 16,14
Douglas County,week 17,21
Douglas County,week 18,21
Douglas County,week 19,21
Douglas County,week 20,21
Douglas County,week 21,21
Douglas County,week 22,21
Douglas County,week 23,21
Douglas County,week 24,21
Douglas County,week 25,21
Douglas County,week 26,26
Douglas County,week 27,37
Douglas County,week 28,42
Douglas County,week 29,42
Douglas County,week 30,42
Douglas County,week 31,49
Douglas County,week 32,54
Douglas County,week 33,56
Douglas County,week 34,61
Douglas County,week 35,9
Ferry County,week 1,0
Ferry County,week 2,0
Ferry County,week 3,0
Ferry County,week 4,0
Ferry County,week 5,0
Ferry County,week 6,0
Ferry County,week 7,0
Ferry County,week 8,0
Ferry County,week 9,0
Ferry County,week 10,0
Ferry County,week 11,0
Ferry County,week 12,0
Ferry County,week 13,0
Ferry County,week 14,0
Ferry County,week 15,0
Ferry County,week 16,0
Ferry County,week 17,0
Ferry County,week 18,0
Ferry County,week 19,0
Ferry County,week 20,0
Ferry County,week 21,0
Ferry County,week 22,0
Ferry County,week 23,0
Ferry County,week 24,0
Ferry County,week 25,0
Ferry County,week 26,0
Ferry County,week 27,0
Ferry County,week 28,0
Ferry County,week 29,0
Ferry County,week 30,0
