,mean,median,mode
Adams County,5814.457142857143,1797,0
Asotin County,533.4571428571429,558,0
Benton County,4663.371428571429,2138,0
Chelan County,4095.3142857142857,1940,0
Clallam County,448.7142857142857,226,0
Clark County,994.0571428571428,551,0
Columbia County,783.8,176,176
Cowlitz County,1048.4,454,0
Douglas County,4931.285714285715,2358,0
Ferry County,520.7714285714286,92,92
Franklin County,9216.4,3598,0
Garfield County,318.4,0,0
Grant County,4125.8,1355,0
Grays Harbor County,489.2857142857143,147,0
Island County,1177.5428571428572,1447,0
Jefferson County,642.0,642,0
King County,2434.2571428571428,2300,0
Kitsap County,721.7142857142857,409,0
Kittitas County,1933.2,1016,0
Klickitat County,1551.5428571428572,749,0
Lewis County,739.0857142857143,304,0
Lincoln County,458.37142857142857,128,128
Mason County,785.5714285714286,353,0
Okanogan County,3917.885714285714,703,0
Pacific County,520.7428571428571,280,0
Pend Oreille County,644.4857142857143,124,0
Pierce County,1771.5714285714287,1281,0
San Juan County,547.7714285714286,557,0
Skagit County,2208.1428571428573,2285,0
Skamania County,933.3428571428572,174,174
Snohomish County,2292.9142857142856,2358,0
Spokane County,1967.3428571428572,613,0
Stevens County,485.45714285714286,153,0
Thurston County,640.9714285714285,304,0
Wahkiakum County,412.6,624,624
Walla Walla County,2245.4285714285716,1229,0
Whatcom County,1331.8285714285714,1067,0
Whitman County,1251.942857142857,224,0
Yakima County,11688.857142857143,6092,0
