,mean,median,mode
Adams County,45.0,0,0
Asotin County,33.91428571428571,31,62
Benton County,185.9142857142857,189,0
Chelan County,45.142857142857146,54,0
Clallam County,1.1714285714285715,0,0
Clark County,31.085714285714285,32,0
Columbia County,32.31428571428572,0,0
Cowlitz County,8.057142857142857,0,0
Douglas County,42.2,48,0
Ferry County,0.0,0,0
Franklin County,155.54285714285714,125,0
Garfield County,0.0,0,0
Grant County,37.05714285714286,23,0
Grays Harbor County,8.257142857142858,0,0
Island County,58.57142857142857,81,90
Jefferson County,0.0,0,0
King County,124.2,163,0
Kitsap County,6.371428571428571,5,5
Kittitas County,63.371428571428574,0,0
Klickitat County,61.48571428571429,94,94
Lewis County,18.114285714285714,26,26
Lincoln County,7.571428571428571,0,0
Mason County,6.514285714285714,10,10
Okanogan County,28.428571428571427,17,0
Pacific County,25.428571428571427,31,0
Pend Oreille County,0.0,0,0
Pierce County,52.0,48,0
San Juan County,0.0,0,0
Skagit County,58.94285714285714,77,0
Skamania County,13.714285714285714,0,0
Snohomish County,91.6,106,0
Spokane County,50.8,40,0
Stevens County,10.371428571428572,15,15
Thurston County,9.542857142857143,2,0
Wahkiakum County,0.0,0,0
Walla Walla County,16.62857142857143,23,0
Whatcom County,73.77142857142857,107,0
Whitman County,0.0,0,0
Yakima County,266.22857142857146,206,0
