,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Afghanistan,0,0,0,0,0,0,0,0,0,1,5,6,26,50,85,95,173,305,461,613,1053,1176,1328,1185,929,538,552,276,298,193,97,79,141,121,33,77,82,66,42,63,114
Albania,0,0,0,0,0,0,0,0,0,21,156,170,427,536,312,406,529,233,241,265,194,483,416,1137,1407,1637,1731,2109,2084,2464,2572,3183,3346,3844,3155,3103,3871,3527,2974,3541,4030
Algeria,0,0,0,0,0,0,0,0,0,4,9,39,82,191,128,168,182,258,283,299,296,229,172,176,203,378,647,749,911,976,911,854,756,646,600,492,419,348,271,241,217
Andorra,0,0,0,0,0,0,0,0,129,0,1682,15402,30672,20191,15531,9190,3365,905,775,647,258,258,11260,129,258,0,0,388,3364,2976,3883,3365,5436,7118,15013,11001,22908,31450,36886,52287,80890
Angola,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,0,3,3,1,8,6,2,16,12,29,22,47,73,56,70,155,70,96,122,105,129,222,207,174,303
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1333,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua_and_Barbuda,0,0,0,0,0,0,0,0,0,0,102,0,612,817,816,0,102,102,0,0,0,0,102,0,0,4085,408,408,204,1021,613,0,102,102,0,102,0,102,510,613,408
Argentina,0,0,0,0,0,0,0,0,0,2,12,53,146,146,143,166,215,196,254,516,942,1060,1372,2028,2688,3837,3439,4944,5883,7914,8716,9862,10635,10528,14663,15570,16981,18720,18361,19160,20798
Armenia,0,0,0,0,0,0,0,0,3,0,149,640,1002,1082,721,1127,1572,2537,3102,5073,7968,8798,12371,12870,11869,15307,12632,10815,9328,8015,4970,4491,4278,3793,3227,3589,3792,5342,6824,10472,16499
Aruba,0,0,0,0,0,0,0,0,0,0,187,936,3559,1966,1967,469,281,0,94,0,0,0,0,0,0,187,188,0,936,375,469,47393,45990,47487,35405,44584,54136,49361,26694,19388,11053
Australia,0,0,0,1,3,0,0,3,4,26,107,569,1071,504,205,101,40,38,48,44,22,34,24,29,55,116,322,547,821,1125,1327,1207,864,515,326,226,144,85,52,41,54
Austria,0,0,0,0,0,0,0,0,18,126,984,3853,5700,2975,1938,822,525,348,339,340,311,226,250,195,283,384,732,592,910,966,879,866,1771,2031,2062,2554,4641,5848,5257,6663,7444
Azerbaijan,0,0,0,0,0,0,0,0,3,6,10,53,199,362,500,284,239,299,597,689,970,1372,2184,2414,2842,3710,3816,3683,3275,2521,2207,950,687,1068,994,970,972,864,771,717,1298
Bahamas,0,0,0,0,0,0,0,0,0,0,25,76,254,483,406,381,406,75,254,76,101,50,25,25,0,0,0,228,1550,5290,7552,6764,9765,11927,10654,9358,10756,10427,10681,18334,15359
Bahrain,0,0,0,0,0,0,0,12,264,365,659,693,1034,1417,3555,3209,4796,4760,10008,11449,11677,15474,21234,21134,19947,22519,21050,21479,20335,14962,13827,15056,16384,12607,13187,26457,24865,27810,28262,19206,16644
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,1,4,41,131,180,257,338,496,712,848,1153,1344,1528,1580,1446,1292,1248,1140,965,1118,1133,1090,966,872,728,687,603,582,582
Barbados,0,0,0,0,0,0,0,0,0,0,0,591,593,905,417,105,174,70,70,140,140,0,0,174,0,0,35,174,105,140,766,383,314,314,452,175,140,209,35,347,279
Belarus,0,0,0,0,0,0,0,0,1,5,32,48,25,631,2348,3541,5319,6562,6790,7053,6955,6623,6402,5532,4595,2927,2132,1387,1162,1099,969,826,679,1117,1268,1256,1406,1626,2168,2910,3494
Belgium,0,0,0,0,1,0,0,0,32,399,1416,3981,7369,8534,8437,7508,4471,2597,2465,1651,1300,767,811,575,571,511,536,703,1383,2279,3416,3812,3093,2893,2717,3399,6010,9134,10222,18404,26486
Belize,0,0,0,0,0,0,0,0,0,0,0,25,50,100,276,0,0,0,0,0,0,0,25,50,50,25,151,176,125,151,226,3017,7495,5986,7394,7545,4878,3369,6439,7872,9179
Benin,0,0,0,0,0,0,0,0,0,0,1,3,1,16,7,16,8,26,184,17,-122,44,52,147,268,314,10,148,185,139,29,108,105,42,25,56,45,23,38,14,45
Bermuda,0,0,0,0,0,0,0,0,0,0,0,963,3372,1927,2890,4657,3855,804,643,964,1285,1285,0,482,321,0,0,643,482,161,482,322,1124,322,643,482,321,482,161,0,482
Bhutan,0,0,0,0,0,0,0,0,0,13,0,13,26,13,0,13,13,0,52,130,78,260,156,104,26,104,39,52,78,117,52,130,428,130,895,104,169,195,247,246,130
Bolivia,0,0,0,0,0,0,0,0,0,0,10,15,67,74,138,210,357,571,985,1227,2054,3316,2928,4390,5500,5681,7182,7490,10057,9268,8596,8387,8213,7648,5527,4287,5152,2884,2846,2398,1360
Bosnia_and_Herzegovina,0,0,0,0,0,0,0,0,0,6,58,334,676,1042,1015,828,803,1103,658,491,311,359,549,1024,1478,2496,3395,4640,4913,5814,5481,6711,4685,6070,5904,5170,6004,5748,4515,4426,7280
