,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,8,9,13,12,12,27,27,30,34,47,24,43,21,4,6,16,7,2,3,4,5,4,3,4
Albania,0,0,0,0,0,0,0,0,0,0,3,10,26,33,3,9,6,10,0,0,3,3,3,6,25,48,72,56,61,107,97,97,103,83,103,121,65,89,54,68,83
Algeria,0,0,0,0,0,0,0,0,0,0,0,2,3,32,33,18,11,7,9,12,13,13,12,14,19,13,13,14,16,18,18,17,15,17,14,12,13,14,9,13,8
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,1035,1681,1034,906,517,645,387,388,0,0,0,0,129,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,517
Angola,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,4,8,5,4,2,3,5,7,7,5,8
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua_and_Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,10,11,15,10,18,19,21,31,36,42,53,55,84,104,129,157,213,246,294,313,312,332,458,583,1184,601
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26,26,19,33,22,56,89,227,199,257,267,240,203,263,273,192,145,115,94,101,84,70,64,57,70,90,161
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,94,282,282,469,468,375,94,469,188
Australia,0,0,0,0,0,0,0,0,0,0,1,0,4,9,8,4,5,5,0,0,0,0,0,0,0,0,1,0,6,14,24,36,43,39,52,43,21,14,9,7,1
Austria,0,0,0,0,0,0,0,0,0,0,3,24,92,124,164,104,98,56,22,9,12,30,4,6,13,14,3,2,2,3,5,5,6,4,0,14,11,11,25,31,56
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,7,3,4,6,8,11,17,25,29,39,45,52,55,50,60,45,24,16,11,15,17,13,12,12,10,11
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,126,75,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,76,25,101,534,101,380,229,177,356,280,203
Bahrain,0,0,0,0,0,0,0,0,0,0,6,6,12,0,18,0,6,0,0,24,12,30,48,114,113,112,83,65,113,78,54,78,60,66,36,60,78,48,141,95,112
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,7,8,9,16,17,17,17,19,17,16,17,13,15,16,17,19,14,14,13,13,11,10
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,22,24,28,32,36,33,36,36,36,40,36,42,39,35,36,33,18,24,33,35,35,40,29,37,40,40
Belgium,0,0,0,0,0,0,0,0,0,1,25,229,754,1439,1725,1377,972,570,440,248,190,135,86,49,40,26,21,11,19,15,18,31,60,34,22,16,17,24,41,72,105
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,151,75,75,75,50,75,150,176
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,5,4,5,2,4,4,3,1,2,1,0,1,0,0,0,0,1,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,321,322,161,161,161,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
