County Name,cases,deaths,population,HOSPITAL_NAME,HOSPITAL_TYPE,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
Adams County,758,25,103009,Wellspan Gettysburg Hospital,Short Term Acute Care Hospital,76,76,8,8,0,0.58175921,0,4
Allegheny County,11431,341,1216045,VA Pittsburgh Healthcare System - University Drive,VA Hospital,146,146,2,2,,,0,2
Allegheny County,11431,341,1216045,West Penn Hospital,Short Term Acute Care Hospital,338,260,48,48,68,0.73610955,78,5
Allegheny County,11431,341,1216045,UPMC St Margaret,Short Term Acute Care Hospital,250,222,14,14,0,0.54156905,28,2
Allegheny County,11431,341,1216045,UPMC Passavant - McCandless,Short Term Acute Care Hospital,423,365,32,32,0,0.53932297,58,3
Allegheny County,11431,341,1216045,UPMC Magee-Womens Hospital,Short Term Acute Care Hospital,363,315,18,18,77,0.6774019,48,2
Allegheny County,11431,341,1216045,Heritage Valley Kennedy (FKA Ohio Valley General Hospital),Short Term Acute Care Hospital,124,87,27,27,0,0.29755944,37,2
Allegheny County,11431,341,1216045,UPMC Presbyterian,Short Term Acute Care Hospital,1542,1175,160,160,0,0.77006912,367,20
Allegheny County,11431,341,1216045,St Clair Memorial Hospital (FKA St Clair Hospital),Short Term Acute Care Hospital,329,303,12,12,5,0.49107102,26,4
Allegheny County,11431,341,1216045,Forbes Hospital,Short Term Acute Care Hospital,315,234,56,56,4,0.67651331,81,6
Allegheny County,11431,341,1216045,Jefferson Hospital (FKA Jefferson Regional Medical Center),Short Term Acute Care Hospital,341,289,20,20,0,0.47252217,52,3
Allegheny County,11431,341,1216045,UPMC Childrens Hospital of Pittsburgh,Childrens Hospital,312,315,36,36,55,0.7383123,-3,2
Allegheny County,11431,341,1216045,UPMC McKeesport,Short Term Acute Care Hospital,195,186,33,33,0,0.63940287,9,2
