countyFIPS,population_male,population_female,sex_ratio,under_18,over_18,over_or_62,median_age,total_housing
1103,59216,59873,98.9,27098,91991,25752,40.7,52284
6031,83591,67775,123.3,40773,110593,19049,32.0,46649
6053,221011,214583,103.0,114103,321491,74816,34.7,142414
6057,48808,50888,95.9,17079,82617,33053,50.5,54264
6089,88679,91361,97.1,38584,141456,45457,41.5,79187
6115,39819,38222,104.2,21261,56780,12898,33.8,28688
8035,171478,171298,100.1,88978,253798,50477,39.1,128744
9001,459662,484161,94.9,211990,731833,187586,40.8,374480
10001,85805,92745,92.5,40645,137905,36324,38.1,73086
10003,271116,288219,94.1,120253,439082,108428,38.4,224481
12089,42698,43134,99.0,17088,68744,22574,46.1,39981
12111,155903,165225,94.4,63151,257977,88688,45.2,142774
12113,91848,87501,105.0,39294,140055,35943,40.0,73056
13013,39917,40892,97.6,20961,59848,12601,36.3,28952
13157,34762,35660,97.5,17896,52526,12499,38.3,26070
13185,55535,60786,91.4,27878,88443,17773,30.8,48525
13245,96104,105450,91.1,45628,155926,37121,34.4,89098
13285,32962,37072,88.9,17162,52872,13597,36.4,28636
13295,34967,34443,101.5,14990,54420,15631,42.5,30460
17001,32661,33030,98.9,14979,50712,15562,41.5,30269
17037,50903,53240,95.6,22273,81870,16671,30.9,41250
17163,126952,134107,94.7,61162,199897,52062,39.6,120612
17199,33990,33066,102.8,14897,52159,15962,40.9,31375
18035,55362,59410,93.2,21430,93342,24283,35.0,52731
18063,83439,83570,99.8,41779,125230,29018,38.2,63172
18091,58196,51811,112.3,23422,86585,23978,40.4,49209
18095,64211,65430,98.1,28037,101604,29730,40.2,59141
19061,47876,48978,97.8,21527,75327,21476,38.4,41514
19155,45715,47818,95.6,21687,71846,20698,39.3,40007
20091,294084,303471,96.9,145641,451914,108288,37.8,244476
21117,81777,84274,97.0,39370,126681,30243,36.2,69858
21227,64686,66578,97.2,30077,101187,20941,33.0,53976
22055,117790,124992,94.2,57348,185434,39820,35.4,104041
24017,77505,83998,92.3,38138,123365,25942,38.2,61244
24021,126543,129105,98.0,59288,196360,47602,39.1,99032
24033,437625,471683,92.8,201928,707380,153042,37.4,333858
25017,790337,824377,95.9,318633,1296081,303846,38.4,641484
25025,390462,416790,93.7,133658,673594,118570,32.9,342069
26045,54390,55436,98.1,22484,87342,25456,40.8,47669
26055,46141,46432,99.4,18916,73657,22595,42.6,44513
26075,81049,77774,104.2,33802,125021,34742,41.5,69696
26077,130970,133900,97.8,57284,207586,49226,34.5,112806
26121,87191,86397,100.9,40064,133524,36635,39.3,74301
26139,143592,146902,97.7,69532,220962,54133,35.2,110839
27003,176777,177036,99.9,84398,269415,63119,39.3,133184
27019,50636,52915,95.7,27756,75795,15832,38.1,38848
27109,76519,79758,95.9,38257,118020,28758,38.1,66669
27137,99837,99917,99.9,38011,161743,47481,40.9,105006
27141,49471,46565,106.2,25172,70864,13370,35.6,34301
28075,36101,39216,92.1,17728,57589,15125,37.4,35349
28081,41053,44149,93.0,20753,64449,15648,37.1,37051
28121,74616,79286,94.1,35671,118231,28049,38.0,61489
31055,279531,287349,97.3,145336,421544,92158,34.8,237325
31109,159421,157851,101.0,72321,244951,54682,34.0,133465
31153,92342,92117,100.2,50553,133906,27032,34.7,69957
33005,36924,39569,93.3,13635,62858,18991,43.4,35724
33011,205664,209583,98.1,84981,330266,80841,41.1,172044
34009,45935,46625,98.5,14739,77821,28774,50.4,99427
34011,77267,73705,104.8,35304,115668,27984,38.4,56497
34017,336097,339964,98.9,138221,537840,101555,35.3,284124
35045,61679,63364,97.3,32938,92105,23199,36.0,51273
35049,72779,77277,94.2,26881,123175,44337,47.8,73463
36089,55626,52421,106.1,21600,86447,22410,39.8,53374
36111,88542,90057,98.3,31311,147288,42153,43.3,85431
37025,103559,107783,96.1,54217,157125,34612,37.6,80867
37051,164324,168006,97.8,81795,250535,49839,31.5,147123
37081,252785,280885,90.0,119037,414633,100298,37.0,230468
37183,531608,560697,94.8,261532,830773,159476,36.4,441828
38015,48205,47068,102.4,21684,73589,18123,37.4,43159
39085,113126,117388,96.4,46210,184304,56833,44.2,103306
39093,152537,156924,97.2,68263,241198,70893,42.1,131931
39095,208451,221448,94.1,98562,331337,86063,38.1,203491
39153,263355,278563,94.5,113126,428792,121669,41.0,246191
40037,35373,36231,97.6,17062,54542,15310,40.2,30778
40119,42030,40010,105.0,16208,65832,12461,27.8,36824
40131,45795,46189,99.1,21479,70505,18564,39.7,38545
40143,316400,331960,95.3,164041,484319,114780,35.9,284556
41039,186890,192721,97.0,69901,309710,88863,39.5,163490
42001,50601,52210,96.9,21167,81644,25272,43.8,42572
42041,124461,126962,98.0,50809,200614,56923,40.7,106887
42075,69165,72149,95.9,32141,109173,33779,41.3,58010
42081,54669,58995,92.7,23317,90347,26998,41.7,53530
44003,80021,83840,95.4,30876,132985,38494,44.0,74510
45015,110788,110303,100.4,52742,168349,38253,36.2,85972
45085,51530,54982,93.7,25144,81368,21577,36.7,48282
47037,334254,358333,93.3,143599,548988,105702,34.5,319508
47065,175428,188858,92.9,75764,288522,79379,39.7,160807
47147,34958,36054,97.0,16931,54081,12909,39.2,27765
47179,62989,65618,96.0,24055,104552,28575,40.7,60856
48039,187017,183183,102.1,97974,272226,54823,36.1,139484
48085,494709,510437,96.9,260477,744669,140281,37.2,377384
48113,1301856,1335916,97.5,689655,1948117,359336,33.5,1027930
48167,166749,171141,97.4,81756,256134,58779,37.8,148293
48491,278884,287835,96.9,145367,421352,86076,36.5,198636
49005,63636,63432,100.3,38648,88420,14376,25.4,42242
49045,35716,34191,104.5,22890,47017,8491,31.6,22463
51153,233834,234177,99.9,127649,340362,60040,35.4,150475
51199,31895,35951,88.7,16156,51690,13349,39.2,27908
53011,238961,242896,98.4,114789,367068,92707,38.6,186159
53015,53593,55394,96.7,25393,83594,26140,40.5,44959
53041,39969,39635,100.8,16999,62605,20546,43.4,35335
53045,33563,31944,105.1,12538,52969,17595,45.7,33685
53053,443778,447521,99.2,209271,682028,155612,36.4,351009
54061,55123,51297,107.5,17697,88723,16592,32.4,45069
54081,37430,36824,101.6,15716,58538,19050,41.8,36167
55009,131002,132376,99.0,62704,200674,48570,38.1,110382
55105,80917,82212,98.4,37426,125703,33027,39.4,69235
55117,59076,56380,104.8,25182,90274,25181,40.8,51352
56021,49623,49353,100.5,23122,75854,20414,37.9,43892
1089,178964,187555,95.4,80048,286471,66663,38.5,164263
1127,31070,32641,95.2,13976,49735,13917,41.5,31249
5007,135116,137492,98.3,71569,201039,44372,35.5,108481
6065,1221553,1229205,99.4,616127,1834631,430696,35.8,848646
6085,982419,955151,102.9,423735,1513835,324601,37.2,678530
6087,134866,139389,96.8,52617,221638,56790,37.9,106718
6099,272319,277496,98.1,148801,401014,89855,34.5,182305
6101,47630,49177,96.9,24983,71824,18537,35.7,34475
6111,420907,430060,97.9,194458,656509,160620,38.4,290984
8001,258354,253514,101.9,135775,376093,67694,34.0,175623
8101,81804,85725,95.4,37486,130043,38343,39.4,71451
9009,412943,444677,92.9,173312,684308,183084,40.5,367766
12061,76541,80872,94.6,25217,132196,61325,54.5,81037
12081,191284,203571,94.0,72457,322398,127080,48.7,194567
12099,719591,766350,93.9,283443,1202498,411206,44.9,689961
12107,36614,37549,97.5,15757,58406,19981,44.9,37374
13021,72997,80098,91.1,37623,115472,30739,36.3,70058
13057,125287,128862,97.2,62094,192055,45282,38.6,94241
13089,356943,399615,89.3,175679,580879,120100,35.9,314314
13097,69386,75945,91.4,37435,107896,21693,36.8,53044
13117,117349,119263,98.4,64825,171787,34030,38.8,84113
13121,508879,541235,94.0,229550,820564,155577,35.6,480354
13127,38778,46441,83.5,18678,66541,20212,40.3,43518
13135,452307,475474,95.1,248878,678903,120768,35.5,312905
13215,94670,99490,95.2,48112,146048,31415,34.2,85018
15001,98970,102013,97.0,43630,157353,52057,42.5,88548
15007,36483,35650,102.3,15680,56453,18185,42.0,31242
16001,235896,234070,100.8,111023,358943,84053,37.4,186486
16027,110799,112700,98.3,62419,161080,39335,34.4,77888
17097,350487,350345,100.0,168695,532137,125806,38.5,265149
17111,153957,154613,99.6,72282,236288,55641,40.9,118810
17179,65006,67322,96.6,29733,102595,30844,41.0,59053
18019,56839,60521,93.9,26544,90816,22881,39.1,51096
18053,31214,34722,89.9,13607,52329,15406,41.4,30494
18081,76121,80104,95.0,39191,117034,27270,37.1,61792
18127,84184,85410,98.6,37422,132172,34475,39.6,69387
19013,65131,67277,96.8,28788,103620,26658,35.2,58321
19103,75678,75582,100.1,30182,121078,22936,30.3,65024
20173,254546,259061,98.3,131921,381686,92200,35.7,220923
21015,65940,65593,100.5,33654,97879,21440,38.2,50035
22051,209971,224080,93.7,95532,338519,90999,39.7,188663
22057,47188,50927,92.7,22982,75133,19817,38.1,41623
23031,100163,106066,94.4,38788,167441,52062,45.8,111043
24027,157591,165605,95.2,78570,244626,56714,39.2,120822
24031,509380,543187,93.8,244087,808480,202674,39.2,390673
24510,282677,319818,88.4,123114,479381,107962,35.5,293633
26005,58153,59174,98.3,28357,88970,24630,40.2,51517
26081,321933,331853,97.0,157809,495977,112448,35.5,257399
26099,425723,449036,94.8,184009,690750,183844,40.7,367934
27053,623320,636108,98.0,276542,982886,220811,36.5,537775
27131,34196,32327,105.8,14884,51639,13072,36.2,25131
28067,32862,35599,92.3,17031,51430,14927,37.6,29143
29037,50586,54368,93.0,25142,79812,22431,41.0,42442
29051,38570,38226,100.9,17241,59555,15251,39.1,33502
29071,52247,51423,101.6,23753,79917,22442,40.4,45538
29189,472353,524592,90.0,219527,777418,221770,40.4,441936
29510,146922,155916,94.2,57502,245336,54271,36.4,177169
33017,63074,67016,94.1,24199,105891,23621,37.3,54311
34005,218445,226939,96.3,92802,352582,93533,41.7,179900
34007,243014,264064,92.0,114758,392320,97826,38.8,206109
34013,384965,414802,92.8,188978,610789,138956,37.8,318814
34021,180597,189214,95.4,78695,291116,68076,38.9,145132
35035,34882,31899,109.4,15459,51322,13847,36.2,31843
36067,222736,239073,93.2,98023,363786,98103,39.3,209344
36069,53729,56135,95.7,22309,87555,26280,43.7,51224
36083,78766,80676,97.6,31179,128263,33797,39.4,73266
36113,31907,32358,98.6,11357,52908,18449,47.1,40207
36117,44790,45274,98.9,19313,70751,21205,44.0,41788
37057,81141,85473,94.9,36641,129973,38104,42.2,75593
37069,32424,35136,92.3,14621,52939,14266,40.6,29018
37071,107209,115637,92.7,50165,172681,44127,40.2,93885
37129,112021,120253,93.2,41986,190288,51066,39.3,113231
37161,31983,34843,91.8,13782,53044,17310,45.0,34473
37171,35224,36724,95.9,15196,56752,18137,44.2,34263
39081,32354,33413,96.8,12485,53282,18221,45.2,32470
39089,85511,90258,94.7,40809,134960,34838,39.8,71052
39169,57444,58523,98.2,28092,87875,25288,38.9,46732
