,,cases
Alachua County,week 1,0
Alachua County,week 2,0
Alachua County,week 3,0
Alachua County,week 4,0
Alachua County,week 5,0
Alachua County,week 6,0
Alachua County,week 7,1
Alachua County,week 8,5
Alachua County,week 9,31
Alachua County,week 10,50
Alachua County,week 11,52
Alachua County,week 12,56
Alachua County,week 13,29
Alachua County,week 14,31
Alachua County,week 15,34
Alachua County,week 16,35
Alachua County,week 17,15
Alachua County,week 18,31
Alachua County,week 19,12
Alachua County,week 20,22
Alachua County,week 21,160
Alachua County,week 22,196
Alachua County,week 23,437
Alachua County,week 24,504
Alachua County,week 25,557
Alachua County,week 26,479
Alachua County,week 27,560
Alachua County,week 28,511
Alachua County,week 29,438
Alachua County,week 30,467
Alachua County,week 31,310
Alachua County,week 32,228
Alachua County,week 33,471
Alachua County,week 34,935
Alachua County,week 35,157
Baker County,week 1,0
Baker County,week 2,0
Baker County,week 3,0
Baker County,week 4,0
Baker County,week 5,0
Baker County,week 6,0
Baker County,week 7,0
Baker County,week 8,0
Baker County,week 9,4
Baker County,week 10,5
Baker County,week 11,6
Baker County,week 12,2
Baker County,week 13,0
Baker County,week 14,3
Baker County,week 15,2
Baker County,week 16,3
Baker County,week 17,1
Baker County,week 18,1
Baker County,week 19,2
Baker County,week 20,0
Baker County,week 21,5
Baker County,week 22,8
Baker County,week 23,21
Baker County,week 24,47
Baker County,week 25,70
Baker County,week 26,65
Baker County,week 27,77
Baker County,week 28,101
Baker County,week 29,541
Baker County,week 30,122
Baker County,week 31,32
Baker County,week 32,46
Baker County,week 33,109
Baker County,week 34,68
Baker County,week 35,12
Bay County,week 1,0
Bay County,week 2,0
Bay County,week 3,0
Bay County,week 4,0
Bay County,week 5,0
Bay County,week 6,0
Bay County,week 7,0
Bay County,week 8,0
Bay County,week 9,1
Bay County,week 10,7
Bay County,week 11,17
Bay County,week 12,13
Bay County,week 13,20
Bay County,week 14,12
Bay County,week 15,6
Bay County,week 16,1
Bay County,week 17,9
Bay County,week 18,11
Bay County,week 19,2
Bay County,week 20,34
Bay County,week 21,24
Bay County,week 22,73
Bay County,week 23,154
Bay County,week 24,434
Bay County,week 25,612
Bay County,week 26,765
Bay County,week 27,951
Bay County,week 28,775
Bay County,week 29,602
Bay County,week 30,363
Bay County,week 31,309
Bay County,week 32,204
Bay County,week 33,135
Bay County,week 34,185
Bay County,week 35,13
Bradford County,week 1,0
Bradford County,week 2,0
Bradford County,week 3,0
Bradford County,week 4,0
Bradford County,week 5,0
Bradford County,week 6,0
Bradford County,week 7,0
Bradford County,week 8,0
Bradford County,week 9,1
Bradford County,week 10,1
Bradford County,week 11,9
Bradford County,week 12,20
Bradford County,week 13,11
Bradford County,week 14,2
Bradford County,week 15,4
Bradford County,week 16,0
Bradford County,week 17,1
Bradford County,week 18,2
Bradford County,week 19,0
Bradford County,week 20,1
Bradford County,week 21,1
Bradford County,week 22,11
Bradford County,week 23,19
Bradford County,week 24,19
Bradford County,week 25,43
Bradford County,week 26,53
Bradford County,week 27,42
Bradford County,week 28,101
Bradford County,week 29,178
Bradford County,week 30,62
Bradford County,week 31,82
Bradford County,week 32,90
Bradford County,week 33,108
Bradford County,week 34,84
Bradford County,week 35,18
Brevard County,week 1,0
Brevard County,week 2,0
Brevard County,week 3,0
Brevard County,week 4,0
Brevard County,week 5,0
Brevard County,week 6,0
Brevard County,week 7,0
Brevard County,week 8,1
Brevard County,week 9,8
Brevard County,week 10,28
Brevard County,week 11,61
Brevard County,week 12,65
Brevard County,week 13,61
Brevard County,week 14,44
Brevard County,week 15,51
Brevard County,week 16,17
Brevard County,week 17,35
Brevard County,week 18,28
Brevard County,week 19,28
Brevard County,week 20,44
Brevard County,week 21,137
Brevard County,week 22,310
Brevard County,week 23,875
Brevard County,week 24,912
Brevard County,week 25,927
Brevard County,week 26,781
Brevard County,week 27,742
Brevard County,week 28,516
Brevard County,week 29,519
Brevard County,week 30,424
Brevard County,week 31,358
Brevard County,week 32,406
Brevard County,week 33,311
Brevard County,week 34,361
Brevard County,week 35,47
Broward County,week 1,0
Broward County,week 2,0
Broward County,week 3,0
Broward County,week 4,0
Broward County,week 5,0
Broward County,week 6,0
Broward County,week 7,4
Broward County,week 8,51
Broward County,week 9,256
Broward County,week 10,908
Broward County,week 11,1011
Broward County,week 12,1031
Broward County,week 13,907
Broward County,week 14,679
Broward County,week 15,645
Broward County,week 16,481
Broward County,week 17,396
Broward County,week 18,430
Broward County,week 19,449
Broward County,week 20,787
Broward County,week 21,1463
Broward County,week 22,2246
Broward County,week 23,3880
Broward County,week 24,6971
Broward County,week 25,10219
Broward County,week 26,9763
Broward County,week 27,9080
Broward County,week 28,7296
Broward County,week 29,4652
Broward County,week 30,3588
Broward County,week 31,2391
Broward County,week 32,2661
Broward County,week 33,1311
Broward County,week 34,1133
Broward County,week 35,143
Calhoun County,week 1,0
Calhoun County,week 2,0
Calhoun County,week 3,0
Calhoun County,week 4,0
Calhoun County,week 5,0
Calhoun County,week 6,0
Calhoun County,week 7,0
Calhoun County,week 8,0
Calhoun County,week 9,0
Calhoun County,week 10,1
Calhoun County,week 11,2
Calhoun County,week 12,2
Calhoun County,week 13,1
Calhoun County,week 14,0
Calhoun County,week 15,9
Calhoun County,week 16,12
Calhoun County,week 17,13
Calhoun County,week 18,12
Calhoun County,week 19,10
Calhoun County,week 20,2
Calhoun County,week 21,1
Calhoun County,week 22,5
Calhoun County,week 23,6
Calhoun County,week 24,25
Calhoun County,week 25,71
Calhoun County,week 26,57
Calhoun County,week 27,36
Calhoun County,week 28,68
Calhoun County,week 29,148
Calhoun County,week 30,25
Calhoun County,week 31,40
Calhoun County,week 32,25
Calhoun County,week 33,15
Calhoun County,week 34,16
Calhoun County,week 35,0
Charlotte County,week 1,0
Charlotte County,week 2,0
Charlotte County,week 3,0
Charlotte County,week 4,0
Charlotte County,week 5,0
Charlotte County,week 6,0
Charlotte County,week 7,1
Charlotte County,week 8,0
Charlotte County,week 9,2
Charlotte County,week 10,21
Charlotte County,week 11,43
Charlotte County,week 12,56
Charlotte County,week 13,20
Charlotte County,week 14,76
Charlotte County,week 15,50
Charlotte County,week 16,78
Charlotte County,week 17,45
Charlotte County,week 18,38
Charlotte County,week 19,33
Charlotte County,week 20,38
Charlotte County,week 21,42
Charlotte County,week 22,62
Charlotte County,week 23,170
Charlotte County,week 24,169
Charlotte County,week 25,268
Charlotte County,week 26,288
Charlotte County,week 27,284
Charlotte County,week 28,292
Charlotte County,week 29,205
Charlotte County,week 30,113
Charlotte County,week 31,175
Charlotte County,week 32,144
Charlotte County,week 33,108
Charlotte County,week 34,60
Charlotte County,week 35,14
Citrus County,week 1,0
Citrus County,week 2,0
Citrus County,week 3,0
Citrus County,week 4,0
Citrus County,week 5,0
Citrus County,week 6,0
Citrus County,week 7,0
Citrus County,week 8,2
Citrus County,week 9,7
Citrus County,week 10,10
