,mean,median,mode
Alachua County,72.4,19.0,0.0
Baker County,132.37142857142857,14.0,0.0
Bay County,93.71428571428571,7.0,0.0
Bradford County,97.6,14.0,0.0
Brevard County,38.4,8.0,0.0
Broward County,109.45714285714286,46.0,0.0
Calhoun County,121.85714285714286,35.0,0.0
Charlotte County,43.77142857142857,24.0,0.0
Citrus County,47.885714285714286,10.0,0.0
Clay County,60.22857142857143,15.0,0.0
Collier County,91.11428571428571,49.0,0.0
Columbia County,142.6,21.0,0.0
DeSoto County,115.91428571428571,37.0,0.0
Dixie County,136.57142857142858,24.0,0.0
Duval County,85.8,18.0,0.0
Escambia County,107.4,26.0,0.0
Flagler County,39.628571428571426,12.0,0.0
Franklin County,137.5142857142857,0.0,0.0
Gadsden County,164.68571428571428,46.0,0.0
Gilchrist County,75.54285714285714,16.0,0.0
Glades County,99.68571428571428,36.0,0.0
Gulf County,180.77142857142857,7.0,0.0
Hamilton County,157.2,97.0,0.0
Hardee County,132.8,67.0,0.0
Hendry County,137.9142857142857,81.0,0.0
Hernando County,43.2,10.0,0.0
Highlands County,54.51428571428571,17.0,0.0
Hillsborough County,77.42857142857143,20.0,0.0
Holmes County,103.51428571428572,10.0,0.0
Indian River County,53.82857142857143,12.0,0.0
Jackson County,162.68571428571428,34.0,0.0
Jefferson County,107.42857142857143,14.0,0.0
Lafayette County,416.25714285714287,24.0,0.0
Lake County,55.51428571428571,12.0,0.0
Lee County,72.74285714285715,28.0,0.0
Leon County,91.37142857142857,13.0,0.0
Levy County,66.85714285714286,12.0,0.0
Liberty County,165.22857142857143,24.0,0.0
Madison County,153.42857142857142,59.0,0.0
Manatee County,77.8,30.0,0.0
Marion County,72.11428571428571,8.0,0.0
Martin County,81.85714285714286,45.0,0.0
Miami-Dade County,173.68571428571428,66.0,0.0
Monroe County,68.91428571428571,20.0,0.0
Nassau County,63.74285714285714,11.0,0.0
Okaloosa County,63.65714285714286,15.0,0.0
Okeechobee County,91.97142857142858,43.0,0.0
Orange County,78.4,19.0,0.0
Osceola County,90.45714285714286,18.0,0.0
Palm Beach County,84.88571428571429,47.0,0.0
Pasco County,44.57142857142857,8.0,0.0
Pinellas County,61.97142857142857,14.0,0.0
Polk County,73.62857142857143,17.0,0.0
Putnam County,76.22857142857143,23.0,0.0
St. Johns County,53.4,9.0,0.0
St. Lucie County,66.65714285714286,23.0,0.0
Santa Rosa County,80.25714285714285,14.0,0.0
Sarasota County,50.8,14.0,0.0
Seminole County,52.285714285714285,13.0,0.0
Sumter County,46.02857142857143,17.0,0.0
Suwannee County,164.22857142857143,59.0,0.0
Taylor County,167.71428571428572,23.0,0.0
Union County,154.6,13.0,0.0
Volusia County,53.142857142857146,14.0,0.0
Wakulla County,88.54285714285714,15.0,0.0
Walton County,71.57142857142857,20.0,0.0
Washington County,117.97142857142858,16.0,0.0
