,mean,median,mode
Alachua County,0.0,0,0.0
Baker County,1.0,0,0.0
Bay County,2.0,0,0.0
Bradford County,1.0,0,0.0
Brevard County,1.0,0,0.0
Broward County,2.0,1,0.0
Calhoun County,2.0,0,0.0
Charlotte County,2.0,2,0.0
Citrus County,1.0,0,0.0
Clay County,1.0,1,0.0
Collier County,1.0,2,0.0
Columbia County,2.0,0,0.0
DeSoto County,2.0,0,0.0
Dixie County,1.0,0,0.0
Duval County,1.0,1,0.0
Escambia County,2.0,1,0.0
Flagler County,1.0,0,0.0
Franklin County,1.0,0,0.0
Gadsden County,3.0,0,0.0
Gilchrist County,2.0,0,0.0
Glades County,1.0,0,0.0
Gulf County,3.0,0,0.0
Hamilton County,2.0,0,0.0
Hardee County,1.0,0,0.0
Hendry County,3.0,2,0.0
Hernando County,2.0,0,0.0
Highlands County,2.0,1,0.0
Hillsborough County,1.0,1,0.0
Holmes County,1.0,0,0.0
Indian River County,2.0,1,0.0
Jackson County,5.0,0,0.0
Jefferson County,2.0,0,0.0
Lafayette County,4.0,0,0.0
Lake County,1.0,1,0.0
Lee County,2.0,1,0.0
Leon County,0.0,0,0.0
Levy County,1.0,0,0.0
Liberty County,2.0,0,0.0
Madison County,3.0,0,0.0
Manatee County,2.0,1,0.0
Marion County,2.0,0,0.0
Martin County,2.0,1,0.0
Miami-Dade County,3.0,3,0.0
Monroe County,1.0,0,0.0
Nassau County,1.0,0,0.0
Okaloosa County,1.0,0,0.0
Okeechobee County,1.0,0,0.0
Orange County,1.0,0,0.0
Osceola County,1.0,0,0.0
Palm Beach County,2.0,3,0.0
Pasco County,1.0,0,0.0
Pinellas County,2.0,1,0.0
Polk County,2.0,1,0.0
Putnam County,1.0,0,0.0
St. Johns County,1.0,0,0.0
St. Lucie County,2.0,1,0.0
Santa Rosa County,1.0,0,0.0
Sarasota County,2.0,1,0.0
Seminole County,1.0,0,0.0
Sumter County,1.0,1,0.0
Suwannee County,4.0,0,0.0
Taylor County,2.0,0,0.0
Union County,2.0,0,0.0
Volusia County,1.0,1,0.0
Wakulla County,1.0,0,0.0
Walton County,1.0,0,0.0
Washington County,2.0,0,0.0
